TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Sinop;;;;;
Ayancýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;154;815;969;
Okuma yazma bilen fakat bir okul bitirmeyen;;426;1.180;1.606;
Ýlkokul;;3.398;3.801;7.199;
Ýlköðretim;;1.571;951;2.522;
Ortaokul veya dengi okul;;845;569;1.414;
Lise veya dengi okul;;1.643;1.261;2.904;
Yüksekokul veya fakülte;;1.054;760;1.814;
Yüksek lisans;;49;42;91;
Doktora;;16;12;28;
Bilinmeyen;;110;99;209;
Toplam;;9.266;9.490;18.756;
Boyabat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;397;1.658;2.055;
Okuma yazma bilen fakat bir okul bitirmeyen;;614;1.575;2.189;
Ýlkokul;;4.582;5.818;10.400;
Ýlköðretim;;2.742;2.510;5.252;
Ortaokul veya dengi okul;;1.992;1.286;3.278;
Lise veya dengi okul;;3.403;2.307;5.710;
Yüksekokul veya fakülte;;2.040;1.333;3.373;
Yüksek lisans;;159;89;248;
Doktora;;24;7;31;
Bilinmeyen;;52;58;110;
Toplam;;16.005;16.641;32.646;
Dikmen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;443;567;
Okuma yazma bilen fakat bir okul bitirmeyen;;287;430;717;
Ýlkokul;;777;690;1.467;
Ýlköðretim;;342;296;638;
Ortaokul veya dengi okul;;167;59;226;
Lise veya dengi okul;;243;139;382;
Yüksekokul veya fakülte;;122;54;176;
Yüksek lisans;;4;3;7;
Doktora;;2;1;3;
Bilinmeyen;;12;12;24;
Toplam;;2.080;2.127;4.207;
Duraðan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;351;1.156;1.507;
Okuma yazma bilen fakat bir okul bitirmeyen;;786;1.108;1.894;
Ýlkokul;;1.936;2.212;4.148;
Ýlköðretim;;1.183;935;2.118;
Ortaokul veya dengi okul;;636;403;1.039;
Lise veya dengi okul;;927;537;1.464;
Yüksekokul veya fakülte;;555;343;898;
Yüksek lisans;;34;18;52;
Doktora;;4;4;8;
Bilinmeyen;;15;48;63;
Toplam;;6.427;6.764;13.191;
Erfelek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;91;409;500;
Okuma yazma bilen fakat bir okul bitirmeyen;;193;622;815;
Ýlkokul;;2.236;2.482;4.718;
Ýlköðretim;;710;463;1.173;
Ortaokul veya dengi okul;;435;247;682;
Lise veya dengi okul;;664;350;1.014;
Yüksekokul veya fakülte;;364;218;582;
Yüksek lisans;;21;8;29;
Doktora;;3;1;4;
Bilinmeyen;;36;28;64;
Toplam;;4.753;4.828;9.581;
Gerze;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;142;573;715;
Okuma yazma bilen fakat bir okul bitirmeyen;;391;1.072;1.463;
Ýlkokul;;3.173;3.894;7.067;
Ýlköðretim;;1.651;1.339;2.990;
Ortaokul veya dengi okul;;845;608;1.453;
Lise veya dengi okul;;2.050;1.541;3.591;
Yüksekokul veya fakülte;;1.149;1.051;2.200;
Yüksek lisans;;68;43;111;
Doktora;;26;13;39;
Bilinmeyen;;44;45;89;
Toplam;;9.539;10.179;19.718;
Saraydüzü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;430;505;
Okuma yazma bilen fakat bir okul bitirmeyen;;133;366;499;
Ýlkokul;;1.137;1.071;2.208;
Ýlköðretim;;212;159;371;
Ortaokul veya dengi okul;;239;83;322;
Lise veya dengi okul;;311;131;442;
Yüksekokul veya fakülte;;165;72;237;
Yüksek lisans;;10;1;11;
Doktora;;1;-;1;
Bilinmeyen;;5;3;8;
Toplam;;2.288;2.316;4.604;
Sinop Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;74;453;527;
Okuma yazma bilen fakat bir okul bitirmeyen;;281;912;1.193;
Ýlkokul;;4.728;7.497;12.225;
Ýlköðretim;;3.039;2.766;5.805;
Ortaokul veya dengi okul;;2.230;1.726;3.956;
Lise veya dengi okul;;5.810;5.279;11.089;
Yüksekokul veya fakülte;;5.310;4.469;9.779;
Yüksek lisans;;434;258;692;
Doktora;;169;134;303;
Bilinmeyen;;81;79;160;
Toplam;;22.156;23.573;45.729;
Türkeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;96;651;747;
Okuma yazma bilen fakat bir okul bitirmeyen;;286;738;1.024;
Ýlkokul;;1.967;2.145;4.112;
Ýlköðretim;;849;581;1.430;
Ortaokul veya dengi okul;;512;408;920;
Lise veya dengi okul;;1.037;777;1.814;
Yüksekokul veya fakülte;;530;361;891;
Yüksek lisans;;28;15;43;
Doktora;;2;4;6;
Bilinmeyen;;223;198;421;
Toplam;;5.530;5.878;11.408;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
