TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Sivas;;;;;
Akýncýlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;51;391;442;
Okuma yazma bilen fakat bir okul bitirmeyen;;150;356;506;
Ýlkokul;;1.012;809;1.821;
Ýlköðretim;;165;168;333;
Ortaokul veya dengi okul;;204;122;326;
Lise veya dengi okul;;336;193;529;
Yüksekokul veya fakülte;;179;103;282;
Yüksek lisans;;11;6;17;
Doktora;;2;2;4;
Bilinmeyen;;13;34;47;
Toplam;;2.123;2.184;4.307;
Altýnyayla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;68;455;523;
Okuma yazma bilen fakat bir okul bitirmeyen;;153;276;429;
Ýlkokul;;778;1.141;1.919;
Ýlköðretim;;763;528;1.291;
Ortaokul veya dengi okul;;418;173;591;
Lise veya dengi okul;;806;369;1.175;
Yüksekokul veya fakülte;;297;200;497;
Yüksek lisans;;19;5;24;
Doktora;;4;1;5;
Bilinmeyen;;56;44;100;
Toplam;;3.362;3.192;6.554;
Divriði;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;953;1.096;
Okuma yazma bilen fakat bir okul bitirmeyen;;273;735;1.008;
Ýlkokul;;2.451;2.582;5.033;
Ýlköðretim;;645;434;1.079;
Ortaokul veya dengi okul;;726;425;1.151;
Lise veya dengi okul;;1.777;989;2.766;
Yüksekokul veya fakülte;;836;534;1.370;
Yüksek lisans;;49;31;80;
Doktora;;11;6;17;
Bilinmeyen;;40;94;134;
Toplam;;6.951;6.783;13.734;
Doðanþar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;85;428;513;
Okuma yazma bilen fakat bir okul bitirmeyen;;187;233;420;
Ýlkokul;;440;386;826;
Ýlköðretim;;95;91;186;
Ortaokul veya dengi okul;;110;41;151;
Lise veya dengi okul;;186;80;266;
Yüksekokul veya fakülte;;95;44;139;
Yüksek lisans;;7;3;10;
Doktora;;0;0;0;
Bilinmeyen;;16;27;43;
Toplam;;1.221;1.333;2.554;
Gemerek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;170;1.092;1.262;
Okuma yazma bilen fakat bir okul bitirmeyen;;436;921;1.357;
Ýlkokul;;2.278;3.240;5.518;
Ýlköðretim;;1.003;776;1.779;
Ortaokul veya dengi okul;;1.090;636;1.726;
Lise veya dengi okul;;2.372;1.379;3.751;
Yüksekokul veya fakülte;;952;574;1.526;
Yüksek lisans;;76;34;110;
Doktora;;7;4;11;
Bilinmeyen;;243;254;497;
Toplam;;8.627;8.910;17.537;
Gölova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;45;292;337;
Okuma yazma bilen fakat bir okul bitirmeyen;;125;265;390;
Ýlkokul;;623;500;1.123;
Ýlköðretim;;120;97;217;
Ortaokul veya dengi okul;;113;43;156;
Lise veya dengi okul;;154;95;249;
Yüksekokul veya fakülte;;120;49;169;
Yüksek lisans;;7;8;15;
Doktora;;1;-;1;
Bilinmeyen;;22;34;56;
Toplam;;1.330;1.383;2.713;
Gürün;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;147;958;1.105;
Okuma yazma bilen fakat bir okul bitirmeyen;;336;701;1.037;
Ýlkokul;;2.243;2.559;4.802;
Ýlköðretim;;827;721;1.548;
Ortaokul veya dengi okul;;785;490;1.275;
Lise veya dengi okul;;1.657;1.041;2.698;
Yüksekokul veya fakülte;;928;599;1.527;
Yüksek lisans;;55;31;86;
Doktora;;11;6;17;
Bilinmeyen;;63;96;159;
Toplam;;7.052;7.202;14.254;
Hafik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;251;1.194;1.445;
Okuma yazma bilen fakat bir okul bitirmeyen;;327;535;862;
Ýlkokul;;1.837;1.375;3.212;
Ýlköðretim;;422;317;739;
Ortaokul veya dengi okul;;329;175;504;
Lise veya dengi okul;;666;320;986;
Yüksekokul veya fakülte;;239;114;353;
Yüksek lisans;;9;5;14;
Doktora;;-;1;1;
Bilinmeyen;;47;73;120;
Toplam;;4.127;4.109;8.236;
Ýmranlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;130;881;1.011;
Okuma yazma bilen fakat bir okul bitirmeyen;;225;445;670;
Ýlkokul;;1.518;1.076;2.594;
Ýlköðretim;;401;211;612;
Ortaokul veya dengi okul;;343;182;525;
Lise veya dengi okul;;524;258;782;
Yüksekokul veya fakülte;;262;134;396;
Yüksek lisans;;17;9;26;
Doktora;;1;1;2;
Bilinmeyen;;72;134;206;
Toplam;;3.493;3.331;6.824;
Kangal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;213;1.291;1.504;
Okuma yazma bilen fakat bir okul bitirmeyen;;383;873;1.256;
Ýlkokul;;2.260;2.557;4.817;
Ýlköðretim;;1.253;886;2.139;
Ortaokul veya dengi okul;;1.063;521;1.584;
Lise veya dengi okul;;2.053;1.184;3.237;
Yüksekokul veya fakülte;;902;568;1.470;
Yüksek lisans;;53;25;78;
Doktora;;10;6;16;
Bilinmeyen;;101;158;259;
Toplam;;8.291;8.069;16.360;
Koyulhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;231;1.240;1.471;
Okuma yazma bilen fakat bir okul bitirmeyen;;314;615;929;
Ýlkokul;;2.046;2.068;4.114;
Ýlköðretim;;597;459;1.056;
Ortaokul veya dengi okul;;539;279;818;
Lise veya dengi okul;;842;449;1.291;
Yüksekokul veya fakülte;;415;244;659;
Yüksek lisans;;23;8;31;
Doktora;;6;4;10;
Bilinmeyen;;121;221;342;
Toplam;;5.134;5.587;10.721;
Sivas Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.095;9.455;10.550;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.738;6.111;7.849;
Ýlkokul;;16.613;31.479;48.092;
Ýlköðretim;;19.265;17.508;36.773;
Ortaokul veya dengi okul;;13.397;10.603;24.000;
Lise veya dengi okul;;41.498;29.369;70.867;
Yüksekokul veya fakülte;;24.913;20.088;45.001;
Yüksek lisans;;2.334;1.597;3.931;
Doktora;;898;560;1.458;
Bilinmeyen;;750;1.094;1.844;
Toplam;;122.501;127.864;250.365;
Suþehri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;200;1.350;1.550;
Okuma yazma bilen fakat bir okul bitirmeyen;;453;986;1.439;
Ýlkokul;;2.694;3.231;5.925;
Ýlköðretim;;1.206;1.292;2.498;
