TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Tekirdað;;;;;
Çerkezköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;293;1.923;2.216;
Okuma yazma bilen fakat bir okul bitirmeyen;;915;2.935;3.850;
Ýlkokul;;8.218;13.375;21.593;
Ýlköðretim;;14.081;11.197;25.278;
Ortaokul veya dengi okul;;6.625;4.547;11.172;
Lise veya dengi okul;;17.155;11.369;28.524;
Yüksekokul veya fakülte;;7.008;6.207;13.215;
Yüksek lisans;;549;396;945;
Doktora;;72;49;121;
Bilinmeyen;;236;235;471;
Toplam;;55.152;52.233;107.385;
Çorlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;330;1.990;2.320;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.160;3.443;4.603;
Ýlkokul;;13.357;20.987;34.344;
Ýlköðretim;;16.728;14.491;31.219;
Ortaokul veya dengi okul;;9.883;8.540;18.423;
Lise veya dengi okul;;32.606;25.426;58.032;
Yüksekokul veya fakülte;;17.738;16.655;34.393;
Yüksek lisans;;1.454;1.301;2.755;
Doktora;;254;160;414;
Bilinmeyen;;597;689;1.286;
Toplam;;94.107;93.682;187.789;
Ergene;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;142;645;787;
Okuma yazma bilen fakat bir okul bitirmeyen;;465;1.433;1.898;
Ýlkokul;;4.913;6.986;11.899;
Ýlköðretim;;5.700;4.320;10.020;
Ortaokul veya dengi okul;;3.034;2.373;5.407;
Lise veya dengi okul;;7.028;4.548;11.576;
Yüksekokul veya fakülte;;1.854;1.642;3.496;
Yüksek lisans;;70;56;126;
Doktora;;17;16;33;
Bilinmeyen;;133;155;288;
Toplam;;23.356;22.174;45.530;
Hayrabolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;164;711;875;
Okuma yazma bilen fakat bir okul bitirmeyen;;616;1.485;2.101;
Ýlkokul;;4.562;5.255;9.817;
Ýlköðretim;;2.040;1.766;3.806;
Ortaokul veya dengi okul;;1.150;714;1.864;
Lise veya dengi okul;;2.791;1.632;4.423;
Yüksekokul veya fakülte;;1.094;934;2.028;
Yüksek lisans;;87;45;132;
Doktora;;15;6;21;
Bilinmeyen;;36;40;76;
Toplam;;12.555;12.588;25.143;
Kapaklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;188;1.340;1.528;
Okuma yazma bilen fakat bir okul bitirmeyen;;537;1.782;2.319;
Ýlkokul;;6.201;10.350;16.551;
Ýlköðretim;;11.808;9.280;21.088;
Ortaokul veya dengi okul;;4.896;3.387;8.283;
Lise veya dengi okul;;12.196;7.680;19.876;
Yüksekokul veya fakülte;;3.720;3.360;7.080;
Yüksek lisans;;201;118;319;
Doktora;;29;17;46;
Bilinmeyen;;159;166;325;
Toplam;;39.935;37.480;77.415;
Malkara;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;227;766;993;
Okuma yazma bilen fakat bir okul bitirmeyen;;805;1.965;2.770;
Ýlkokul;;7.847;9.787;17.634;
Ýlköðretim;;2.447;2.039;4.486;
Ortaokul veya dengi okul;;2.125;1.296;3.421;
Lise veya dengi okul;;4.591;2.957;7.548;
Yüksekokul veya fakülte;;2.392;1.948;4.340;
Yüksek lisans;;167;106;273;
Doktora;;20;13;33;
Bilinmeyen;;66;58;124;
Toplam;;20.687;20.935;41.622;
Marmaraereðlisi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;64;326;390;
Okuma yazma bilen fakat bir okul bitirmeyen;;213;550;763;
Ýlkokul;;2.834;3.349;6.183;
Ýlköðretim;;1.469;1.067;2.536;
Ortaokul veya dengi okul;;1.249;861;2.110;
Lise veya dengi okul;;2.528;1.876;4.404;
Yüksekokul veya fakülte;;1.052;892;1.944;
Yüksek lisans;;80;48;128;
Doktora;;7;6;13;
Bilinmeyen;;218;166;384;
Toplam;;9.714;9.141;18.855;
Muratlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;69;318;387;
Okuma yazma bilen fakat bir okul bitirmeyen;;243;714;957;
Ýlkokul;;2.665;3.775;6.440;
Ýlköðretim;;1.941;1.509;3.450;
Ortaokul veya dengi okul;;1.330;994;2.324;
Lise veya dengi okul;;3.271;2.413;5.684;
Yüksekokul veya fakülte;;1.228;1.051;2.279;
Yüksek lisans;;72;61;133;
Doktora;;6;6;12;
Bilinmeyen;;42;54;96;
Toplam;;10.867;10.895;21.762;
Saray;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;544;668;
Okuma yazma bilen fakat bir okul bitirmeyen;;358;985;1.343;
Ýlkokul;;4.751;6.738;11.489;
Ýlköðretim;;3.476;2.932;6.408;
Ortaokul veya dengi okul;;1.861;1.479;3.340;
Lise veya dengi okul;;6.236;4.032;10.268;
Yüksekokul veya fakülte;;2.047;1.918;3.965;
Yüksek lisans;;120;87;207;
Doktora;;15;15;30;
Bilinmeyen;;65;60;125;
Toplam;;19.053;18.790;37.843;
Süleymanpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;473;1.880;2.353;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.186;3.269;4.455;
Ýlkokul;;15.139;21.832;36.971;
Ýlköðretim;;10.264;8.839;19.103;
Ortaokul veya dengi okul;;6.795;5.883;12.678;
Lise veya dengi okul;;20.963;17.373;38.336;
Yüksekokul veya fakülte;;14.873;13.414;28.287;
Yüksek lisans;;1.444;1.208;2.652;
Doktora;;523;345;868;
Bilinmeyen;;408;392;800;
Toplam;;72.068;74.435;146.503;
Þarköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;476;600;
Okuma yazma bilen fakat bir okul bitirmeyen;;550;1.024;1.574;
Ýlkokul;;5.144;6.083;11.227;
Ýlköðretim;;1.789;1.222;3.011;
Ortaokul veya dengi okul;;1.327;958;2.285;
Lise veya dengi okul;;2.652;2.200;4.852;
Yüksekokul veya fakülte;;1.455;1.280;2.735;
Yüksek lisans;;105;76;181;
Doktora;;13;12;25;
Bilinmeyen;;132;120;252;
Toplam;;13.291;13.451;26.742;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
