TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Tokat;;;;;
Almus;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;154;938;1.092;
Okuma yazma bilen fakat bir okul bitirmeyen;;877;1.668;2.545;
Ýlkokul;;2.881;3.065;5.946;
Ýlköðretim;;1.243;883;2.126;
Ortaokul veya dengi okul;;801;421;1.222;
Lise veya dengi okul;;1.187;798;1.985;
Yüksekokul veya fakülte;;625;357;982;
Yüksek lisans;;46;13;59;
Doktora;;5;4;9;
Bilinmeyen;;39;50;89;
Toplam;;7.858;8.197;16.055;
Artova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;42;191;233;
Okuma yazma bilen fakat bir okul bitirmeyen;;258;557;815;
Ýlkokul;;956;1.425;2.381;
Ýlköðretim;;481;377;858;
Ortaokul veya dengi okul;;439;165;604;
Lise veya dengi okul;;700;349;1.049;
Yüksekokul veya fakülte;;250;138;388;
Yüksek lisans;;23;10;33;
Doktora;;2;4;6;
Bilinmeyen;;6;6;12;
Toplam;;3.157;3.222;6.379;
Baþçiftlik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;9;54;63;
Okuma yazma bilen fakat bir okul bitirmeyen;;148;447;595;
Ýlkokul;;612;795;1.407;
Ýlköðretim;;298;179;477;
Ortaokul veya dengi okul;;235;116;351;
Lise veya dengi okul;;365;170;535;
Yüksekokul veya fakülte;;248;105;353;
Yüksek lisans;;18;5;23;
Doktora;;2;-;2;
Bilinmeyen;;9;14;23;
Toplam;;1.944;1.885;3.829;
Erbaa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;611;2.658;3.269;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.102;5.031;7.133;
Ýlkokul;;8.563;11.190;19.753;
Ýlköðretim;;6.156;5.044;11.200;
Ortaokul veya dengi okul;;3.604;2.386;5.990;
Lise veya dengi okul;;7.469;5.660;13.129;
Yüksekokul veya fakülte;;4.221;3.111;7.332;
Yüksek lisans;;351;163;514;
Doktora;;47;28;75;
Bilinmeyen;;42;76;118;
Toplam;;33.166;35.347;68.513;
Niksar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;267;1.202;1.469;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.584;3.730;5.314;
Ýlkokul;;6.528;9.046;15.574;
Ýlköðretim;;3.094;2.385;5.479;
Ortaokul veya dengi okul;;2.548;1.629;4.177;
Lise veya dengi okul;;4.815;3.488;8.303;
Yüksekokul veya fakülte;;3.082;2.178;5.260;
Yüksek lisans;;177;91;268;
Doktora;;33;14;47;
Bilinmeyen;;107;113;220;
Toplam;;22.235;23.876;46.111;
Pazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;282;335;
Okuma yazma bilen fakat bir okul bitirmeyen;;251;655;906;
Ýlkokul;;1.484;2.114;3.598;
Ýlköðretim;;864;759;1.623;
Ortaokul veya dengi okul;;652;299;951;
Lise veya dengi okul;;1.172;763;1.935;
Yüksekokul veya fakülte;;423;286;709;
Yüksek lisans;;20;9;29;
Doktora;;5;2;7;
Bilinmeyen;;6;14;20;
Toplam;;4.930;5.183;10.113;
Reþadiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;230;1.044;1.274;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.003;2.438;3.441;
Ýlkokul;;3.653;4.510;8.163;
Ýlköðretim;;1.342;1.230;2.572;
Ortaokul veya dengi okul;;1.142;582;1.724;
Lise veya dengi okul;;2.458;1.381;3.839;
Yüksekokul veya fakülte;;1.181;621;1.802;
Yüksek lisans;;72;28;100;
Doktora;;8;10;18;
Bilinmeyen;;52;61;113;
Toplam;;11.141;11.905;23.046;
Sulusaray;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;17;125;142;
Okuma yazma bilen fakat bir okul bitirmeyen;;201;499;700;
Ýlkokul;;751;1.095;1.846;
Ýlköðretim;;702;455;1.157;
Ortaokul veya dengi okul;;270;108;378;
Lise veya dengi okul;;457;268;725;
Yüksekokul veya fakülte;;195;119;314;
Yüksek lisans;;14;2;16;
Doktora;;3;-;3;
Bilinmeyen;;15;14;29;
Toplam;;2.625;2.685;5.310;
Tokat Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;465;2.891;3.356;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.035;5.361;7.396;
Ýlkokul;;11.225;19.080;30.305;
Ýlköðretim;;11.158;10.531;21.689;
Ortaokul veya dengi okul;;6.495;4.965;11.460;
Lise veya dengi okul;;17.929;14.414;32.343;
Yüksekokul veya fakülte;;14.056;10.314;24.370;
Yüksek lisans;;1.483;899;2.382;
Doktora;;578;304;882;
Bilinmeyen;;116;177;293;
Toplam;;65.540;68.936;134.476;
Turhal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;285;1.491;1.776;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.606;4.570;6.176;
Ýlkokul;;6.826;10.684;17.510;
Ýlköðretim;;4.041;3.827;7.868;
Ortaokul veya dengi okul;;3.378;2.234;5.612;
Lise veya dengi okul;;7.958;5.427;13.385;
Yüksekokul veya fakülte;;4.302;2.962;7.264;
Yüksek lisans;;280;182;462;
Doktora;;38;36;74;
Bilinmeyen;;123;151;274;
Toplam;;28.837;31.564;60.401;
Yeþilyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;206;247;
Okuma yazma bilen fakat bir okul bitirmeyen;;306;610;916;
Ýlkokul;;808;1.216;2.024;
Ýlköðretim;;657;543;1.200;
Ortaokul veya dengi okul;;439;170;609;
Lise veya dengi okul;;586;323;909;
Yüksekokul veya fakülte;;247;139;386;
Yüksek lisans;;16;6;22;
Doktora;;1;1;2;
Bilinmeyen;;21;23;44;
Toplam;;3.122;3.237;6.359;
Zile;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;380;1.524;1.904;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.708;3.695;5.403;
Ýlkokul;;5.885;8.123;14.008;
Ýlköðretim;;2.168;2.111;4.279;
Ortaokul veya dengi okul;;2.278;1.553;3.831;
Lise veya dengi okul;;5.297;3.390;8.687;
Yüksekokul veya fakülte;;2.551;1.731;4.282;
Yüksek lisans;;169;124;293;
Doktora;;38;25;63;
Bilinmeyen;;48;59;107;
Toplam;;20.522;22.335;42.857;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
