TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Trabzon;;;;;
Akçaabat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;477;4.108;4.585;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.327;4.843;6.170;
Ýlkokul;;8.554;10.747;19.301;
Ýlköðretim;;5.697;4.400;10.097;
Ortaokul veya dengi okul;;4.402;3.359;7.761;
Lise veya dengi okul;;13.780;10.430;24.210;
Yüksekokul veya fakülte;;8.254;6.624;14.878;
Yüksek lisans;;752;475;1.227;
Doktora;;193;118;311;
Bilinmeyen;;257;274;531;
Toplam;;43.693;45.378;89.071;
Araklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;217;2.090;2.307;
Okuma yazma bilen fakat bir okul bitirmeyen;;651;1.517;2.168;
Ýlkokul;;4.309;6.139;10.448;
Ýlköðretim;;3.307;2.299;5.606;
Ortaokul veya dengi okul;;1.791;1.212;3.003;
Lise veya dengi okul;;4.127;2.758;6.885;
Yüksekokul veya fakülte;;1.988;1.336;3.324;
Yüksek lisans;;114;54;168;
Doktora;;22;12;34;
Bilinmeyen;;157;244;401;
Toplam;;16.683;17.661;34.344;
Arsin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;162;1.151;1.313;
Okuma yazma bilen fakat bir okul bitirmeyen;;396;1.331;1.727;
Ýlkokul;;2.583;3.046;5.629;
Ýlköðretim;;1.910;1.774;3.684;
Ortaokul veya dengi okul;;1.078;644;1.722;
Lise veya dengi okul;;2.694;1.841;4.535;
Yüksekokul veya fakülte;;1.265;893;2.158;
Yüksek lisans;;78;25;103;
Doktora;;9;8;17;
Bilinmeyen;;64;86;150;
Toplam;;10.239;10.799;21.038;
Beþikdüzü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;72;843;915;
Okuma yazma bilen fakat bir okul bitirmeyen;;152;830;982;
Ýlkokul;;1.355;2.173;3.528;
Ýlköðretim;;565;502;1.067;
Ortaokul veya dengi okul;;908;727;1.635;
Lise veya dengi okul;;2.984;2.330;5.314;
Yüksekokul veya fakülte;;1.785;1.371;3.156;
Yüksek lisans;;98;79;177;
Doktora;;10;11;21;
Bilinmeyen;;40;36;76;
Toplam;;7.969;8.902;16.871;
Çarþýbaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;107;614;721;
Okuma yazma bilen fakat bir okul bitirmeyen;;256;892;1.148;
Ýlkokul;;1.467;1.666;3.133;
Ýlköðretim;;716;648;1.364;
Ortaokul veya dengi okul;;716;372;1.088;
Lise veya dengi okul;;1.782;1.110;2.892;
Yüksekokul veya fakülte;;803;520;1.323;
Yüksek lisans;;39;22;61;
Doktora;;5;4;9;
Bilinmeyen;;20;26;46;
Toplam;;5.911;5.874;11.785;
Çaykara;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;85;744;829;
Okuma yazma bilen fakat bir okul bitirmeyen;;219;869;1.088;
Ýlkokul;;1.452;1.946;3.398;
