TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Tunceli;;;;;
Çemiþgezek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;51;300;351;
Okuma yazma bilen fakat bir okul bitirmeyen;;69;268;337;
Ýlkokul;;974;1.148;2.122;
Ýlköðretim;;333;337;670;
Ortaokul veya dengi okul;;288;175;463;
Lise veya dengi okul;;883;473;1.356;
Yüksekokul veya fakülte;;408;260;668;
Yüksek lisans;;29;16;45;
Doktora;;6;1;7;
Bilinmeyen;;10;9;19;
Toplam;;3.051;2.987;6.038;
Hozat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;77;358;435;
Okuma yazma bilen fakat bir okul bitirmeyen;;92;191;283;
Ýlkokul;;467;478;945;
Ýlköðretim;;251;173;424;
Ortaokul veya dengi okul;;197;153;350;
Lise veya dengi okul;;855;415;1.270;
Yüksekokul veya fakülte;;455;233;688;
Yüksek lisans;;31;14;45;
Doktora;;-;1;1;
Bilinmeyen;;32;27;59;
Toplam;;2.457;2.043;4.500;
Mazgirt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;150;755;905;
Okuma yazma bilen fakat bir okul bitirmeyen;;172;398;570;
Ýlkokul;;795;849;1.644;
Ýlköðretim;;509;235;744;
Ortaokul veya dengi okul;;412;217;629;
Lise veya dengi okul;;1.022;447;1.469;
Yüksekokul veya fakülte;;384;232;616;
Yüksek lisans;;17;8;25;
Doktora;;0;0;0;
Bilinmeyen;;66;50;116;
Toplam;;3.527;3.191;6.718;
Nazýmiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;250;279;
Okuma yazma bilen fakat bir okul bitirmeyen;;79;152;231;
Ýlkokul;;393;339;732;
Ýlköðretim;;197;71;268;
Ortaokul veya dengi okul;;113;71;184;
Lise veya dengi okul;;529;193;722;
Yüksekokul veya fakülte;;234;85;319;
Yüksek lisans;;10;5;15;
Doktora;;3;1;4;
Bilinmeyen;;34;22;56;
Toplam;;1.621;1.189;2.810;
Ovacýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;113;413;526;
Okuma yazma bilen fakat bir okul bitirmeyen;;112;299;411;
Ýlkokul;;670;685;1.355;
Ýlköðretim;;346;179;525;
Ortaokul veya dengi okul;;335;151;486;
Lise veya dengi okul;;942;354;1.296;
Yüksekokul veya fakülte;;429;249;678;
Yüksek lisans;;23;10;33;
Doktora;;1;-;1;
Bilinmeyen;;47;48;95;
Toplam;;3.018;2.388;5.406;
Pertek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;127;583;710;
Okuma yazma bilen fakat bir okul bitirmeyen;;130;357;487;
Ýlkokul;;1.089;1.392;2.481;
Ýlköðretim;;639;381;1.020;
Ortaokul veya dengi okul;;497;400;897;
Lise veya dengi okul;;1.264;678;1.942;
Yüksekokul veya fakülte;;671;432;1.103;
Yüksek lisans;;44;22;66;
Doktora;;3;1;4;
Bilinmeyen;;48;55;103;
Toplam;;4.512;4.301;8.813;
Pülümür;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;267;330;
Okuma yazma bilen fakat bir okul bitirmeyen;;48;143;191;
Ýlkokul;;508;404;912;
Ýlköðretim;;203;93;296;
Ortaokul veya dengi okul;;187;71;258;
Lise veya dengi okul;;453;171;624;
Yüksekokul veya fakülte;;231;100;331;
Yüksek lisans;;10;8;18;
Doktora;;3;-;3;
Bilinmeyen;;36;22;58;
Toplam;;1.742;1.279;3.021;
Tunceli Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;206;1.225;1.431;
Okuma yazma bilen fakat bir okul bitirmeyen;;194;541;735;
Ýlkokul;;1.402;1.583;2.985;
Ýlköðretim;;1.427;1.078;2.505;
Ortaokul veya dengi okul;;1.057;852;1.909;
Lise veya dengi okul;;5.362;3.532;8.894;
Yüksekokul veya fakülte;;4.200;3.357;7.557;
Yüksek lisans;;316;266;582;
Doktora;;103;62;165;
Bilinmeyen;;132;89;221;
Toplam;;14.399;12.585;26.984;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
