TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Uþak;;;;;
Banaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;57;399;456;
Okuma yazma bilen fakat bir okul bitirmeyen;;379;1.309;1.688;
Ýlkokul;;4.449;6.338;10.787;
Ýlköðretim;;2.780;2.126;4.906;
Ortaokul veya dengi okul;;1.571;1.035;2.606;
Lise veya dengi okul;;2.995;1.872;4.867;
Yüksekokul veya fakülte;;1.324;1.031;2.355;
Yüksek lisans;;64;39;103;
Doktora;;6;10;16;
Bilinmeyen;;150;160;310;
Toplam;;13.775;14.319;28.094;
Eþme;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;55;510;565;
Okuma yazma bilen fakat bir okul bitirmeyen;;601;2.149;2.750;
Ýlkokul;;5.512;6.154;11.666;
Ýlköðretim;;1.600;1.574;3.174;
Ortaokul veya dengi okul;;1.251;855;2.106;
Lise veya dengi okul;;2.836;1.928;4.764;
Yüksekokul veya fakülte;;1.412;1.031;2.443;
Yüksek lisans;;113;54;167;
Doktora;;15;4;19;
Bilinmeyen;;135;129;264;
Toplam;;13.530;14.388;27.918;
Karahallý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;23;215;238;
Okuma yazma bilen fakat bir okul bitirmeyen;;172;922;1.094;
Ýlkokul;;1.607;1.856;3.463;
Ýlköðretim;;760;459;1.219;
Ortaokul veya dengi okul;;467;231;698;
Lise veya dengi okul;;734;425;1.159;
Yüksekokul veya fakülte;;327;210;537;
Yüksek lisans;;25;7;32;
Doktora;;4;7;11;
Bilinmeyen;;18;22;40;
Toplam;;4.137;4.354;8.491;
Sivaslý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;383;446;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;1.121;1.446;
Ýlkokul;;2.720;3.167;5.887;
Ýlköðretim;;1.666;1.305;2.971;
Ortaokul veya dengi okul;;822;551;1.373;
Lise veya dengi okul;;1.478;909;2.387;
Yüksekokul veya fakülte;;509;366;875;
Yüksek lisans;;39;12;51;
Doktora;;6;11;17;
Bilinmeyen;;72;80;152;
Toplam;;7.700;7.905;15.605;
Ulubey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;14;283;297;
Okuma yazma bilen fakat bir okul bitirmeyen;;233;825;1.058;
Ýlkokul;;1.844;2.290;4.134;
Ýlköðretim;;566;477;1.043;
Ortaokul veya dengi okul;;690;395;1.085;
Lise veya dengi okul;;1.256;752;2.008;
Yüksekokul veya fakülte;;475;336;811;
Yüksek lisans;;30;14;44;
Doktora;;1;2;3;
Bilinmeyen;;58;54;112;
Toplam;;5.167;5.428;10.595;
Uþak Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;606;4.019;4.625;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.695;5.425;7.120;
Ýlkokul;;15.756;24.895;40.651;
Ýlköðretim;;19.040;15.140;34.180;
Ortaokul veya dengi okul;;8.594;6.865;15.459;
Lise veya dengi okul;;22.954;18.674;41.628;
Yüksekokul veya fakülte;;15.248;12.835;28.083;
Yüksek lisans;;1.322;945;2.267;
Doktora;;460;249;709;
Bilinmeyen;;540;528;1.068;
Toplam;;86.215;89.575;175.790;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
