TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Van;;;;;
Bahçesaray;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;409;1.234;1.643;
Okuma yazma bilen fakat bir okul bitirmeyen;;755;1.377;2.132;
Ýlkokul;;598;529;1.127;
Ýlköðretim;;721;336;1.057;
Ortaokul veya dengi okul;;362;114;476;
Lise veya dengi okul;;536;201;737;
Yüksekokul veya fakülte;;328;146;474;
Yüksek lisans;;18;14;32;
Doktora;;1;2;3;
Bilinmeyen;;21;44;65;
Toplam;;3.749;3.997;7.746;
Baþkale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.002;2.989;3.991;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.519;4.497;7.016;
Ýlkokul;;3.451;2.615;6.066;
Ýlköðretim;;2.823;1.636;4.459;
Ortaokul veya dengi okul;;1.187;597;1.784;
Lise veya dengi okul;;1.940;747;2.687;
Yüksekokul veya fakülte;;947;428;1.375;
Yüksek lisans;;34;17;51;
Doktora;;2;-;2;
Bilinmeyen;;111;207;318;
Toplam;;14.016;13.733;27.749;
Çaldýran;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;742;3.197;3.939;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.876;5.122;7.998;
Ýlkokul;;4.259;2.824;7.083;
Ýlköðretim;;4.406;1.794;6.200;
Ortaokul veya dengi okul;;1.390;818;2.208;
Lise veya dengi okul;;1.825;1.018;2.843;
Yüksekokul veya fakülte;;919;551;1.470;
Yüksek lisans;;50;14;64;
Doktora;;6;-;6;
Bilinmeyen;;87;276;363;
Toplam;;16.560;15.614;32.174;
Çatak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;319;664;983;
Okuma yazma bilen fakat bir okul bitirmeyen;;930;1.831;2.761;
Ýlkokul;;1.195;1.053;2.248;
Ýlköðretim;;1.212;1.027;2.239;
Ortaokul veya dengi okul;;604;274;878;
Lise veya dengi okul;;1.206;506;1.712;
Yüksekokul veya fakülte;;511;225;736;
Yüksek lisans;;25;16;41;
Doktora;;2;1;3;
Bilinmeyen;;27;34;61;
Toplam;;6.031;5.631;11.662;
Edremit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;866;4.553;5.419;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.944;6.275;8.219;
Ýlkokul;;4.338;7.039;11.377;
Ýlköðretim;;8.692;6.400;15.092;
