TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Yalova;;;;;
Altýnova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;71;554;625;
Okuma yazma bilen fakat bir okul bitirmeyen;;177;550;727;
Ýlkokul;;2.027;2.945;4.972;
Ýlköðretim;;1.722;1.343;3.065;
Ortaokul veya dengi okul;;1.073;709;1.782;
Lise veya dengi okul;;2.670;1.948;4.618;
Yüksekokul veya fakülte;;1.500;1.131;2.631;
Yüksek lisans;;100;70;170;
Doktora;;42;16;58;
Bilinmeyen;;57;62;119;
Toplam;;9.439;9.328;18.767;
Armutlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;144;173;
Okuma yazma bilen fakat bir okul bitirmeyen;;85;200;285;
Ýlkokul;;1.122;1.491;2.613;
Ýlköðretim;;578;388;966;
Ortaokul veya dengi okul;;393;250;643;
Lise veya dengi okul;;756;522;1.278;
Yüksekokul veya fakülte;;424;328;752;
Yüksek lisans;;33;13;46;
Doktora;;9;5;14;
Bilinmeyen;;30;29;59;
Toplam;;3.459;3.370;6.829;
Çýnarcýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;106;485;591;
Okuma yazma bilen fakat bir okul bitirmeyen;;229;556;785;
Ýlkokul;;2.949;3.984;6.933;
Ýlköðretim;;1.580;1.089;2.669;
Ortaokul veya dengi okul;;1.417;1.258;2.675;
Lise veya dengi okul;;3.258;2.937;6.195;
Yüksekokul veya fakülte;;1.710;1.424;3.134;
Yüksek lisans;;108;87;195;
Doktora;;27;14;41;
Bilinmeyen;;319;342;661;
Toplam;;11.703;12.176;23.879;
Çiftlikköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;76;515;591;
Okuma yazma bilen fakat bir okul bitirmeyen;;165;590;755;
Ýlkokul;;2.195;3.438;5.633;
Ýlköðretim;;1.823;1.529;3.352;
Ortaokul veya dengi okul;;1.574;1.409;2.983;
Lise veya dengi okul;;4.079;3.557;7.636;
Yüksekokul veya fakülte;;2.798;2.260;5.058;
Yüksek lisans;;239;198;437;
Doktora;;57;16;73;
Bilinmeyen;;183;184;367;
Toplam;;13.189;13.696;26.885;
Termal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;12;75;87;
Okuma yazma bilen fakat bir okul bitirmeyen;;45;137;182;
Ýlkokul;;449;646;1.095;
Ýlköðretim;;380;246;626;
Ortaokul veya dengi okul;;229;170;399;
Lise veya dengi okul;;612;495;1.107;
Yüksekokul veya fakülte;;307;262;569;
Yüksek lisans;;23;8;31;
Doktora;;2;3;5;
Bilinmeyen;;28;32;60;
Toplam;;2.087;2.074;4.161;
Yalova Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;270;1.857;2.127;
Okuma yazma bilen fakat bir okul bitirmeyen;;685;2.318;3.003;
Ýlkokul;;7.703;12.798;20.501;
Ýlköðretim;;6.425;5.176;11.601;
Ortaokul veya dengi okul;;5.444;4.536;9.980;
Lise veya dengi okul;;14.746;12.929;27.675;
Yüksekokul veya fakülte;;10.436;8.912;19.348;
Yüksek lisans;;1.141;826;1.967;
Doktora;;241;117;358;
Bilinmeyen;;518;579;1.097;
Toplam;;47.609;50.048;97.657;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
