TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Yozgat;;;;;
Akdaðmadeni;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;264;1.171;1.435;
Okuma yazma bilen fakat bir okul bitirmeyen;;931;1.572;2.503;
Ýlkokul;;4.202;6.103;10.305;
Ýlköðretim;;2.324;2.070;4.394;
Ortaokul veya dengi okul;;1.542;982;2.524;
Lise veya dengi okul;;3.237;2.053;5.290;
Yüksekokul veya fakülte;;1.546;931;2.477;
Yüksek lisans;;113;49;162;
Doktora;;23;10;33;
Bilinmeyen;;270;306;576;
Toplam;;14.452;15.247;29.699;
Aydýncýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;239;686;925;
Okuma yazma bilen fakat bir okul bitirmeyen;;257;558;815;
Ýlkokul;;1.026;1.247;2.273;
Ýlköðretim;;716;536;1.252;
Ortaokul veya dengi okul;;432;187;619;
Lise veya dengi okul;;636;356;992;
Yüksekokul veya fakülte;;218;140;358;
Yüksek lisans;;13;5;18;
Doktora;;3;2;5;
Bilinmeyen;;13;25;38;
Toplam;;3.553;3.742;7.295;
Boðazlýyan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;44;571;615;
Okuma yazma bilen fakat bir okul bitirmeyen;;270;897;1.167;
Ýlkokul;;3.583;5.446;9.029;
Ýlköðretim;;1.418;1.381;2.799;
Ortaokul veya dengi okul;;1.383;863;2.246;
Lise veya dengi okul;;3.727;2.193;5.920;
Yüksekokul veya fakülte;;1.426;969;2.395;
Yüksek lisans;;92;51;143;
Doktora;;14;16;30;
Bilinmeyen;;400;432;832;
Toplam;;12.357;12.819;25.176;
Çandýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;27;139;166;
Okuma yazma bilen fakat bir okul bitirmeyen;;60;177;237;
Ýlkokul;;486;763;1.249;
Ýlköðretim;;204;122;326;
Ortaokul veya dengi okul;;174;110;284;
Lise veya dengi okul;;382;268;650;
Yüksekokul veya fakülte;;171;83;254;
Yüksek lisans;;13;1;14;
Doktora;;2;-;2;
Bilinmeyen;;111;93;204;
Toplam;;1.630;1.756;3.386;
Çayýralan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;80;406;486;
Okuma yazma bilen fakat bir okul bitirmeyen;;330;646;976;
Ýlkokul;;1.331;1.850;3.181;
Ýlköðretim;;570;493;1.063;
Ortaokul veya dengi okul;;552;361;913;
Lise veya dengi okul;;1.093;686;1.779;
Yüksekokul veya fakülte;;423;256;679;
Yüksek lisans;;35;10;45;
Doktora;;1;4;5;
Bilinmeyen;;196;223;419;
Toplam;;4.611;4.935;9.546;
Çekerek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;245;1.148;1.393;
Okuma yazma bilen fakat bir okul bitirmeyen;;364;747;1.111;
Ýlkokul;;2.424;2.939;5.363;
Ýlköðretim;;1.045;983;2.028;
Ortaokul veya dengi okul;;757;335;1.092;
Lise veya dengi okul;;1.402;823;2.225;
Yüksekokul veya fakülte;;576;373;949;
Yüksek lisans;;56;23;79;
Doktora;;8;7;15;
Bilinmeyen;;39;61;100;
Toplam;;6.916;7.439;14.355;
Kadýþehri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;134;533;667;
Okuma yazma bilen fakat bir okul bitirmeyen;;189;278;467;
Ýlkokul;;1.447;1.847;3.294;
Ýlköðretim;;718;644;1.362;
Ortaokul veya dengi okul;;406;186;592;
Lise veya dengi okul;;623;343;966;
Yüksekokul veya fakülte;;282;166;448;
Yüksek lisans;;22;7;29;
Doktora;;4;3;7;
Bilinmeyen;;23;46;69;
Toplam;;3.848;4.053;7.901;
Saraykent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;48;343;391;
Okuma yazma bilen fakat bir okul bitirmeyen;;288;460;748;
Ýlkokul;;1.349;1.874;3.223;
Ýlköðretim;;763;648;1.411;
Ortaokul veya dengi okul;;406;244;650;
Lise veya dengi okul;;856;432;1.288;
Yüksekokul veya fakülte;;270;177;447;
Yüksek lisans;;16;4;20;
Doktora;;3;2;5;
Bilinmeyen;;78;100;178;
Toplam;;4.077;4.284;8.361;
Sarýkaya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;249;1.277;1.526;
Okuma yazma bilen fakat bir okul bitirmeyen;;635;1.046;1.681;
Ýlkokul;;3.743;5.048;8.791;
Ýlköðretim;;1.788;1.442;3.230;
Ortaokul veya dengi okul;;1.129;609;1.738;
Lise veya dengi okul;;2.683;1.783;4.466;
Yüksekokul veya fakülte;;1.154;785;1.939;
Yüksek lisans;;93;44;137;
Doktora;;6;2;8;
Bilinmeyen;;260;300;560;
Toplam;;11.740;12.336;24.076;
Sorgun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;489;2.905;3.394;
Okuma yazma bilen fakat bir okul bitirmeyen;;854;2.056;2.910;
Ýlkokul;;6.973;9.722;16.695;
Ýlköðretim;;4.596;4.126;8.722;
Ortaokul veya dengi okul;;2.895;1.860;4.755;
Lise veya dengi okul;;7.067;4.471;11.538;
Yüksekokul veya fakülte;;3.316;2.064;5.380;
Yüksek lisans;;318;123;441;
Doktora;;30;19;49;
Bilinmeyen;;714;791;1.505;
Toplam;;27.252;28.137;55.389;
Þefaatli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;95;760;855;
Okuma yazma bilen fakat bir okul bitirmeyen;;156;411;567;
Ýlkokul;;1.551;2.335;3.886;
Ýlköðretim;;601;571;1.172;
Ortaokul veya dengi okul;;781;463;1.244;
Lise veya dengi okul;;1.649;921;2.570;
Yüksekokul veya fakülte;;585;363;948;
Yüksek lisans;;38;14;52;
Doktora;;4;2;6;
Bilinmeyen;;99;125;224;
Toplam;;5.559;5.965;11.524;
Yenifakýlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;143;158;
