TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Zonguldak;;;;;
Alaplý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;146;1.757;1.903;
Okuma yazma bilen fakat bir okul bitirmeyen;;248;1.203;1.451;
Ýlkokul;;4.331;6.419;10.750;
Ýlköðretim;;3.229;2.313;5.542;
Ortaokul veya dengi okul;;1.326;852;2.178;
Lise veya dengi okul;;4.642;2.779;7.421;
Yüksekokul veya fakülte;;1.670;1.200;2.870;
Yüksek lisans;;115;57;172;
Doktora;;24;14;38;
Bilinmeyen;;60;95;155;
Toplam;;15.791;16.689;32.480;
Çaycuma;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;531;4.589;5.120;
Okuma yazma bilen fakat bir okul bitirmeyen;;849;3.463;4.312;
Ýlkokul;;10.302;13.849;24.151;
Ýlköðretim;;6.305;4.725;11.030;
Ortaokul veya dengi okul;;3.675;2.373;6.048;
Lise veya dengi okul;;8.667;5.101;13.768;
Yüksekokul veya fakülte;;4.062;3.113;7.175;
Yüksek lisans;;237;134;371;
Doktora;;28;33;61;
Bilinmeyen;;76;99;175;
Toplam;;34.732;37.479;72.211;
Devrek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;538;3.727;4.265;
Okuma yazma bilen fakat bir okul bitirmeyen;;787;2.092;2.879;
Ýlkokul;;7.520;8.645;16.165;
Ýlköðretim;;3.151;2.053;5.204;
Ortaokul veya dengi okul;;2.173;1.343;3.516;
Lise veya dengi okul;;4.698;3.159;7.857;
Yüksekokul veya fakülte;;2.482;1.861;4.343;
Yüksek lisans;;147;97;244;
Doktora;;29;26;55;
Bilinmeyen;;301;350;651;
Toplam;;21.826;23.353;45.179;
Ereðli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;718;6.692;7.410;
Okuma yazma bilen fakat bir okul bitirmeyen;;802;3.569;4.371;
Ýlkokul;;12.881;21.509;34.390;
Ýlköðretim;;10.565;7.298;17.863;
Ortaokul veya dengi okul;;5.830;4.334;10.164;
Lise veya dengi okul;;21.530;13.601;35.131;
Yüksekokul veya fakülte;;9.092;7.992;17.084;
Yüksek lisans;;740;601;1.341;
Doktora;;131;85;216;
Bilinmeyen;;196;252;448;
Toplam;;62.485;65.933;128.418;
Gökçebey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;274;1.771;2.045;
Okuma yazma bilen fakat bir okul bitirmeyen;;245;691;936;
Ýlkokul;;2.466;2.813;5.279;
Ýlköðretim;;1.617;1.168;2.785;
Ortaokul veya dengi okul;;884;571;1.455;
Lise veya dengi okul;;1.722;1.078;2.800;
Yüksekokul veya fakülte;;770;509;1.279;
Yüksek lisans;;32;16;48;
Doktora;;6;7;13;
Bilinmeyen;;44;39;83;
Toplam;;8.060;8.663;16.723;
Kilimli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;134;1.183;1.317;
Okuma yazma bilen fakat bir okul bitirmeyen;;144;749;893;
Ýlkokul;;3.095;5.085;8.180;
Ýlköðretim;;2.326;1.459;3.785;
Ortaokul veya dengi okul;;1.783;1.227;3.010;
Lise veya dengi okul;;4.352;2.755;7.107;
Yüksekokul veya fakülte;;1.515;1.358;2.873;
Yüksek lisans;;70;61;131;
Doktora;;17;14;31;
Bilinmeyen;;48;65;113;
Toplam;;13.484;13.956;27.440;
Kozlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;189;1.589;1.778;
Okuma yazma bilen fakat bir okul bitirmeyen;;248;1.053;1.301;
Ýlkokul;;3.414;5.384;8.798;
Ýlköðretim;;2.785;1.712;4.497;
Ortaokul veya dengi okul;;1.790;1.228;3.018;
Lise veya dengi okul;;4.768;3.423;8.191;
Yüksekokul veya fakülte;;2.926;2.598;5.524;
Yüksek lisans;;339;338;677;
Doktora;;150;110;260;
Bilinmeyen;;63;101;164;
Toplam;;16.672;17.536;34.208;
Zonguldak Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;414;3.526;3.940;
Okuma yazma bilen fakat bir okul bitirmeyen;;722;2.690;3.412;
Ýlkokul;;8.242;12.214;20.456;
Ýlköðretim;;6.785;4.260;11.045;
Ortaokul veya dengi okul;;4.991;4.062;9.053;
Lise veya dengi okul;;13.746;11.146;24.892;
Yüksekokul veya fakülte;;7.770;7.583;15.353;
Yüksek lisans;;651;548;1.199;
Doktora;;246;181;427;
Bilinmeyen;;200;227;427;
Toplam;;43.767;46.437;90.204;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
