TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Çanakkale;;;;;
Ayvacýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;109;410;519;
Okuma yazma bilen fakat bir okul bitirmeyen;;694;1.330;2.024;
Ýlkokul;;4.646;5.822;10.468;
Ýlköðretim;;1.723;1.273;2.996;
Ortaokul veya dengi okul;;1.331;912;2.243;
Lise veya dengi okul;;2.976;2.232;5.208;
Yüksekokul veya fakülte;;1.899;1.524;3.423;
Yüksek lisans;;131;97;228;
Doktora;;30;13;43;
Bilinmeyen;;98;94;192;
Toplam;;13.637;13.707;27.344;
Bayramiç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;111;427;538;
Okuma yazma bilen fakat bir okul bitirmeyen;;640;1.167;1.807;
Ýlkokul;;4.770;6.219;10.989;
Ýlköðretim;;1.651;1.336;2.987;
Ortaokul veya dengi okul;;931;782;1.713;
Lise veya dengi okul;;2.265;1.360;3.625;
Yüksekokul veya fakülte;;1.139;778;1.917;
Yüksek lisans;;90;67;157;
Doktora;;11;6;17;
Bilinmeyen;;23;28;51;
Toplam;;11.631;12.170;23.801;
Biga;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;171;809;980;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.215;2.778;3.993;
Ýlkokul;;11.269;15.646;26.915;
Ýlköðretim;;4.476;2.989;7.465;
Ortaokul veya dengi okul;;3.314;2.260;5.574;
Lise veya dengi okul;;8.138;5.742;13.880;
Yüksekokul veya fakülte;;5.160;4.172;9.332;
Yüksek lisans;;372;255;627;
Doktora;;63;45;108;
Bilinmeyen;;82;82;164;
Toplam;;34.260;34.778;69.038;
Bozcaada;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1;5;6;
Okuma yazma bilen fakat bir okul bitirmeyen;;10;22;32;
Ýlkokul;;229;300;529;
Ýlköðretim;;97;69;166;
Ortaokul veya dengi okul;;91;77;168;
Lise veya dengi okul;;425;278;703;
Yüksekokul veya fakülte;;404;331;735;
Yüksek lisans;;41;37;78;
Doktora;;11;8;19;
Bilinmeyen;;8;4;12;
Toplam;;1.317;1.131;2.448;
Çan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;64;355;419;
Okuma yazma bilen fakat bir okul bitirmeyen;;574;1.259;1.833;
Ýlkokul;;5.608;8.933;14.541;
Ýlköðretim;;2.453;1.837;4.290;
Ortaokul veya dengi okul;;1.831;1.319;3.150;
Lise veya dengi okul;;5.301;3.335;8.636;
Yüksekokul veya fakülte;;2.983;2.202;5.185;
Yüksek lisans;;158;114;272;
Doktora;;29;28;57;
Bilinmeyen;;20;23;43;
Toplam;;19.021;19.405;38.426;
Çanakkale Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;278;1.151;1.429;
Okuma yazma bilen fakat bir okul bitirmeyen;;816;1.948;2.764;
Ýlkokul;;9.912;16.268;26.180;
Ýlköðretim;;6.217;5.101;11.318;
Ortaokul veya dengi okul;;5.168;4.976;10.144;
Lise veya dengi okul;;18.664;17.326;35.990;
Yüksekokul veya fakülte;;17.568;15.729;33.297;
Yüksek lisans;;1.852;1.686;3.538;
Doktora;;828;541;1.369;
Bilinmeyen;;259;226;485;
Toplam;;61.562;64.952;126.514;
Eceabat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;13;80;93;
Okuma yazma bilen fakat bir okul bitirmeyen;;125;298;423;
Ýlkokul;;1.204;1.418;2.622;
Ýlköðretim;;498;440;938;
