TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Çankýrý;;;;;
Atkaracalar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;18;121;139;
Okuma yazma bilen fakat bir okul bitirmeyen;;30;131;161;
Ýlkokul;;539;779;1.318;
Ýlköðretim;;164;167;331;
Ortaokul veya dengi okul;;236;105;341;
Lise veya dengi okul;;439;189;628;
Yüksekokul veya fakülte;;193;107;300;
Yüksek lisans;;13;13;26;
Doktora;;3;1;4;
Bilinmeyen;;9;18;27;
Toplam;;1.644;1.631;3.275;
Bayramören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;257;317;
Okuma yazma bilen fakat bir okul bitirmeyen;;67;93;160;
Ýlkokul;;459;428;887;
Ýlköðretim;;107;61;168;
Ortaokul veya dengi okul;;120;36;156;
Lise veya dengi okul;;146;70;216;
Yüksekokul veya fakülte;;66;27;93;
Yüksek lisans;;9;3;12;
Doktora;;1;-;1;
Bilinmeyen;;6;6;12;
Toplam;;1.041;981;2.022;
Çankýrý Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;249;1.886;2.135;
Okuma yazma bilen fakat bir okul bitirmeyen;;472;1.501;1.973;
Ýlkokul;;4.754;8.625;13.379;
Ýlköðretim;;4.569;5.000;9.569;
Ortaokul veya dengi okul;;3.322;2.727;6.049;
Lise veya dengi okul;;9.778;6.935;16.713;
Yüksekokul veya fakülte;;6.015;4.667;10.682;
Yüksek lisans;;596;366;962;
Doktora;;220;113;333;
Bilinmeyen;;94;98;192;
Toplam;;30.069;31.918;61.987;
Çerkeþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;99;569;668;
Okuma yazma bilen fakat bir okul bitirmeyen;;174;459;633;
Ýlkokul;;1.598;2.411;4.009;
Ýlköðretim;;964;710;1.674;
Ortaokul veya dengi okul;;813;364;1.177;
Lise veya dengi okul;;1.419;902;2.321;
Yüksekokul veya fakülte;;729;437;1.166;
Yüksek lisans;;63;36;99;
Doktora;;10;-;10;
Bilinmeyen;;21;21;42;
Toplam;;5.890;5.909;11.799;
Eldivan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;282;311;
Okuma yazma bilen fakat bir okul bitirmeyen;;83;362;445;
Ýlkokul;;686;891;1.577;
Ýlköðretim;;294;226;520;
Ortaokul veya dengi okul;;343;187;530;
Lise veya dengi okul;;674;346;1.020;
Yüksekokul veya fakülte;;255;136;391;
Yüksek lisans;;12;9;21;
Doktora;;1;1;2;
Bilinmeyen;;10;9;19;
Toplam;;2.387;2.449;4.836;
Ilgaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;109;710;819;
Okuma yazma bilen fakat bir okul bitirmeyen;;217;552;769;
Ýlkokul;;1.872;2.655;4.527;
Ýlköðretim;;637;506;1.143;
Ortaokul veya dengi okul;;702;342;1.044;
Lise veya dengi okul;;1.326;696;2.022;
Yüksekokul veya fakülte;;677;334;1.011;
Yüksek lisans;;41;21;62;
Doktora;;7;2;9;
Bilinmeyen;;11;21;32;
Toplam;;5.599;5.839;11.438;
Kýzýlýrmak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;353;406;
Okuma yazma bilen fakat bir okul bitirmeyen;;153;333;486;
Ýlkokul;;1.137;1.376;2.513;
Ýlköðretim;;475;421;896;
Ortaokul veya dengi okul;;299;129;428;
Lise veya dengi okul;;464;203;667;
Yüksekokul veya fakülte;;197;113;310;
Yüksek lisans;;8;7;15;
Doktora;;-;1;1;
Bilinmeyen;;14;10;24;
Toplam;;2.800;2.946;5.746;
Korgun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;184;210;
Okuma yazma bilen fakat bir okul bitirmeyen;;46;201;247;
Ýlkokul;;695;854;1.549;
Ýlköðretim;;224;136;360;
Ortaokul veya dengi okul;;182;81;263;
Lise veya dengi okul;;317;173;490;
Yüksekokul veya fakülte;;121;68;189;
Yüksek lisans;;8;4;12;
Doktora;;0;0;0;
Bilinmeyen;;3;5;8;
Toplam;;1.622;1.706;3.328;
Kurþunlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;68;320;388;
Okuma yazma bilen fakat bir okul bitirmeyen;;92;276;368;
Ýlkokul;;1.005;1.400;2.405;
Ýlköðretim;;479;308;787;
Ortaokul veya dengi okul;;454;219;673;
Lise veya dengi okul;;793;465;1.258;
Yüksekokul veya fakülte;;412;247;659;
Yüksek lisans;;32;23;55;
Doktora;;4;4;8;
Bilinmeyen;;15;8;23;
Toplam;;3.354;3.270;6.624;
Orta;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;78;631;709;
Okuma yazma bilen fakat bir okul bitirmeyen;;203;490;693;
Ýlkokul;;1.809;1.776;3.585;
Ýlköðretim;;560;391;951;
Ortaokul veya dengi okul;;403;230;633;
Lise veya dengi okul;;815;430;1.245;
Yüksekokul veya fakülte;;280;178;458;
Yüksek lisans;;19;10;29;
Doktora;;1;-;1;
Bilinmeyen;;42;33;75;
Toplam;;4.210;4.169;8.379;
Þabanözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;181;224;
Okuma yazma bilen fakat bir okul bitirmeyen;;82;312;394;
Ýlkokul;;1.149;1.756;2.905;
Ýlköðretim;;645;538;1.183;
Ortaokul veya dengi okul;;469;323;792;
Lise veya dengi okul;;1.163;700;1.863;
Yüksekokul veya fakülte;;417;237;654;
Yüksek lisans;;24;16;40;
Doktora;;3;3;6;
Bilinmeyen;;39;33;72;
Toplam;;4.034;4.099;8.133;
Yapraklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;177;678;855;
Okuma yazma bilen fakat bir okul bitirmeyen;;232;415;647;
Ýlkokul;;1.187;1.379;2.566;
Ýlköðretim;;323;359;682;
Ortaokul veya dengi okul;;280;114;394;
Lise veya dengi okul;;492;223;715;
Yüksekokul veya fakülte;;232;105;337;
Yüksek lisans;;14;3;17;
Doktora;;2;1;3;
Bilinmeyen;;90;85;175;
Toplam;;3.029;3.362;6.391;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
