TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Çorum;;;;;
Alaca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;247;1.340;1.587;
Okuma yazma bilen fakat bir okul bitirmeyen;;658;1.476;2.134;
Ýlkokul;;3.879;5.084;8.963;
Ýlköðretim;;1.754;1.328;3.082;
Ortaokul veya dengi okul;;1.281;721;2.002;
Lise veya dengi okul;;2.612;1.610;4.222;
Yüksekokul veya fakülte;;1.208;777;1.985;
Yüksek lisans;;85;40;125;
Doktora;;10;8;18;
Bilinmeyen;;67;87;154;
Toplam;;11.801;12.471;24.272;
Bayat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;224;777;1.001;
Okuma yazma bilen fakat bir okul bitirmeyen;;683;1.393;2.076;
Ýlkokul;;2.170;2.516;4.686;
Ýlköðretim;;1.085;1.044;2.129;
Ortaokul veya dengi okul;;502;300;802;
Lise veya dengi okul;;957;490;1.447;
Yüksekokul veya fakülte;;423;257;680;
Yüksek lisans;;39;20;59;
Doktora;;5;1;6;
Bilinmeyen;;7;13;20;
Toplam;;6.095;6.811;12.906;
Boðazkale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;5;41;46;
Okuma yazma bilen fakat bir okul bitirmeyen;;135;460;595;
Ýlkokul;;610;633;1.243;
Ýlköðretim;;229;160;389;
Ortaokul veya dengi okul;;156;68;224;
Lise veya dengi okul;;269;176;445;
Yüksekokul veya fakülte;;96;54;150;
Yüksek lisans;;4;6;10;
Doktora;;1;-;1;
Bilinmeyen;;5;12;17;
Toplam;;1.510;1.610;3.120;
Çorum Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.199;6.423;7.622;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.222;5.665;7.887;
Ýlkokul;;20.677;31.052;51.729;
Ýlköðretim;;19.039;15.570;34.609;
Ortaokul veya dengi okul;;10.034;8.316;18.350;
Lise veya dengi okul;;25.849;22.488;48.337;
Yüksekokul veya fakülte;;18.113;14.261;32.374;
Yüksek lisans;;1.572;986;2.558;
Doktora;;424;210;634;
Bilinmeyen;;821;843;1.664;
Toplam;;99.950;105.814;205.764;
Dodurga;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;46;191;237;
Okuma yazma bilen fakat bir okul bitirmeyen;;106;361;467;
Ýlkokul;;878;1.145;2.023;
Ýlköðretim;;415;382;797;
Ortaokul veya dengi okul;;220;145;365;
Lise veya dengi okul;;559;277;836;
Yüksekokul veya fakülte;;217;123;340;
Yüksek lisans;;9;3;12;
Doktora;;2;2;4;
Bilinmeyen;;13;14;27;
Toplam;;2.465;2.643;5.108;
Ýskilip;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;633;2.129;2.762;
Okuma yazma bilen fakat bir okul bitirmeyen;;862;1.584;2.446;
Ýlkokul;;4.082;5.137;9.219;
Ýlköðretim;;1.645;1.558;3.203;
Ortaokul veya dengi okul;;1.203;766;1.969;
Lise veya dengi okul;;2.426;1.341;3.767;
Yüksekokul veya fakülte;;1.215;682;1.897;
Yüksek lisans;;76;42;118;
Doktora;;12;10;22;
Bilinmeyen;;15;18;33;
Toplam;;12.169;13.267;25.436;
Kargý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;557;706;
Okuma yazma bilen fakat bir okul bitirmeyen;;513;1.672;2.185;
Ýlkokul;;2.743;3.043;5.786;
Ýlköðretim;;561;477;1.038;
Ortaokul veya dengi okul;;683;317;1.000;
Lise veya dengi okul;;1.035;589;1.624;
Yüksekokul veya fakülte;;573;307;880;
Yüksek lisans;;41;19;60;
Doktora;;1;3;4;
Bilinmeyen;;15;18;33;
Toplam;;6.314;7.002;13.316;
Laçin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;185;260;
Okuma yazma bilen fakat bir okul bitirmeyen;;165;388;553;
Ýlkokul;;635;687;1.322;
Ýlköðretim;;291;218;509;
Ortaokul veya dengi okul;;213;134;347;
Lise veya dengi okul;;276;147;423;
Yüksekokul veya fakülte;;101;52;153;
Yüksek lisans;;3;1;4;
Doktora;;-;1;1;
Bilinmeyen;;15;13;28;
Toplam;;1.774;1.826;3.600;
Mecitözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;92;379;471;
Okuma yazma bilen fakat bir okul bitirmeyen;;383;1.108;1.491;
Ýlkokul;;2.675;2.967;5.642;
Ýlköðretim;;823;620;1.443;
Ortaokul veya dengi okul;;613;302;915;
Lise veya dengi okul;;1.063;640;1.703;
Yüksekokul veya fakülte;;353;241;594;
Yüksek lisans;;21;8;29;
Doktora;;3;6;9;
Bilinmeyen;;16;16;32;
Toplam;;6.042;6.287;12.329;
Oðuzlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;52;128;180;
Okuma yazma bilen fakat bir okul bitirmeyen;;268;594;862;
Ýlkokul;;710;917;1.627;
Ýlköðretim;;295;206;501;
Ortaokul veya dengi okul;;218;116;334;
Lise veya dengi okul;;405;195;600;
Yüksekokul veya fakülte;;166;92;258;
Yüksek lisans;;11;4;15;
Doktora;;1;1;2;
Bilinmeyen;;2;3;5;
Toplam;;2.128;2.256;4.384;
Ortaköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;77;352;429;
Okuma yazma bilen fakat bir okul bitirmeyen;;173;494;667;
Ýlkokul;;763;985;1.748;
Ýlköðretim;;634;363;997;
Ortaokul veya dengi okul;;288;189;477;
Lise veya dengi okul;;526;301;827;
Yüksekokul veya fakülte;;247;133;380;
Yüksek lisans;;13;8;21;
Doktora;;0;0;0;
Bilinmeyen;;3;3;6;
Toplam;;2.724;2.828;5.552;
Osmancýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;493;2.047;2.540;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.240;2.531;3.771;
