TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Isparta;;;;;
Aksu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;129;155;
Okuma yazma bilen fakat bir okul bitirmeyen;;103;395;498;
Ýlkokul;;546;676;1.222;
Ýlköðretim;;209;134;343;
Ortaokul veya dengi okul;;223;114;337;
Lise veya dengi okul;;527;254;781;
Yüksekokul veya fakülte;;206;107;313;
Yüksek lisans;;6;2;8;
Doktora;;-;2;2;
Bilinmeyen;;2;3;5;
Toplam;;1.848;1.816;3.664;
Atabey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;9;67;76;
Okuma yazma bilen fakat bir okul bitirmeyen;;39;207;246;
Ýlkokul;;479;864;1.343;
Ýlköðretim;;341;256;597;
Ortaokul veya dengi okul;;263;153;416;
Lise veya dengi okul;;528;412;940;
Yüksekokul veya fakülte;;340;212;552;
Yüksek lisans;;16;9;25;
Doktora;;5;2;7;
Bilinmeyen;;1;6;7;
Toplam;;2.021;2.188;4.209;
Eðirdir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;99;513;612;
Okuma yazma bilen fakat bir okul bitirmeyen;;206;991;1.197;
Ýlkokul;;3.379;4.823;8.202;
Ýlköðretim;;1.496;1.215;2.711;
Ortaokul veya dengi okul;;1.173;1.019;2.192;
Lise veya dengi okul;;3.551;2.332;5.883;
Yüksekokul veya fakülte;;1.701;1.331;3.032;
Yüksek lisans;;103;92;195;
Doktora;;18;7;25;
Bilinmeyen;;31;37;68;
Toplam;;11.757;12.360;24.117;
Gelendost;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;61;253;314;
Okuma yazma bilen fakat bir okul bitirmeyen;;169;668;837;
Ýlkokul;;2.371;3.127;5.498;
Ýlköðretim;;820;667;1.487;
Ortaokul veya dengi okul;;735;422;1.157;
Lise veya dengi okul;;1.286;718;2.004;
Yüksekokul veya fakülte;;456;331;787;
Yüksek lisans;;24;12;36;
Doktora;;7;2;9;
Bilinmeyen;;66;62;128;
Toplam;;5.995;6.262;12.257;
Gönen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;191;213;
Okuma yazma bilen fakat bir okul bitirmeyen;;45;170;215;
Ýlkokul;;712;1.221;1.933;
Ýlköðretim;;430;319;749;
Ortaokul veya dengi okul;;343;231;574;
Lise veya dengi okul;;763;483;1.246;
Yüksekokul veya fakülte;;461;277;738;
Yüksek lisans;;24;7;31;
Doktora;;7;1;8;
Bilinmeyen;;15;19;34;
Toplam;;2.822;2.919;5.741;
Isparta Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;427;3.279;3.706;
Okuma yazma bilen fakat bir okul bitirmeyen;;664;2.638;3.302;
Ýlkokul;;13.698;22.149;35.847;
Ýlköðretim;;10.435;9.612;20.047;
Ortaokul veya dengi okul;;7.641;6.978;14.619;
Lise veya dengi okul;;26.881;23.475;50.356;
Yüksekokul veya fakülte;;20.508;16.748;37.256;
Yüksek lisans;;2.305;1.832;4.137;
Doktora;;1.239;629;1.868;
Bilinmeyen;;431;567;998;
Toplam;;84.229;87.907;172.136;
Keçiborlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;314;357;
Okuma yazma bilen fakat bir okul bitirmeyen;;108;340;448;
Ýlkokul;;1.701;2.762;4.463;
Ýlköðretim;;490;458;948;
Ortaokul veya dengi okul;;689;457;1.146;
Lise veya dengi okul;;1.512;908;2.420;
Yüksekokul veya fakülte;;741;448;1.189;
Yüksek lisans;;43;13;56;
Doktora;;4;3;7;
Bilinmeyen;;64;67;131;
Toplam;;5.395;5.770;11.165;
Senirkent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;394;437;
Okuma yazma bilen fakat bir okul bitirmeyen;;84;553;637;
Ýlkokul;;1.087;1.627;2.714;
Ýlköðretim;;433;484;917;
Ortaokul veya dengi okul;;624;347;971;
Lise veya dengi okul;;1.355;838;2.193;
Yüksekokul veya fakülte;;595;394;989;
Yüksek lisans;;34;19;53;
Doktora;;1;2;3;
Bilinmeyen;;17;36;53;
Toplam;;4.273;4.694;8.967;
Sütçüler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;98;723;821;
