TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Iðdýr;;;;;
Aralýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;173;1.154;1.327;
Okuma yazma bilen fakat bir okul bitirmeyen;;400;665;1.065;
Ýlkokul;;1.728;1.593;3.321;
Ýlköðretim;;1.694;987;2.681;
Ortaokul veya dengi okul;;672;344;1.016;
Lise veya dengi okul;;1.187;1.013;2.200;
Yüksekokul veya fakülte;;491;436;927;
Yüksek lisans;;32;13;45;
Doktora;;3;1;4;
Bilinmeyen;;53;58;111;
Toplam;;6.433;6.264;12.697;
Iðdýr Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.200;6.378;7.578;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.071;5.209;8.280;
Ýlkokul;;7.408;6.563;13.971;
Ýlköðretim;;8.316;5.888;14.204;
Ortaokul veya dengi okul;;4.387;2.926;7.313;
Lise veya dengi okul;;9.807;8.027;17.834;
Yüksekokul veya fakülte;;6.235;5.434;11.669;
Yüksek lisans;;569;341;910;
Doktora;;162;52;214;
Bilinmeyen;;529;704;1.233;
Toplam;;41.684;41.522;83.206;
Karakoyunlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;169;865;1.034;
Okuma yazma bilen fakat bir okul bitirmeyen;;359;521;880;
Ýlkokul;;977;822;1.799;
Ýlköðretim;;1.003;641;1.644;
Ortaokul veya dengi okul;;577;362;939;
Lise veya dengi okul;;1.071;732;1.803;
Yüksekokul veya fakülte;;339;288;627;
Yüksek lisans;;20;6;26;
Doktora;;-;3;3;
Bilinmeyen;;101;139;240;
Toplam;;4.616;4.379;8.995;
Tuzluca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;328;1.544;1.872;
Okuma yazma bilen fakat bir okul bitirmeyen;;795;1.096;1.891;
Ýlkokul;;1.974;1.597;3.571;
Ýlköðretim;;1.725;1.075;2.800;
Ortaokul veya dengi okul;;838;494;1.332;
Lise veya dengi okul;;1.188;746;1.934;
Yüksekokul veya fakülte;;567;394;961;
Yüksek lisans;;32;19;51;
Doktora;;3;1;4;
Bilinmeyen;;159;182;341;
Toplam;;7.609;7.148;14.757;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
