TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Þanlýurfa;;;;;
Akçakale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;743;7.728;8.471;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.750;6.606;8.356;
Ýlkokul;;5.363;3.823;9.186;
Ýlköðretim;;8.311;3.165;11.476;
Ortaokul veya dengi okul;;3.159;1.181;4.340;
Lise veya dengi okul;;3.661;999;4.660;
Yüksekokul veya fakülte;;1.406;672;2.078;
Yüksek lisans;;75;24;99;
Doktora;;14;6;20;
Bilinmeyen;;225;537;762;
Toplam;;24.707;24.741;49.448;
Birecik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;897;4.801;5.698;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.270;4.569;6.839;
Ýlkokul;;7.453;6.666;14.119;
Ýlköðretim;;5.629;4.515;10.144;
Ortaokul veya dengi okul;;2.751;1.631;4.382;
Lise veya dengi okul;;4.588;3.566;8.154;
Yüksekokul veya fakülte;;2.452;1.731;4.183;
Yüksek lisans;;217;73;290;
Doktora;;23;11;34;
Bilinmeyen;;173;178;351;
Toplam;;26.453;27.741;54.194;
Bozova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;627;3.850;4.477;
Okuma yazma bilen fakat bir okul bitirmeyen;;974;3.035;4.009;
Ýlkokul;;3.270;3.442;6.712;
Ýlköðretim;;4.141;2.711;6.852;
Ortaokul veya dengi okul;;1.680;851;2.531;
Lise veya dengi okul;;3.270;1.776;5.046;
Yüksekokul veya fakülte;;1.420;746;2.166;
Yüksek lisans;;64;20;84;
Doktora;;9;4;13;
Bilinmeyen;;84;74;158;
Toplam;;15.539;16.509;32.048;
Ceylanpýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;486;4.648;5.134;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.141;4.903;6.044;
Ýlkokul;;2.806;4.594;7.400;
Ýlköðretim;;6.849;3.553;10.402;
Ortaokul veya dengi okul;;2.328;1.174;3.502;
Lise veya dengi okul;;5.578;2.738;8.316;
Yüksekokul veya fakülte;;2.581;1.412;3.993;
Yüksek lisans;;156;55;211;
