TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Þýrnak;;;;;
Beytüþþebap;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;212;960;1.172;
Okuma yazma bilen fakat bir okul bitirmeyen;;370;771;1.141;
Ýlkokul;;912;592;1.504;
Ýlköðretim;;940;675;1.615;
Ortaokul veya dengi okul;;431;351;782;
Lise veya dengi okul;;1.951;784;2.735;
Yüksekokul veya fakülte;;922;306;1.228;
Yüksek lisans;;42;7;49;
Doktora;;1;1;2;
Bilinmeyen;;93;114;207;
Toplam;;5.874;4.561;10.435;
Cizre;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.067;6.875;7.942;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.163;7.143;9.306;
Ýlkokul;;5.573;6.228;11.801;
Ýlköðretim;;9.579;6.539;16.118;
Ortaokul veya dengi okul;;4.427;2.478;6.905;
Lise veya dengi okul;;8.815;4.518;13.333;
Yüksekokul veya fakülte;;5.139;2.401;7.540;
Yüksek lisans;;310;88;398;
Doktora;;35;10;45;
Bilinmeyen;;406;727;1.133;
Toplam;;37.514;37.007;74.521;
Güçlükonak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;160;799;959;
Okuma yazma bilen fakat bir okul bitirmeyen;;220;591;811;
Ýlkokul;;609;378;987;
Ýlköðretim;;882;513;1.395;
Ortaokul veya dengi okul;;217;132;349;
Lise veya dengi okul;;789;287;1.076;
Yüksekokul veya fakülte;;499;219;718;
Yüksek lisans;;21;2;23;
Doktora;;3;2;5;
Bilinmeyen;;18;22;40;
Toplam;;3.418;2.945;6.363;
Ýdil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;746;4.590;5.336;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.500;4.430;5.930;
Ýlkokul;;3.724;2.889;6.613;
Ýlköðretim;;4.128;2.940;7.068;
Ortaokul veya dengi okul;;1.913;978;2.891;
Lise veya dengi okul;;3.825;2.184;6.009;
Yüksekokul veya fakülte;;2.206;1.193;3.399;
Yüksek lisans;;133;42;175;
Doktora;;23;8;31;
Bilinmeyen;;159;277;436;
Toplam;;18.357;19.531;37.888;
Silopi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.173;7.717;8.890;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.122;6.032;8.154;
Ýlkokul;;5.795;5.632;11.427;
Ýlköðretim;;8.496;5.926;14.422;
Ortaokul veya dengi okul;;3.399;2.530;5.929;
Lise veya dengi okul;;8.232;3.628;11.860;
Yüksekokul veya fakülte;;4.542;1.969;6.511;
Yüksek lisans;;268;68;336;
Doktora;;20;9;29;
Bilinmeyen;;271;432;703;
Toplam;;34.318;33.943;68.261;
Þýrnak Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;810;4.176;4.986;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.167;3.490;4.657;
Ýlkokul;;2.438;3.252;5.690;
Ýlköðretim;;4.445;4.118;8.563;
Ortaokul veya dengi okul;;2.196;1.358;3.554;
Lise veya dengi okul;;8.233;3.385;11.618;
Yüksekokul veya fakülte;;5.700;2.061;7.761;
Yüksek lisans;;316;86;402;
Doktora;;69;14;83;
Bilinmeyen;;146;223;369;
Toplam;;25.520;22.163;47.683;
Uludere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;576;2.255;2.831;
Okuma yazma bilen fakat bir okul bitirmeyen;;912;1.771;2.683;
Ýlkokul;;2.225;1.770;3.995;
Ýlköðretim;;2.503;1.888;4.391;
Ortaokul veya dengi okul;;1.127;718;1.845;
Lise veya dengi okul;;2.858;1.360;4.218;
Yüksekokul veya fakülte;;1.362;514;1.876;
Yüksek lisans;;84;13;97;
Doktora;;3;4;7;
Bilinmeyen;;542;672;1.214;
Toplam;;12.192;10.965;23.157;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
