TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Adana;Seçim çevresi toplamý ;;;;4543;1524922;1313497;1289267;432103;150093;6992;2395;172831;337497;13738;159022;11404;2779;413
;;;Ýl/Ýlçe merkezi;;4543;1524922;1313497;1289267;432103;150093;6992;2395;172831;337497;13738;159022;11404;2779;413
;Seyhan;;;;1509;544445;466048;457965;136592;40669;2447;793;92814;131387;4605;44007;3533;977;141
;;;Ýl/Ýlçe merkezi;;1509;544445;466048;457965;136592;40669;2447;793;92814;131387;4605;44007;3533;977;141
;Ceyhan;;;;354;110714;95135;93224;28443;13283;372;190;15444;21430;779;12238;846;157;42
;;;Ýl/Ýlçe merkezi;;354;110714;95135;93224;28443;13283;372;190;15444;21430;779;12238;846;157;42
;Feke;;;;62;12564;10987;10632;5818;1626;57;43;44;1326;128;1449;114;20;7
;;;Ýl/Ýlçe merkezi;;62;12564;10987;10632;5818;1626;57;43;44;1326;128;1449;114;20;7
;Karaisalý;;;;79;16041;14537;14143;7879;2432;46;25;91;1292;187;2038;139;12;2
;;;Ýl/Ýlçe merkezi;;79;16041;14537;14143;7879;2432;46;25;91;1292;187;2038;139;12;2
;Karataþ;;;;70;16151;14180;13963;3457;1896;31;24;1569;5233;104;1505;110;34;0
;;;Ýl/Ýlçe merkezi;;70;16151;14180;13963;3457;1896;31;24;1569;5233;104;1505;110;34;0
;Kozan;;;;305;92315;78781;76810;36118;11986;248;209;853;11241;1042;14052;900;139;22
;;;Ýl/Ýlçe merkezi;;305;92315;78781;76810;36118;11986;248;209;853;11241;1042;14052;900;139;22
;Pozantý;;;;51;14503;13181;12881;5803;2004;30;28;233;2684;212;1709;153;21;4
;;;Ýl/Ýlçe merkezi;;51;14503;13181;12881;5803;2004;30;28;233;2684;212;1709;153;21;4
;Saimbeyli;;;;45;10942;8996;8688;4429;2107;36;43;69;922;79;868;119;11;5
;;;Ýl/Ýlçe merkezi;;45;10942;8996;8688;4429;2107;36;43;69;922;79;868;119;11;5
;Tufanbeyli;;;;60;12755;11152;10809;4626;2508;64;33;156;2084;167;1018;139;10;4
;;;Ýl/Ýlçe merkezi;;60;12755;11152;10809;4626;2508;64;33;156;2084;167;1018;139;10;4
;Yumurtalýk;;;;47;13108;11274;11003;3811;1788;29;33;391;2678;100;2027;118;27;1
;;;Ýl/Ýlçe merkezi;;47;13108;11274;11003;3811;1788;29;33;391;2678;100;2027;118;27;1
;Yüreðir;;;;787;275514;230697;225295;88348;22022;2929;338;37420;49539;2193;20010;1990;456;50
;;;Ýl/Ýlçe merkezi;;787;275514;230697;225295;88348;22022;2929;338;37420;49539;2193;20010;1990;456;50
;Aladað;;;;50;12018;10829;10507;5092;1859;45;44;63;1557;135;1598;99;11;4
;;;Ýl/Ýlçe merkezi;;50;12018;10829;10507;5092;1859;45;44;63;1557;135;1598;99;11;4
;Ýmamoðlu;;;;66;20256;16948;16477;8005;2440;37;33;389;2711;227;2364;243;25;3
;;;Ýl/Ýlçe merkezi;;66;20256;16948;16477;8005;2440;37;33;389;2711;227;2364;243;25;3
;Sarýçam;;;;322;106808;93526;91922;37337;19863;265;112;4109;14026;858;13903;1264;166;19
;;;Ýl/Ýlçe merkezi;;322;106808;93526;91922;37337;19863;265;112;4109;14026;858;13903;1264;166;19
;Çukurova;;;;736;266788;237226;234948;56345;23610;356;447;19186;89387;2922;40236;1637;713;109
;;;Ýl/Ýlçe merkezi;;736;266788;237226;234948;56345;23610;356;447;19186;89387;2922;40236;1637;713;109
