TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Adýyaman;Seçim çevresi toplamý ;;;;1443;399281;345098;336384;183772;30521;4249;571;51641;39720;5514;17753;2280;363;0
;;;Ýl/Ýlçe merkezi;;759;263304;227039;221081;114734;23093;3392;314;34273;25601;4352;13341;1715;266;0
;;;Belde/Köy;;684;135977;118059;115303;69038;7428;857;257;17368;14119;1162;4412;565;97;0
;Adýyaman Merkez;;;;620;193718;170910;166939;80895;16923;1322;184;32013;21296;2699;10293;1146;168;0
;;;Ýl/Ýlçe merkezi;;449;159162;139690;136288;68128;15273;1200;151;23214;15540;2459;9142;1035;146;0
;;;Belde/Köy;;171;34556;31220;30651;12767;1650;122;33;8799;5756;240;1151;111;22;0
;Besni;;;;195;50927;42421;41083;22159;3733;183;121;4083;6994;479;2941;317;73;0
;;;Ýl/Ýlçe merkezi;;61;20960;17078;16602;7625;1669;73;45;1547;3894;219;1345;146;39;0
;;;Belde/Köy;;134;29967;25343;24481;14534;2064;110;76;2536;3100;260;1596;171;34;0
;Çelikhan;;;;53;10671;9888;9634;5348;509;43;14;1909;1299;239;210;53;10;0
;;;Ýl/Ýlçe merkezi;;19;5631;5116;4948;3581;351;34;2;358;229;202;146;39;6;0
;;;Belde/Köy;;34;5040;4772;4686;1767;158;9;12;1551;1070;37;64;14;4;0
;Gerger;;;;63;11605;8803;8528;6688;284;41;26;788;309;163;180;40;9;0
;;;Ýl/Ýlçe merkezi;;7;1854;1398;1316;805;99;9;8;218;57;36;72;9;3;0
;;;Belde/Köy;;56;9751;7405;7212;5883;185;32;18;570;252;127;108;31;6;0
;Gölbaþý;;;;115;34202;29717;29005;13369;4106;88;80;2256;6492;270;1982;308;54;0
;;;Ýl/Ýlçe merkezi;;65;21679;18546;18127;7978;2810;49;30;1424;3901;210;1470;216;39;0
;;;Belde/Köy;;50;12523;11171;10878;5391;1296;39;50;832;2591;60;512;92;15;0
;Kahta;;;;290;74961;62538;60785;40651;3304;2301;123;9707;1780;1377;1195;316;31;0
;;;Ýl/Ýlçe merkezi;;130;46518;38721;37464;22508;2365;1947;72;7154;1216;1080;860;237;25;0
;;;Belde/Köy;;160;28443;23817;23321;18143;939;354;51;2553;564;297;335;79;6;0
;Samsat;;;;25;4806;4414;4319;2853;418;219;1;384;105;146;174;15;4;0
;;;Ýl/Ýlçe merkezi;;8;2256;1984;1929;1202;192;67;1;235;47;80;94;10;1;0
;;;Belde/Köy;;17;2550;2430;2390;1651;226;152;0;149;58;66;80;5;3;0
;Sincik;;;;54;11512;10450;10366;9046;497;26;4;196;147;104;305;37;4;0
;;;Ýl/Ýlçe merkezi;;10;2823;2496;2471;2117;100;8;0;47;46;57;83;10;3;0
;;;Belde/Köy;;44;8689;7954;7895;6929;397;18;4;149;101;47;222;27;1;0
;Tut;;;;28;6879;5957;5725;2763;747;26;18;305;1298;37;473;48;10;0
;;;Ýl/Ýlçe merkezi;;10;2421;2010;1936;790;234;5;5;76;671;9;129;13;4;0
;;;Belde/Köy;;18;4458;3947;3789;1973;513;21;13;229;627;28;344;35;6;0
