TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Afyonkarahisar;Seçim çevresi toplamý ;;;;1807;506851;459166;447355;243613;62038;977;1138;3382;63810;4965;60706;5846;880;0
;;;Ýl/Ýlçe merkezi;;900;288930;260457;255232;129665;35162;421;507;2535;38923;3483;40772;3178;586;0
;;;Belde/Köy;;907;217921;198709;192123;113948;26876;556;631;847;24887;1482;19934;2668;294;0
;Afyonkarahisar Merkez;;;;584;195131;179752;176728;99396;24542;229;271;1719;20314;2238;25386;2280;353;0
;;;Ýl/Ýlçe merkezi;;428;149842;136844;134693;72149;17838;166;195;1565;17617;1910;21269;1687;297;0
;;;Belde/Köy;;156;45289;42908;42035;27247;6704;63;76;154;2697;328;4117;593;56;0
;Bolvadin;;;;122;31137;27724;26995;14450;5984;56;47;154;2445;370;2963;478;48;0
;;;Ýl/Ýlçe merkezi;;80;21514;19257;18912;9729;4822;21;23;113;1332;309;2199;333;31;0
;;;Belde/Köy;;42;9623;8467;8083;4721;1162;35;24;41;1113;61;764;145;17;0
;Çay;;;;81;23590;20939;20203;9935;2556;64;80;143;3783;187;3194;214;47;0
;;;Ýl/Ýlçe merkezi;;35;10668;9543;9295;3759;998;18;34;98;2404;110;1770;74;30;0
;;;Belde/Köy;;46;12922;11396;10908;6176;1558;46;46;45;1379;77;1424;140;17;0
;Dazkýrý;;;;34;8481;7787;7605;3647;1058;24;15;41;1560;71;1082;86;21;0
;;;Ýl/Ýlçe merkezi;;13;3768;3394;3346;1355;460;8;9;30;833;36;579;24;12;0
;;;Belde/Köy;;21;4713;4393;4259;2292;598;16;6;11;727;35;503;62;9;0
;Dinar;;;;151;34977;30977;29932;12750;4046;98;107;254;7502;293;4453;334;95;0
;;;Ýl/Ýlçe merkezi;;63;18790;16543;16128;6190;2066;35;36;166;4692;152;2539;185;67;0
;;;Belde/Köy;;88;16187;14434;13804;6560;1980;63;71;88;2810;141;1914;149;28;0
;Emirdað;;;;132;27862;22693;21957;11339;2532;70;74;189;4490;203;2740;283;37;0
;;;Ýl/Ýlçe merkezi;;44;13545;11378;11046;5238;1296;24;28;132;2483;113;1583;127;22;0
;;;Belde/Köy;;88;14317;11315;10911;6101;1236;46;46;57;2007;90;1157;156;15;0
;Ýhsaniye;;;;79;19876;18590;18150;11268;2971;25;53;61;1841;155;1546;210;20;0
;;;Ýl/Ýlçe merkezi;;9;2730;2452;2395;1122;295;6;12;13;625;37;259;20;6;0
;;;Belde/Köy;;70;17146;16138;15755;10146;2676;19;41;48;1216;118;1287;190;14;0
;Sandýklý;;;;150;41255;36672;35494;19861;4766;92;126;224;4231;511;5176;448;59;0
;;;Ýl/Ýlçe merkezi;;70;23340;20430;19936;10566;2729;40;52;148;2448;368;3330;214;41;0
;;;Belde/Köy;;80;17915;16242;15558;9295;2037;52;74;76;1783;143;1846;234;18;0
;Sinanpaþa;;;;118;30039;27285;26423;16053;3575;62;80;64;3143;171;2864;366;45;0
;;;Ýl/Ýlçe merkezi;;12;2913;2590;2509;1155;227;3;2;8;633;18;440;17;6;0
;;;Belde/Köy;;106;27126;24695;23914;14898;3348;59;78;56;2510;153;2424;349;39;0
;Sultandaðý;;;;48;12699;11355;10905;2951;886;65;69;222;4412;104;2090;59;47;0
;;;Ýl/Ýlçe merkezi;;15;4307;3753;3631;900;450;22;23;126;1237;32;795;30;16;0
;;;Belde/Köy;;33;8392;7602;7274;2051;436;43;46;96;3175;72;1295;29;31;0
;Þuhut;;;;102;27722;25762;24995;15344;2357;50;58;96;4078;270;2420;289;33;0
;;;Ýl/Ýlçe merkezi;;34;9854;8955;8727;4993;860;15;25;49;1318;141;1205;107;14;0
;;;Belde/Köy;;68;17868;16807;16268;10351;1497;35;33;47;2760;129;1215;182;19;0
;Baþmakçý;;;;31;7818;7126;6797;3061;881;27;39;32;1707;56;893;81;20;0
;;;Ýl/Ýlçe merkezi;;14;4076;3667;3550;1457;479;11;23;19;916;29;553;49;14;0
;;;Belde/Köy;;17;3742;3459;3247;1604;402;16;16;13;791;27;340;32;6;0
;Bayat;;;;24;5695;5110;4853;2630;622;18;28;28;711;29;693;84;10;0
;;;Ýl/Ýlçe merkezi;;10;3160;2785;2653;1234;235;7;10;16;565;17;529;34;6;0
;;;Belde/Köy;;14;2535;2325;2200;1396;387;11;18;12;146;12;164;50;4;0
;Ýscehisar;;;;56;16583;15639;15317;9838;1747;28;27;73;680;157;2440;306;21;0
;;;Ýl/Ýlçe merkezi;;29;8675;8203;8064;4907;832;15;11;19;111;122;1919;117;11;0
;;;Belde/Köy;;27;7908;7436;7253;4931;915;13;16;54;569;35;521;189;10;0
;Çobanlar;;;;34;9011;8358;8110;4234;1696;25;15;25;762;57;1150;137;9;0
;;;Ýl/Ýlçe merkezi;;22;5974;5584;5417;2635;983;21;10;13;673;42;941;92;7;0
;;;Belde/Köy;;12;3037;2774;2693;1599;713;4;5;12;89;15;209;45;2;0
;Evciler;;;;22;5617;5094;4979;2321;552;11;8;15;1305;29;678;53;7;0
;;;Ýl/Ýlçe merkezi;;10;2662;2358;2311;970;196;2;5;10;697;16;381;32;2;0
;;;Belde/Köy;;12;2955;2736;2668;1351;356;9;3;5;608;13;297;21;5;0
;Hocalar;;;;30;7357;6528;6206;3726;997;26;32;35;562;54;654;114;6;0
;;;Ýl/Ýlçe merkezi;;7;1833;1611;1555;772;208;2;5;4;248;22;273;19;2;0
;;;Belde/Köy;;23;5524;4917;4651;2954;789;24;27;31;314;32;381;95;4;0
;Kýzýlören;;;;9;2001;1775;1706;809;270;7;9;7;284;10;284;24;2;0
;;;Ýl/Ýlçe merkezi;;5;1279;1110;1064;534;188;5;4;6;91;9;208;17;2;0
;;;Belde/Köy;;4;722;665;642;275;82;2;5;1;193;1;76;7;0;0
