TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Aksaray;Seçim çevresi toplamý ;;;;891;266870;232175;226978;125326;46588;639;441;2461;21756;1886;24193;3337;351;0
;;;Ýl/Ýlçe merkezi;;538;179731;156796;153643;82296;31584;438;215;1692;14079;1438;19596;2029;276;0
;;;Belde/Köy;;353;87139;75379;73335;43030;15004;201;226;769;7677;448;4597;1308;75;0
;Aksaray Merkez;;;;581;187735;164245;160866;88059;33936;472;285;1920;13970;1256;18386;2316;266;0
;;;Ýl/Ýlçe merkezi;;398;139956;122641;120320;63347;25316;347;162;1533;10772;1067;15916;1633;227;0
;;;Belde/Köy;;183;47779;41604;40546;24712;8620;125;123;387;3198;189;2470;683;39;0
;Ortaköy;;;;87;22942;19417;18874;10907;3681;39;53;127;1580;158;2000;303;26;0
;;;Ýl/Ýlçe merkezi;;40;12751;10847;10607;6068;1932;18;18;87;857;101;1375;135;16;0
;;;Belde/Köy;;47;10191;8570;8267;4839;1749;21;35;40;723;57;625;168;10;0
;Aðaçören;;;;40;6284;5355;5177;2934;1277;23;8;17;267;64;452;130;5;0
;;;Ýl/Ýlçe merkezi;;9;1942;1558;1510;683;437;8;1;6;94;26;225;27;3;0
;;;Belde/Köy;;31;4342;3797;3667;2251;840;15;7;11;173;38;227;103;2;0
;Güzelyurt;;;;31;8240;7030;6829;3625;1540;18;15;137;959;32;342;154;7;0
;;;Ýl/Ýlçe merkezi;;6;1829;1573;1535;925;325;6;1;10;131;14;99;24;0;0
;;;Belde/Köy;;25;6411;5457;5294;2700;1215;12;14;127;828;18;243;130;7;0
;Sarýyahþi;;;;16;3743;2758;2634;1476;401;17;13;16;340;71;260;33;7;0
;;;Ýl/Ýlçe merkezi;;9;2392;1639;1572;837;244;14;5;8;228;43;169;17;7;0
;;;Belde/Köy;;7;1351;1119;1062;639;157;3;8;8;112;28;91;16;0;0
;Eskil;;;;67;17510;15797;15453;9140;2911;35;27;28;1582;156;1387;171;16;0
;;;Ýl/Ýlçe merkezi;;46;11465;10205;9980;5650;2120;27;21;21;964;114;945;110;8;0
;;;Belde/Köy;;21;6045;5592;5473;3490;791;8;6;7;618;42;442;61;8;0
;Gülaðaç;;;;47;13566;11353;11073;5487;2160;21;35;193;2138;94;744;186;15;0
;;;Ýl/Ýlçe merkezi;;10;2974;2503;2429;1360;596;5;2;5;125;19;267;44;6;0
;;;Belde/Köy;;37;10592;8850;8644;4127;1564;16;33;188;2013;75;477;142;9;0
;Sultanhaný;;;;22;6850;6220;6072;3698;682;14;5;23;920;55;622;44;9;0
;;;Ýl/Ýlçe merkezi;;20;6422;5830;5690;3426;614;13;5;22;908;54;600;39;9;0
;;;Belde/Köy;;2;428;390;382;272;68;1;0;1;12;1;22;5;0;0
