TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Amasya;Seçim çevresi toplamý ;;;;941;246486;225566;220743;101546;27198;359;447;3982;54803;2469;27122;2350;467;0
;;;Ýl/Ýlçe merkezi;;508;168149;151916;149028;66126;20039;193;233;2899;34649;1887;21069;1589;344;0
;;;Belde/Köy;;433;78337;73650;71715;35420;7159;166;214;1083;20154;582;6053;761;123;0
;Amasya Merkez;;;;345;101641;93175;91414;40714;11982;114;159;1544;21331;997;13421;933;219;0
;;;Ýl/Ýlçe merkezi;;215;73902;66842;65743;28387;9638;71;92;1195;13710;791;11001;688;170;0
;;;Belde/Köy;;130;27739;26333;25671;12327;2344;43;67;349;7621;206;2420;245;49;0
;Göynücek;;;;50;8202;7466;7235;3827;902;24;28;161;1483;52;668;78;12;0
;;;Ýl/Ýlçe merkezi;;8;2181;1834;1770;998;251;4;3;9;176;18;280;27;4;0
;;;Belde/Köy;;42;6021;5632;5465;2829;651;20;25;152;1307;34;388;51;8;0
;Gümüþhacýköy;;;;84;18699;17508;17146;6105;1147;32;22;613;7758;211;1088;129;41;0
;;;Ýl/Ýlçe merkezi;;39;11583;10613;10385;3660;793;17;16;404;4369;146;862;90;28;0
;;;Belde/Köy;;45;7116;6895;6761;2445;354;15;6;209;3389;65;226;39;13;0
;Merzifon;;;;204;54817;49846;49067;19253;5859;60;77;1097;15710;606;5854;453;98;0
;;;Ýl/Ýlçe merkezi;;130;43074;38774;38160;14911;4699;50;58;872;11692;510;4940;343;85;0
;;;Belde/Köy;;74;11743;11072;10907;4342;1160;10;19;225;4018;96;914;110;13;0
;Suluova;;;;129;35156;32277;31435;18476;4519;47;66;352;3701;398;3407;420;49;0
;;;Ýl/Ýlçe merkezi;;86;28446;25915;25217;14589;3612;37;50;325;3150;339;2721;354;40;0
;;;Belde/Köy;;43;6710;6362;6218;3887;907;10;16;27;551;59;686;66;9;0
;Taþova;;;;107;24894;22401;21642;11778;2344;74;82;187;4187;182;2471;294;43;0
;;;Ýl/Ýlçe merkezi;;25;7838;6924;6767;3093;877;9;11;82;1398;72;1139;70;16;0
;;;Belde/Köy;;82;17056;15477;14875;8685;1467;65;71;105;2789;110;1332;224;27;0
;Hamamözü;;;;22;3077;2893;2804;1393;445;8;13;28;633;23;213;43;5;0
;;;Ýl/Ýlçe merkezi;;5;1125;1014;986;488;169;5;3;12;154;11;126;17;1;0
;;;Belde/Köy;;17;1952;1879;1818;905;276;3;10;16;479;12;87;26;4;0
