TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ankara;Seçim çevresi toplamý (1 nolu);;;;4058;1401842;1250107;1231433;364122;130264;1146;3178;105479;440621;16959;153949;10342;4349;1024
;;;Ýl/Ýlçe merkezi;;4058;1401842;1250107;1231433;364122;130264;1146;3178;105479;440621;16959;153949;10342;4349;1024
;Bala;;;;72;15512;12703;12326;5502;2846;32;18;1029;1416;91;1141;223;25;3
;;;Ýl/Ýlçe merkezi;;72;15512;12703;12326;5502;2846;32;18;1029;1416;91;1141;223;25;3
;Çankaya;;;;1864;675782;605595;599261;105582;40309;375;2107;64257;282527;8488;89048;3006;2835;727
;;;Ýl/Ýlçe merkezi;;1864;675782;605595;599261;105582;40309;375;2107;64257;282527;8488;89048;3006;2835;727
;Elmadað;;;;105;32339;29683;29022;10719;3996;70;49;1426;8222;794;3405;254;76;11
;;;Ýl/Ýlçe merkezi;;105;32339;29683;29022;10719;3996;70;49;1426;8222;794;3405;254;76;11
;Haymana;;;;108;21199;17454;17013;9796;1817;72;28;2300;1644;298;888;155;11;4
;;;Ýl/Ýlçe merkezi;;108;21199;17454;17013;9796;1817;72;28;2300;1644;298;888;155;11;4
;Polatlý;;;;295;88480;76087;74400;32678;12081;115;155;4735;11563;918;11102;879;157;17
;;;Ýl/Ýlçe merkezi;;295;88480;76087;74400;32678;12081;115;155;4735;11563;918;11102;879;157;17
;Þereflikoçhisar;;;;105;24592;20820;20057;9063;2986;50;54;1007;3488;217;2860;277;46;9
;;;Ýl/Ýlçe merkezi;;105;24592;20820;20057;9063;2986;50;54;1007;3488;217;2860;277;46;9
;Gölbaþý;;;;263;88596;79281;78048;30381;14242;72;144;5048;15285;1774;9879;918;238;67
;;;Ýl/Ýlçe merkezi;;263;88596;79281;78048;30381;14242;72;144;5048;15285;1774;9879;918;238;67
;Mamak;;;;1231;453000;406526;399429;159473;51664;354;615;25664;116187;4357;35359;4611;960;185
;;;Ýl/Ýlçe merkezi;;1231;453000;406526;399429;159473;51664;354;615;25664;116187;4357;35359;4611;960;185
;Evren;;;;15;2342;1958;1877;928;323;6;8;13;289;22;267;19;1;1
;;;Ýl/Ýlçe merkezi;;15;2342;1958;1877;928;323;6;8;13;289;22;267;19;1;1
