TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ankara;Seçim çevresi toplamý (2 nolu);;;;3514;1185218;1056573;1040194;520733;154449;1226;1952;39635;180734;16096;109646;13379;2344;0
;;;Ýl/Ýlçe merkezi;;3514;1185218;1056573;1040194;520733;154449;1226;1952;39635;180734;16096;109646;13379;2344;0
;Altýndað;;;;710;257689;227403;223434;118406;28767;259;410;9425;40176;3190;19277;3058;466;0
;;;Ýl/Ýlçe merkezi;;710;257689;227403;223434;118406;28767;259;410;9425;40176;3190;19277;3058;466;0
;Çamlýdere;;;;50;6561;5923;5827;3707;1236;9;9;11;411;49;316;71;8;0
;;;Ýl/Ýlçe merkezi;;50;6561;5923;5827;3707;1236;9;9;11;411;49;316;71;8;0
;Çubuk;;;;234;63167;57643;56615;34023;10297;83;83;987;5394;815;4080;765;88;0
;;;Ýl/Ýlçe merkezi;;234;63167;57643;56615;34023;10297;83;83;987;5394;815;4080;765;88;0
;Güdül;;;;38;7033;6311;6165;3451;942;17;50;23;762;78;754;78;10;0
;;;Ýl/Ýlçe merkezi;;38;7033;6311;6165;3451;942;17;50;23;762;78;754;78;10;0
;Kalecik;;;;67;10082;9152;8874;4766;1347;17;38;91;1418;85;963;128;21;0
;;;Ýl/Ýlçe merkezi;;67;10082;9152;8874;4766;1347;17;38;91;1418;85;963;128;21;0
;Kýzýlcahamam;;;;143;20675;18668;18236;10150;3321;55;45;126;1695;358;2181;266;39;0
;;;Ýl/Ýlçe merkezi;;143;20675;18668;18236;10150;3321;55;45;126;1695;358;2181;266;39;0
;Keçiören;;;;1796;663345;589034;580731;262238;84098;629;1104;26203;119562;9321;69027;7025;1524;0
;;;Ýl/Ýlçe merkezi;;1796;663345;589034;580731;262238;84098;629;1104;26203;119562;9321;69027;7025;1524;0
;Kahramankazan;;;;127;36108;32766;32271;17423;6143;46;67;818;3051;449;3825;409;40;0
;;;Ýl/Ýlçe merkezi;;127;36108;32766;32271;17423;6143;46;67;818;3051;449;3825;409;40;0
;Akyurt;;;;77;22893;20913;20576;12652;3872;38;30;392;1491;244;1494;348;15;0
;;;Ýl/Ýlçe merkezi;;77;22893;20913;20576;12652;3872;38;30;392;1491;244;1494;348;15;0
;Pursaklar;;;;272;97665;88760;87465;53917;14426;73;116;1559;6774;1507;7729;1231;133;0
;;;Ýl/Ýlçe merkezi;;272;97665;88760;87465;53917;14426;73;116;1559;6774;1507;7729;1231;133;0
