TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Antalya;Seçim çevresi toplamý ;;;;5008;1681336;1468770;1435890;485103;143406;3131;3798;100782;420963;13781;246905;12237;4499;1285
;;;Ýl/Ýlçe merkezi;;5008;1681336;1468770;1435890;485103;143406;3131;3798;100782;420963;13781;246905;12237;4499;1285
;Akseki;;;;60;9242;7939;7574;3584;634;22;25;69;2061;117;954;81;24;3
;;;Ýl/Ýlçe merkezi;;60;9242;7939;7574;3584;634;22;25;69;2061;117;954;81;24;3
;Alanya;;;;614;204844;175559;171418;64630;22584;399;562;8055;35545;1378;35609;1677;420;559
;;;Ýl/Ýlçe merkezi;;614;204844;175559;171418;64630;22584;399;562;8055;35545;1378;35609;1677;420;559
;Elmalý;;;;111;29636;26998;26117;10955;2193;72;69;570;6352;379;5252;205;61;9
;;;Ýl/Ýlçe merkezi;;111;29636;26998;26117;10955;2193;72;69;570;6352;379;5252;205;61;9
;Finike;;;;115;36261;31619;30776;11467;3187;80;95;1007;8447;298;5873;234;77;11
;;;Ýl/Ýlçe merkezi;;115;36261;31619;30776;11467;3187;80;95;1007;8447;298;5873;234;77;11
;Gazipaþa;;;;129;37887;33725;32607;10876;2908;92;170;706;11136;371;6012;220;94;22
;;;Ýl/Ýlçe merkezi;;129;37887;33725;32607;10876;2908;92;170;706;11136;371;6012;220;94;22
;Gündoðmuþ;;;;32;6143;5363;4994;2265;405;45;47;64;1008;63;1037;43;8;9
;;;Ýl/Ýlçe merkezi;;32;6143;5363;4994;2265;405;45;47;64;1008;63;1037;43;8;9
;Kaþ;;;;149;43147;38297;36786;13210;2688;136;141;1354;11241;363;7255;220;139;39
;;;Ýl/Ýlçe merkezi;;149;43147;38297;36786;13210;2688;136;141;1354;11241;363;7255;220;139;39
;Korkuteli;;;;143;40912;37245;36040;16883;3222;88;82;709;7794;1217;5664;299;66;16
;;;Ýl/Ýlçe merkezi;;143;40912;37245;36040;16883;3222;88;82;709;7794;1217;5664;299;66;16
;Kumluca;;;;157;50549;45405;44288;17153;4578;154;89;1937;12060;352;7465;373;105;22
;;;Ýl/Ýlçe merkezi;;157;50549;45405;44288;17153;4578;154;89;1937;12060;352;7465;373;105;22
;Manavgat;;;;484;159121;137988;134672;45141;18470;309;351;5799;38370;1042;23488;1246;387;69
;;;Ýl/Ýlçe merkezi;;484;159121;137988;134672;45141;18470;309;351;5799;38370;1042;23488;1246;387;69
;Serik;;;;270;87704;77371;75239;25319;7954;243;221;1895;18022;547;20281;529;195;33
;;;Ýl/Ýlçe merkezi;;270;87704;77371;75239;25319;7954;243;221;1895;18022;547;20281;529;195;33
;Demre;;;;58;19546;17863;17335;7026;1294;60;53;268;4000;477;3986;106;50;15
;;;Ýl/Ýlçe merkezi;;58;19546;17863;17335;7026;1294;60;53;268;4000;477;3986;106;50;15
;Ýbradý;;;;12;2290;2051;1961;809;94;6;5;17;724;23;265;9;6;3
;;;Ýl/Ýlçe merkezi;;12;2290;2051;1961;809;94;6;5;17;724;23;265;9;6;3
;Kemer;;;;83;28545;24622;24122;7756;2452;50;50;1855;7584;186;3890;240;49;10
;;;Ýl/Ýlçe merkezi;;83;28545;24622;24122;7756;2452;50;50;1855;7584;186;3890;240;49;10
;Aksu;;;;148;48961;42519;41182;15864;4705;121;91;2801;8031;291;8756;391;108;23
;;;Ýl/Ýlçe merkezi;;148;48961;42519;41182;15864;4705;121;91;2801;8031;291;8756;391;108;23
;Döþemealtý;;;;130;41987;38645;37595;14808;3901;66;77;2530;9386;377;5930;389;109;22
;;;Ýl/Ýlçe merkezi;;130;41987;38645;37595;14808;3901;66;77;2530;9386;377;5930;389;109;22
;Kepez;;;;1005;362499;315187;308732;117109;33340;758;594;37498;71268;2902;41016;3275;865;107
;;;Ýl/Ýlçe merkezi;;1005;362499;315187;308732;117109;33340;758;594;37498;71268;2902;41016;3275;865;107
;Konyaaltý;;;;328;116814;101942;100779;21892;6864;78;290;9183;44441;894;15974;614;477;72
;;;Ýl/Ýlçe merkezi;;328;116814;101942;100779;21892;6864;78;290;9183;44441;894;15974;614;477;72
;Muratpaþa;;;;980;355248;308432;303673;78356;21933;352;786;24465;123493;2504;48198;2086;1259;241
;;;Ýl/Ýlçe merkezi;;980;355248;308432;303673;78356;21933;352;786;24465;123493;2504;48198;2086;1259;241
