TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ardahan;Seçim çevresi toplamý ;;;;336;69405;58863;56674;20431;3746;203;202;13358;14688;569;2900;435;142;0
;;;Ýl/Ýlçe merkezi;;87;25064;20922;20258;6417;1381;52;46;4122;6113;239;1676;143;69;0
;;;Belde/Köy;;249;44341;37941;36416;14014;2365;151;156;9236;8575;330;1224;292;73;0
;Ardahan Merkez;;;;110;27384;23275;22387;6728;1634;80;84;6916;4811;161;1755;161;57;0
;;;Ýl/Ýlçe merkezi;;41;13066;11086;10762;3030;823;31;27;2573;2846;94;1231;67;40;0
;;;Belde/Köy;;69;14318;12189;11625;3698;811;49;57;4343;1965;67;524;94;17;0
;Çýldýr;;;;43;6985;5815;5609;2300;671;31;35;203;1874;45;367;64;19;0
;;;Ýl/Ýlçe merkezi;;9;1782;1399;1370;557;165;3;8;62;427;13;108;23;4;0
;;;Belde/Köy;;34;5203;4416;4239;1743;506;28;27;141;1447;32;259;41;15;0
;Göle;;;;74;17953;14665;14144;6731;531;51;36;4345;1821;263;252;99;15;0
;;;Ýl/Ýlçe merkezi;;14;4173;3259;3154;1498;124;9;4;787;508;92;108;21;3;0
;;;Belde/Köy;;60;13780;11406;10990;5233;407;42;32;3558;1313;171;144;78;12;0
;Hanak;;;;37;6981;6113;5854;1656;389;20;20;698;2763;42;209;31;26;0
;;;Ýl/Ýlçe merkezi;;9;2263;1928;1845;714;157;1;4;155;684;14;91;19;6;0
;;;Belde/Köy;;28;4718;4185;4009;942;232;19;16;543;2079;28;118;12;20;0
;Posof;;;;53;5384;4713;4550;2701;415;10;17;176;904;41;210;73;3;0
;;;Ýl/Ýlçe merkezi;;4;1373;1114;1085;480;83;2;0;46;362;17;83;11;1;0
;;;Belde/Köy;;49;4011;3599;3465;2221;332;8;17;130;542;24;127;62;2;0
;Damal;;;;19;4718;4282;4130;315;106;11;10;1020;2515;17;107;7;22;0
;;;Ýl/Ýlçe merkezi;;10;2407;2136;2042;138;29;6;3;499;1286;9;55;2;15;0
;;;Belde/Köy;;9;2311;2146;2088;177;77;5;7;521;1229;8;52;5;7;0
