TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Artvin;Seçim çevresi toplamý ;;;;633;131275;115066;111991;44100;11269;325;423;5076;36105;1641;11600;1102;350;0
;;;Ýl/Ýlçe merkezi;;240;75002;64813;63458;22625;6692;109;151;3380;21766;913;7041;566;215;0
;;;Belde/Köy;;393;56273;50253;48533;21475;4577;216;272;1696;14339;728;4559;536;135;0
;Ardanuç;;;;65;9196;8093;7808;2524;374;34;29;294;3469;85;918;44;37;0
;;;Ýl/Ýlçe merkezi;;14;4054;3462;3355;1112;153;10;4;168;1393;38;440;19;18;0
;;;Belde/Köy;;51;5142;4631;4453;1412;221;24;25;126;2076;47;478;25;19;0
;Arhavi;;;;70;16214;14082;13796;6462;1170;20;35;292;4084;259;1230;198;46;0
;;;Ýl/Ýlçe merkezi;;40;12611;10832;10630;4731;951;12;23;250;3302;206;982;133;40;0
;;;Belde/Köy;;30;3603;3250;3166;1731;219;8;12;42;782;53;248;65;6;0
;Artvin Merkez;;;;111;25085;22186;21697;7140;2767;59;68;666;7241;313;3179;173;91;0
;;;Ýl/Ýlçe merkezi;;61;18353;16099;15786;4792;1905;30;41;532;5713;206;2385;110;72;0
;;;Belde/Köy;;50;6732;6087;5911;2348;862;29;27;134;1528;107;794;63;19;0
;Borçka;;;;66;16979;14768;14363;6421;2183;36;42;325;3649;236;1201;232;38;0
;;;Ýl/Ýlçe merkezi;;23;7524;6441;6298;2488;1127;13;10;171;1661;107;604;103;14;0
;;;Belde/Köy;;43;9455;8327;8065;3933;1056;23;32;154;1988;129;597;129;24;0
;Hopa;;;;69;19741;17356;17049;5096;1354;38;65;1922;6623;252;1539;119;41;0
;;;Ýl/Ýlçe merkezi;;46;14886;12978;12774;3870;1009;20;37;1405;5062;194;1065;79;33;0
;;;Belde/Köy;;23;4855;4378;4275;1226;345;18;28;517;1561;58;474;40;8;0
;Þavþat;;;;91;15624;13473;12919;4576;736;66;95;509;5120;296;1389;86;46;0
;;;Ýl/Ýlçe merkezi;;15;4923;4021;3892;1298;252;7;16;210;1487;76;503;26;17;0
;;;Belde/Köy;;76;10701;9452;9027;3278;484;59;79;299;3633;220;886;60;29;0
;Yusufeli;;;;115;17157;14975;14447;8992;1683;50;67;105;2003;138;1203;180;26;0
;;;Ýl/Ýlçe merkezi;;20;5708;4853;4730;2590;677;5;7;40;832;47;466;60;6;0
;;;Belde/Köy;;95;11449;10122;9717;6402;1006;45;60;65;1171;91;737;120;20;0
;Murgul;;;;20;4531;4030;3941;1360;591;9;8;90;1301;37;486;45;14;0
;;;Ýl/Ýlçe merkezi;;8;2996;2603;2543;859;378;5;5;71;835;24;333;25;8;0
;;;Belde/Köy;;12;1535;1427;1398;501;213;4;3;19;466;13;153;20;6;0
;Kemalpaþa;;;;26;6748;6103;5971;1529;411;13;14;873;2615;25;455;25;11;0
;;;Ýl/Ýlçe merkezi;;13;3947;3524;3450;885;240;7;8;533;1481;15;263;11;7;0
;;;Belde/Köy;;13;2801;2579;2521;644;171;6;6;340;1134;10;192;14;4;0
