TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Aydýn;Seçim çevresi toplamý ;;;;2561;815974;726243;709539;222373;56416;1795;2594;64644;242894;4939;106555;5032;2297;0
;;;Ýl/Ýlçe merkezi;;2561;815974;726243;709539;222373;56416;1795;2594;64644;242894;4939;106555;5032;2297;0
;Bozdoðan;;;;100;25836;23361;22398;8596;1614;168;173;289;6441;231;4625;185;76;0
;;;Ýl/Ýlçe merkezi;;100;25836;23361;22398;8596;1614;168;173;289;6441;231;4625;185;76;0
;Çine;;;;155;40019;36344;34987;13513;2196;170;174;724;12340;312;5222;214;122;0
;;;Ýl/Ýlçe merkezi;;155;40019;36344;34987;13513;2196;170;174;724;12340;312;5222;214;122;0
;Germencik;;;;107;31990;28966;28248;7501;2784;66;92;5347;8527;145;3490;223;73;0
;;;Ýl/Ýlçe merkezi;;107;31990;28966;28248;7501;2784;66;92;5347;8527;145;3490;223;73;0
;Karacasu;;;;62;14665;13003;12400;4529;1047;89;109;117;4249;114;2007;92;47;0
;;;Ýl/Ýlçe merkezi;;62;14665;13003;12400;4529;1047;89;109;117;4249;114;2007;92;47;0
;Koçarlý;;;;77;18070;16501;16090;7540;1176;53;38;423;4910;92;1722;104;32;0
;;;Ýl/Ýlçe merkezi;;77;18070;16501;16090;7540;1176;53;38;423;4910;92;1722;104;32;0
;Kuþadasý;;;;240;85651;74600;73659;15164;4711;74;287;7228;35435;310;9760;383;307;0
;;;Ýl/Ýlçe merkezi;;240;85651;74600;73659;15164;4711;74;287;7228;35435;310;9760;383;307;0
;Kuyucak;;;;71;21467;19436;18648;7503;1076;73;121;216;6521;160;2807;124;47;0
;;;Ýl/Ýlçe merkezi;;71;21467;19436;18648;7503;1076;73;121;216;6521;160;2807;124;47;0
;Nazilli;;;;346;114227;102033;99452;33453;8663;275;369;7244;29881;897;17554;775;341;0
;;;Ýl/Ýlçe merkezi;;346;114227;102033;99452;33453;8663;275;369;7244;29881;897;17554;775;341;0
;Söke;;;;275;89117;78860;77299;21089;5675;165;268;10181;27732;443;11053;488;205;0
;;;Ýl/Ýlçe merkezi;;275;89117;78860;77299;21089;5675;165;268;10181;27732;443;11053;488;205;0
;Sultanhisar;;;;53;15486;14071;13692;4678;1100;36;42;1009;4256;75;2359;93;44;0
;;;Ýl/Ýlçe merkezi;;53;15486;14071;13692;4678;1100;36;42;1009;4256;75;2359;93;44;0
;Yenipazar;;;;40;10084;9276;8984;3823;582;26;30;126;2710;60;1543;61;23;0
;;;Ýl/Ýlçe merkezi;;40;10084;9276;8984;3823;582;26;30;126;2710;60;1543;61;23;0
;Buharkent;;;;32;9523;8758;8417;3143;615;47;42;361;2473;91;1560;49;36;0
;;;Ýl/Ýlçe merkezi;;32;9523;8758;8417;3143;615;47;42;361;2473;91;1560;49;36;0
;Ýncirliova;;;;109;36199;30938;30209;11065;3094;49;83;2197;9403;220;3785;247;66;0
;;;Ýl/Ýlçe merkezi;;109;36199;30938;30209;11065;3094;49;83;2197;9403;220;3785;247;66;0
;Karpuzlu;;;;36;9111;8193;7818;3778;895;42;27;62;1886;54;982;75;17;0
;;;Ýl/Ýlçe merkezi;;36;9111;8193;7818;3778;895;42;27;62;1886;54;982;75;17;0
;Köþk;;;;68;20186;18543;18002;9391;2200;54;43;1249;2474;142;2226;191;32;0
;;;Ýl/Ýlçe merkezi;;68;20186;18543;18002;9391;2200;54;43;1249;2474;142;2226;191;32;0
;Didim;;;;184;65215;56722;55841;11725;3244;88;215;9846;23982;256;6010;289;186;0
;;;Ýl/Ýlçe merkezi;;184;65215;56722;55841;11725;3244;88;215;9846;23982;256;6010;289;186;0
;Efeler;;;;606;209128;186638;183395;55882;15744;320;481;18025;59674;1337;29850;1439;643;0
;;;Ýl/Ýlçe merkezi;;606;209128;186638;183395;55882;15744;320;481;18025;59674;1337;29850;1439;643;0
