TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Aðrý;Seçim çevresi toplamý ;;;;1107;295475;232345;224267;62284;5171;1731;402;142683;5421;1813;3501;821;153;287
;;;Ýl/Ýlçe merkezi;;501;169989;131792;127426;35316;3206;1201;191;79861;3401;1142;2302;500;100;206
;;;Belde/Köy;;606;125486;100553;96841;26968;1965;530;211;62822;2020;671;1199;321;53;81
;Aðrý Merkez;;;;279;84420;66580;64316;26100;1833;873;96;31030;1496;760;1485;364;52;227
;;;Ýl/Ýlçe merkezi;;185;65316;51020;49289;19788;1491;730;66;23576;1252;660;1218;284;42;182
;;;Belde/Köy;;94;19104;15560;15027;6312;342;143;30;7454;244;100;267;80;10;45
;Diyadin;;;;99;22903;17512;16785;3101;189;69;45;12582;403;140;202;36;13;5
;;;Ýl/Ýlçe merkezi;;36;11249;8534;8224;1408;92;30;14;6276;215;67;96;18;7;1
;;;Belde/Köy;;63;11654;8978;8561;1693;97;39;31;6306;188;73;106;18;6;4
;Doðubayazýt;;;;224;66626;51296;49337;7060;595;453;90;39245;1049;209;499;88;30;19
;;;Ýl/Ýlçe merkezi;;131;44843;34818;33654;4770;435;327;55;26654;808;142;370;62;19;12
;;;Belde/Köy;;93;21783;16478;15683;2290;160;126;35;12591;241;67;129;26;11;7
;Eleþkirt;;;;91;20010;15241;14678;7827;444;88;28;5420;268;272;253;60;13;5
;;;Ýl/Ýlçe merkezi;;20;6049;4480;4323;2041;132;17;8;1770;119;107;99;20;8;2
;;;Belde/Köy;;71;13961;10761;10355;5786;312;71;20;3650;149;165;154;40;5;3
;Hamur;;;;50;9613;7622;7371;2835;74;43;18;3953;232;67;115;19;2;13
;;;Ýl/Ýlçe merkezi;;7;1662;1373;1323;642;25;8;2;555;39;14;29;4;1;4
;;;Belde/Köy;;43;7951;6249;6048;2193;49;35;16;3398;193;53;86;15;1;9
;Patnos;;;;228;63387;51244;49695;9761;735;129;79;36608;1559;247;446;98;25;8
;;;Ýl/Ýlçe merkezi;;99;33413;25861;25111;5081;440;69;37;18168;847;122;273;54;17;3
;;;Belde/Köy;;129;29974;25383;24584;4680;295;60;42;18440;712;125;173;44;8;5
;Taþlýçay;;;;49;11331;9102;8749;1866;525;43;15;5782;172;55;221;59;6;5
;;;Ýl/Ýlçe merkezi;;10;3450;2695;2591;547;271;12;5;1558;56;16;91;32;3;0
;;;Belde/Köy;;39;7881;6407;6158;1319;254;31;10;4224;116;39;130;27;3;5
;Tutak;;;;87;17185;13748;13336;3734;776;33;31;8063;242;63;280;97;12;5
;;;Ýl/Ýlçe merkezi;;13;4007;3011;2911;1039;320;8;4;1304;65;14;126;26;3;2
;;;Belde/Köy;;74;13178;10737;10425;2695;456;25;27;6759;177;49;154;71;9;3
