TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Balýkesir;Seçim çevresi toplamý ;;;;3218;945092;858214;838607;338879;62255;1500;2812;32275;256303;9811;125333;6665;2549;225
;;;Ýl/Ýlçe merkezi;;3218;945092;858214;838607;338879;62255;1500;2812;32275;256303;9811;125333;6665;2549;225
;Ayvalýk;;;;176;58848;52619;51632;11195;3581;59;194;4482;24274;256;7121;262;196;12
;;;Ýl/Ýlçe merkezi;;176;58848;52619;51632;11195;3581;59;194;4482;24274;256;7121;262;196;12
;Balya;;;;58;11265;10497;10036;4178;870;42;90;221;3068;115;1361;59;23;9
;;;Ýl/Ýlçe merkezi;;58;11265;10497;10036;4178;870;42;90;221;3068;115;1361;59;23;9
;Bandýrma;;;;340;114498;103123;101446;33692;6914;150;235;4838;36391;1227;16802;730;431;36
;;;Ýl/Ýlçe merkezi;;340;114498;103123;101446;33692;6914;150;235;4838;36391;1227;16802;730;431;36
;Bigadiç;;;;142;37243;34464;33539;16966;2702;80;96;945;6954;529;4896;288;72;11
;;;Ýl/Ýlçe merkezi;;142;37243;34464;33539;16966;2702;80;96;945;6954;529;4896;288;72;11
;Burhaniye;;;;148;47436;43221;42327;12828;2586;57;166;3328;17278;271;5421;258;129;5
;;;Ýl/Ýlçe merkezi;;148;47436;43221;42327;12828;2586;57;166;3328;17278;271;5421;258;129;5
;Dursunbey;;;;160;28959;26438;25552;17757;2385;51;97;104;1710;622;2381;411;29;5
;;;Ýl/Ýlçe merkezi;;160;28959;26438;25552;17757;2385;51;97;104;1710;622;2381;411;29;5
;Edremit;;;;349;121762;108141;106279;30807;6295;120;439;8549;44019;1046;13948;707;328;21
;;;Ýl/Ýlçe merkezi;;349;121762;108141;106279;30807;6295;120;439;8549;44019;1046;13948;707;328;21
;Erdek;;;;88;27071;24161;23646;6987;872;32;80;746;11865;187;2642;135;95;5
;;;Ýl/Ýlçe merkezi;;88;27071;24161;23646;6987;872;32;80;746;11865;187;2642;135;95;5
;Gönen;;;;223;59371;53830;52567;22609;3507;142;186;1112;15257;507;8722;380;134;11
;;;Ýl/Ýlçe merkezi;;223;59371;53830;52567;22609;3507;142;186;1112;15257;507;8722;380;134;11
;Havran;;;;72;20700;19068;18401;10347;1358;58;144;123;3328;212;2657;137;32;5
;;;Ýl/Ýlçe merkezi;;72;20700;19068;18401;10347;1358;58;144;123;3328;212;2657;137;32;5
;Ývrindi;;;;110;26301;24750;23945;13572;1698;86;137;177;4484;261;3272;208;44;6
;;;Ýl/Ýlçe merkezi;;110;26301;24750;23945;13572;1698;86;137;177;4484;261;3272;208;44;6
;Kepsut;;;;91;17272;16921;16306;9828;1235;45;70;326;1957;420;2241;147;33;4
;;;Ýl/Ýlçe merkezi;;91;17272;16921;16306;9828;1235;45;70;326;1957;420;2241;147;33;4
;Manyas;;;;72;16045;14367;13852;4923;1340;46;46;199;4831;154;2151;121;39;2
;;;Ýl/Ýlçe merkezi;;72;16045;14367;13852;4923;1340;46;46;199;4831;154;2151;121;39;2
;Savaþtepe;;;;77;14272;13166;12697;6553;928;34;52;148;2553;97;2193;107;28;4
;;;Ýl/Ýlçe merkezi;;77;14272;13166;12697;6553;928;34;52;148;2553;97;2193;107;28;4
;Sýndýrgý;;;;118;28821;26754;25607;12576;1580;91;135;191;7075;406;3288;188;69;8
;;;Ýl/Ýlçe merkezi;;118;28821;26754;25607;12576;1580;91;135;191;7075;406;3288;188;69;8
;Susurluk;;;;118;31196;28021;27249;10671;2023;72;67;397;8512;310;4889;197;104;7
;;;Ýl/Ýlçe merkezi;;118;31196;28021;27249;10671;2023;72;67;397;8512;310;4889;197;104;7
;Marmara;;;;29;7880;7070;6913;2562;435;14;15;400;2636;42;726;68;13;2
;;;Ýl/Ýlçe merkezi;;29;7880;7070;6913;2562;435;14;15;400;2636;42;726;68;13;2
;Gömeç;;;;36;11307;10467;10196;2893;478;7;28;821;4435;84;1380;37;30;3
;;;Ýl/Ýlçe merkezi;;36;11307;10467;10196;2893;478;7;28;821;4435;84;1380;37;30;3
;Altýeylül;;;;409;130512;118368;116027;52873;10263;152;282;2882;28275;1298;18521;1095;357;29
;;;Ýl/Ýlçe merkezi;;409;130512;118368;116027;52873;10263;152;282;2882;28275;1298;18521;1095;357;29
;Karesi;;;;402;134333;122768;120390;55062;11205;162;253;2286;27401;1767;20721;1130;363;40
;;;Ýl/Ýlçe merkezi;;402;134333;122768;120390;55062;11205;162;253;2286;27401;1767;20721;1130;363;40
