TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bartýn;Seçim çevresi toplamý ;;;;556;146888;128658;123095;56620;20894;345;662;1502;31404;2639;7199;1500;330;0
;;;Ýl/Ýlçe merkezi;;177;59007;50464;49341;16352;8128;56;115;1115;18369;1262;3323;451;170;0
;;;Belde/Köy;;379;87881;78194;73754;40268;12766;289;547;387;13035;1377;3876;1049;160;0
;Bartýn Merkez;;;;372;112331;98205;94178;42535;17160;228;426;1177;23615;2100;5501;1191;245;0
;;;Ýl/Ýlçe merkezi;;145;50228;42872;41947;14156;7409;47;81;931;14879;1134;2776;400;134;0
;;;Belde/Köy;;227;62103;55333;52231;28379;9751;181;345;246;8736;966;2725;791;111;0
;Kurucaþile;;;;34;5335;4520;4289;1946;518;29;35;38;1291;99;273;44;16;0
;;;Ýl/Ýlçe merkezi;;6;1385;1088;1061;358;114;0;5;13;462;17;77;11;4;0
;;;Belde/Köy;;28;3950;3432;3228;1588;404;29;30;25;829;82;196;33;12;0
;Ulus;;;;100;17763;15780;14955;8745;1780;64;125;99;2899;284;736;186;37;0
;;;Ýl/Ýlçe merkezi;;10;2544;2218;2136;872;153;2;6;23;916;41;93;17;13;0
;;;Belde/Köy;;90;15219;13562;12819;7873;1627;62;119;76;1983;243;643;169;24;0
;Amasra;;;;50;11459;10153;9673;3394;1436;24;76;188;3599;156;689;79;32;0
;;;Ýl/Ýlçe merkezi;;16;4850;4286;4197;966;452;7;23;148;2112;70;377;23;19;0
;;;Belde/Köy;;34;6609;5867;5476;2428;984;17;53;40;1487;86;312;56;13;0
