TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Batman;Seçim çevresi toplamý ;;;;1125;342111;293091;284060;67789;2833;0;420;180318;3740;8971;3127;633;231;15998
;;;Ýl/Ýlçe merkezi;;783;272437;232746;225691;50325;1849;0;211;147380;3007;6355;2503;499;189;13373
;;;Belde/Köy;;342;69674;60345;58369;17464;984;0;209;32938;733;2616;624;134;42;2625
;Batman Merkez;;;;731;257182;221637;215135;44505;1545;0;297;144006;2491;6364;2326;421;169;13011
;;;Ýl/Ýlçe merkezi;;667;240703;207049;201042;42372;1469;0;170;134381;2366;5486;2154;408;159;12077
;;;Belde/Köy;;64;16479;14588;14093;2133;76;0;127;9625;125;878;172;13;10;934
;Beþiri;;;;84;16935;14707;14164;3804;127;0;16;8825;144;503;160;46;7;532
;;;Ýl/Ýlçe merkezi;;18;5371;4579;4371;1196;19;0;4;2696;56;99;56;18;2;225
;;;Belde/Köy;;66;11564;10128;9793;2608;108;0;12;6129;88;404;104;28;5;307
;Gercüþ;;;;67;12155;10134;9724;3714;237;0;22;4148;147;438;142;36;11;829
;;;Ýl/Ýlçe merkezi;;10;2882;2303;2224;535;43;0;4;1316;43;60;35;8;4;176
;;;Belde/Köy;;57;9273;7831;7500;3179;194;0;18;2832;104;378;107;28;7;653
;Kozluk;;;;125;34386;29584;28762;7964;532;0;36;17763;434;748;229;59;16;981
;;;Ýl/Ýlçe merkezi;;46;14258;11595;11163;3264;176;0;14;6398;246;266;135;37;7;620
;;;Belde/Köy;;79;20128;17989;17599;4700;356;0;22;11365;188;482;94;22;9;361
;Sason;;;;90;17206;13335;12754;6490;348;0;39;4293;435;362;232;62;22;471
;;;Ýl/Ýlçe merkezi;;35;7128;5432;5190;2266;120;0;16;2013;234;162;108;22;13;236
;;;Belde/Köy;;55;10078;7903;7564;4224;228;0;23;2280;201;200;124;40;9;235
;Hasankeyf;;;;28;4247;3694;3521;1312;44;0;10;1283;89;556;38;9;6;174
;;;Ýl/Ýlçe merkezi;;7;2095;1788;1701;692;22;0;3;576;62;282;15;6;4;39
;;;Belde/Köy;;21;2152;1906;1820;620;22;0;7;707;27;274;23;3;2;135
