TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bayburt;Seçim çevresi toplamý ;;;;285;56099;48364;47637;27008;13128;77;47;338;1823;1571;2941;662;42;0
;;;Ýl/Ýlçe merkezi;;94;30520;24946;24574;12048;7677;50;24;232;988;1059;2127;336;33;0
;;;Belde/Köy;;191;25579;23418;23063;14960;5451;27;23;106;835;512;814;326;9;0
;Bayburt Merkez;;;;216;44886;38372;37806;20985;10842;65;36;295;1332;1206;2489;525;31;0
;;;Ýl/Ýlçe merkezi;;80;26837;21892;21559;10412;6989;44;20;211;818;880;1864;297;24;0
;;;Belde/Köy;;136;18049;16480;16247;10573;3853;21;16;84;514;326;625;228;7;0
;Aydýntepe;;;;30;5174;4561;4462;2622;1119;10;5;10;179;128;324;60;5;0
;;;Ýl/Ýlçe merkezi;;7;2022;1692;1661;827;441;5;2;9;91;49;210;23;4;0
;;;Belde/Köy;;23;3152;2869;2801;1795;678;5;3;1;88;79;114;37;1;0
;Demirözü;;;;39;6039;5431;5369;3401;1167;2;6;33;312;237;128;77;6;0
;;;Ýl/Ýlçe merkezi;;7;1661;1362;1354;809;247;1;2;12;79;130;53;16;5;0
;;;Belde/Köy;;32;4378;4069;4015;2592;920;1;4;21;233;107;75;61;1;0
