TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bilecik;Seçim çevresi toplamý ;;;;638;154319;140203;137214;58110;12666;454;375;4040;38807;1539;19656;1160;407;0
;;;Ýl/Ýlçe merkezi;;358;118795;107262;105359;41973;9809;339;240;3680;30965;1153;15988;885;327;0
;;;Belde/Köy;;280;35524;32941;31855;16137;2857;115;135;360;7842;386;3668;275;80;0
;Bilecik Merkez;;;;181;49759;44648;43830;17262;4517;137;120;1235;12803;434;6817;366;139;0
;;;Ýl/Ýlçe merkezi;;114;38348;34194;33677;12362;3527;108;86;1110;10163;340;5587;283;111;0
;;;Belde/Köy;;67;11411;10454;10153;4900;990;29;34;125;2640;94;1230;83;28;0
;Bozüyük;;;;195;54438;50214;49363;19569;4375;197;136;2118;14820;474;7153;391;130;0
;;;Ýl/Ýlçe merkezi;;145;49176;45223;44534;17294;3952;177;113;2059;13560;435;6464;358;122;0
;;;Belde/Köy;;50;5262;4991;4829;2275;423;20;23;59;1260;39;689;33;8;0
;Gölpazarý;;;;63;7981;7009;6749;3245;416;30;31;60;2144;47;689;56;31;0
;;;Ýl/Ýlçe merkezi;;15;4733;3974;3818;1723;228;12;8;44;1285;24;452;26;16;0
;;;Belde/Köy;;48;3248;3035;2931;1522;188;18;23;16;859;23;237;30;15;0
;Osmaneli;;;;64;15895;14498;14162;6748;1060;34;29;127;3586;244;2159;131;44;0
;;;Ýl/Ýlçe merkezi;;33;11096;9997;9802;4336;718;19;8;116;2766;141;1583;85;30;0
;;;Belde/Köy;;31;4799;4501;4360;2412;342;15;21;11;820;103;576;46;14;0
;Pazaryeri;;;;41;8109;7425;7183;3582;600;22;23;184;1576;63;1038;72;23;0
;;;Ýl/Ýlçe merkezi;;16;4628;4176;4055;1965;391;9;8;143;807;33;637;44;18;0
;;;Belde/Köy;;25;3481;3249;3128;1617;209;13;15;41;769;30;401;28;5;0
;Söðüt;;;;54;13541;12298;11966;5805;1180;24;22;282;2743;242;1534;101;33;0
;;;Ýl/Ýlçe merkezi;;27;9206;8295;8104;3763;798;13;12;186;1898;169;1167;71;27;0
;;;Belde/Köy;;27;4335;4003;3862;2042;382;11;10;96;845;73;367;30;6;0
;Yenipazar;;;;27;2584;2355;2291;1074;409;4;8;9;602;10;149;25;1;0
;;;Ýl/Ýlçe merkezi;;4;827;712;696;226;145;0;1;3;247;5;59;10;0;0
;;;Belde/Köy;;23;1757;1643;1595;848;264;4;7;6;355;5;90;15;1;0
;Ýnhisar;;;;13;2012;1756;1670;825;109;6;6;25;533;25;117;18;6;0
;;;Ýl/Ýlçe merkezi;;4;781;691;673;304;50;1;4;19;239;6;39;8;3;0
;;;Belde/Köy;;9;1231;1065;997;521;59;5;2;6;294;19;78;10;3;0
