TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bingöl;Seçim çevresi toplamý ;;;;657;180991;147204;140415;77051;8075;6296;332;38050;2503;1517;5661;801;129;0
;;;Ýl/Ýlçe merkezi;;335;110040;87097;83093;43743;4807;4224;142;22758;1600;1032;4168;531;88;0
;;;Belde/Köy;;322;70951;60107;57322;33308;3268;2072;190;15292;903;485;1493;270;41;0
;Bingöl Merkez;;;;345;102887;84313;80530;45579;4419;3176;144;21448;1045;924;3273;457;65;0
;;;Ýl/Ýlçe merkezi;;213;73651;58958;56297;29232;3485;2449;83;16276;857;725;2787;349;54;0
;;;Belde/Köy;;132;29236;25355;24233;16347;934;727;61;5172;188;199;486;108;11;0
;Genç;;;;91;23314;18931;18177;11265;1794;831;48;2539;119;160;1277;131;13;0
;;;Ýl/Ýlçe merkezi;;42;12831;10269;9812;5962;425;609;21;1779;71;112;755;69;9;0
;;;Belde/Köy;;49;10483;8662;8365;5303;1369;222;27;760;48;48;522;62;4;0
;Karlýova;;;;68;18844;14745;13821;3671;304;1396;71;7778;188;158;196;45;14;0
;;;Ýl/Ýlçe merkezi;;19;5877;4131;3921;1111;86;611;9;1916;49;43;79;16;1;0
;;;Belde/Köy;;49;12967;10614;9900;2560;218;785;62;5862;139;115;117;29;13;0
;Kiðý;;;;17;3868;3139;2970;1089;232;21;10;1025;374;24;175;15;5;0
;;;Ýl/Ýlçe merkezi;;8;2193;1677;1610;516;168;9;3;507;261;12;118;11;5;0
;;;Belde/Köy;;9;1675;1462;1360;573;64;12;7;518;113;12;57;4;0;0
;Solhan;;;;79;22012;17743;17015;11869;906;814;34;2491;135;188;456;110;12;0
;;;Ýl/Ýlçe merkezi;;32;11284;8820;8390;5403;383;527;19;1513;74;108;292;65;6;0
;;;Belde/Köy;;47;10728;8923;8625;6466;523;287;15;978;61;80;164;45;6;0
;Adaklý;;;;26;6165;5074;4809;2872;220;44;17;1210;163;47;202;24;10;0
;;;Ýl/Ýlçe merkezi;;9;2098;1625;1519;995;120;12;3;215;54;23;80;11;6;0
;;;Belde/Köy;;17;4067;3449;3290;1877;100;32;14;995;109;24;122;13;4;0
;Yayladere;;;;21;1716;1310;1235;227;89;0;4;682;183;6;32;10;2;0
;;;Ýl/Ýlçe merkezi;;7;782;493;468;129;69;0;2;165;72;3;23;4;1;0
;;;Belde/Köy;;14;934;817;767;98;20;0;2;517;111;3;9;6;1;0
;Yedisu;;;;10;2185;1949;1858;479;111;14;4;877;296;10;50;9;8;0
;;;Ýl/Ýlçe merkezi;;5;1324;1124;1076;395;71;7;2;387;162;6;34;6;6;0
;;;Belde/Köy;;5;861;825;782;84;40;7;2;490;134;4;16;3;2;0
