TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bitlis;Seçim çevresi toplamý ;;;;780;198510;165568;159518;70488;6242;1809;526;69110;3583;1767;5142;741;110;0
;;;Ýl/Ýlçe merkezi;;370;118567;97680;93964;39205;4808;1448;347;39860;2710;1168;3769;574;75;0
;;;Belde/Köy;;410;79943;67888;65554;31283;1434;361;179;29250;873;599;1373;167;35;0
;Adilcevaz;;;;72;17673;14827;14434;4733;1596;82;25;6824;501;115;445;108;5;0
;;;Ýl/Ýlçe merkezi;;28;9055;7372;7173;2956;1391;35;14;1894;316;78;393;93;3;0
;;;Belde/Köy;;44;8618;7455;7261;1777;205;47;11;4930;185;37;52;15;2;0
;Ahlat;;;;85;23160;20045;19588;6824;1575;51;22;9589;513;131;740;134;9;0
;;;Ýl/Ýlçe merkezi;;48;14759;12595;12318;4923;1402;36;11;4624;424;98;672;122;6;0
;;;Belde/Köy;;37;8401;7450;7270;1901;173;15;11;4965;89;33;68;12;3;0
;Bitlis Merkez;;;;167;40561;34093;32765;16355;991;729;68;11342;1063;429;1599;156;33;0
;;;Ýl/Ýlçe merkezi;;95;29724;24518;23579;11338;820;645;49;7984;918;371;1293;134;27;0
;;;Belde/Köy;;72;10837;9575;9186;5017;171;84;19;3358;145;58;306;22;6;0
;Hizan;;;;95;19355;14952;14237;7291;253;40;79;5944;246;144;179;52;9;0
;;;Ýl/Ýlçe merkezi;;22;6372;4920;4687;2082;91;14;14;2201;127;57;84;15;2;0
;;;Belde/Köy;;73;12983;10032;9550;5209;162;26;65;3743;119;87;95;37;7;0
;Mutki;;;;88;17700;14602;14145;10458;304;103;40;2038;209;106;822;50;15;0
;;;Ýl/Ýlçe merkezi;;6;1591;1245;1191;427;50;12;3;372;48;16;252;8;3;0
;;;Belde/Köy;;82;16109;13357;12954;10031;254;91;37;1666;161;90;570;42;12;0
;Tatvan;;;;178;54180;45391;43490;16938;1057;703;242;22047;789;502;982;200;30;0
;;;Ýl/Ýlçe merkezi;;127;43662;36162;34618;14112;891;643;227;16509;721;441;867;181;26;0
;;;Belde/Köy;;51;10518;9229;8872;2826;166;60;15;5538;68;61;115;19;4;0
;Güroymak;;;;95;25881;21658;20859;7889;466;101;50;11326;262;340;375;41;9;0
;;;Ýl/Ýlçe merkezi;;44;13404;10868;10398;3367;163;63;29;6276;156;107;208;21;8;0
;;;Belde/Köy;;51;12477;10790;10461;4522;303;38;21;5050;106;233;167;20;1;0
