TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bolu;Seçim çevresi toplamý ;;;;977;222455;199734;195575;100154;29100;374;562;3140;39527;2998;16842;2353;525;0
;;;Ýl/Ýlçe merkezi;;450;150332;133313;130973;59224;20615;171;273;2857;31341;2260;12231;1574;427;0
;;;Belde/Köy;;527;72123;66421;64602;40930;8485;203;289;283;8186;738;4611;779;98;0
;Bolu Merkez;;;;466;140419;125882;123493;55887;18316;178;335;2815;30411;1870;11843;1434;404;0
;;;Ýl/Ýlçe merkezi;;333;114557;101709;99995;42061;14837;128;222;2676;26964;1613;10004;1131;359;0
;;;Belde/Köy;;133;25862;24173;23498;13826;3479;50;113;139;3447;257;1839;303;45;0
;Gerede;;;;141;25321;23323;22989;15152;5120;20;30;63;1004;397;795;384;24;0
;;;Ýl/Ýlçe merkezi;;47;16621;15110;14896;9006;3817;6;14;50;839;304;586;257;17;0
;;;Belde/Köy;;94;8700;8213;8093;6146;1303;14;16;13;165;93;209;127;7;0
;Göynük;;;;79;12059;10916;10591;7065;1327;37;46;39;1006;173;787;102;9;0
;;;Ýl/Ýlçe merkezi;;12;3078;2624;2560;1276;341;5;6;13;504;71;314;25;5;0
;;;Belde/Köy;;67;8981;8292;8031;5789;986;32;40;26;502;102;473;77;4;0
;Kýbrýscýk;;;;25;2586;2271;2191;1066;114;9;15;23;710;33;198;13;10;0
;;;Ýl/Ýlçe merkezi;;3;839;690;669;219;36;2;1;10;313;8;69;6;5;0
;;;Belde/Köy;;22;1747;1581;1522;847;78;7;14;13;397;25;129;7;5;0
;Mengen;;;;75;11342;9743;9419;5027;658;40;48;71;2503;127;811;108;26;0
;;;Ýl/Ýlçe merkezi;;12;3928;3277;3175;1370;228;8;12;37;1105;46;324;33;12;0
;;;Belde/Köy;;63;7414;6466;6244;3657;430;32;36;34;1398;81;487;75;14;0
;Mudurnu;;;;91;15147;13678;13259;7199;1593;53;59;97;2496;134;1457;141;30;0
;;;Ýl/Ýlçe merkezi;;13;3553;3121;3043;1330;323;5;6;52;833;37;416;30;11;0
;;;Belde/Köy;;78;11594;10557;10216;5869;1270;48;53;45;1663;97;1041;111;19;0
;Seben;;;;38;4410;3827;3710;2028;336;18;8;20;699;33;512;43;13;0
;;;Ýl/Ýlçe merkezi;;8;1961;1637;1582;784;128;9;2;12;330;18;267;22;10;0
;;;Belde/Köy;;30;2449;2190;2128;1244;208;9;6;8;369;15;245;21;3;0
;Dörtdivan;;;;34;5374;4947;4880;3336;971;13;13;6;198;49;228;62;4;0
;;;Ýl/Ýlçe merkezi;;10;2213;2003;1969;1184;486;5;6;1;98;27;128;31;3;0
;;;Belde/Köy;;24;3161;2944;2911;2152;485;8;7;5;100;22;100;31;1;0
;Yeniçaða;;;;28;5797;5147;5043;3394;665;6;8;6;500;182;211;66;5;0
;;;Ýl/Ýlçe merkezi;;12;3582;3142;3084;1994;419;3;4;6;355;136;123;39;5;0
;;;Belde/Köy;;16;2215;2005;1959;1400;246;3;4;0;145;46;88;27;0;0
