TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Burdur;Seçim çevresi toplamý ;;;;700;196380;177117;171133;72191;21284;564;736;2468;34533;2643;34726;1542;446;0
;;;Ýl/Ýlçe merkezi;;407;127351;113765;110914;43174;14156;231;332;2082;23542;1788;24318;971;320;0
;;;Belde/Köy;;293;69029;63352;60219;29017;7128;333;404;386;10991;855;10408;571;126;0
;Aðlasun;;;;27;6577;5931;5625;3265;598;20;27;21;725;73;820;63;13;0
;;;Ýl/Ýlçe merkezi;;13;3112;2664;2531;1262;250;10;8;16;442;24;481;28;10;0
;;;Belde/Köy;;14;3465;3267;3094;2003;348;10;19;5;283;49;339;35;3;0
;Bucak;;;;165;47964;43658;42333;20631;6096;130;132;433;5236;558;8623;420;74;0
;;;Ýl/Ýlçe merkezi;;95;31546;28369;27712;13293;4374;52;62;348;3119;425;5704;279;56;0
;;;Belde/Köy;;70;16418;15289;14621;7338;1722;78;70;85;2117;133;2919;141;18;0
;Burdur Merkez;;;;252;75945;69131;67203;23970;6885;172;214;1506;16546;1314;15886;499;211;0
;;;Ýl/Ýlçe merkezi;;178;57678;52159;51082;16630;5042;78;115;1411;13653;934;12680;366;173;0
;;;Belde/Köy;;74;18267;16972;16121;7340;1843;94;99;95;2893;380;3206;133;38;0
;Gölhisar;;;;56;16726;14757;14226;7292;2353;41;62;143;1919;203;2031;149;33;0
;;;Ýl/Ýlçe merkezi;;39;12451;10904;10579;5187;1773;25;34;117;1425;168;1716;109;25;0
;;;Belde/Köy;;17;4275;3853;3647;2105;580;16;28;26;494;35;315;40;8;0
;Tefenni;;;;34;8248;7131;6827;2222;1623;28;40;73;1349;76;1333;71;12;0
;;;Ýl/Ýlçe merkezi;;16;4548;3845;3722;1024;1101;10;14;51;704;43;726;44;5;0
;;;Belde/Köy;;18;3700;3286;3105;1198;522;18;26;22;645;33;607;27;7;0
;Yeþilova;;;;60;13172;11797;11276;3762;936;37;124;107;4240;126;1803;97;44;0
;;;Ýl/Ýlçe merkezi;;16;4414;3869;3746;1021;287;5;46;28;1706;44;562;24;23;0
;;;Belde/Köy;;44;8758;7928;7530;2741;649;32;78;79;2534;82;1241;73;21;0
;Karamanlý;;;;28;6352;5733;5581;2006;477;17;24;84;1707;80;1126;44;16;0
;;;Ýl/Ýlçe merkezi;;19;4487;3988;3904;1330;360;10;11;60;1196;35;863;26;13;0
;;;Belde/Köy;;9;1865;1745;1677;676;117;7;13;24;511;45;263;18;3;0
;Kemer;;;;11;2730;2447;2347;1216;317;15;14;7;298;50;392;35;3;0
;;;Ýl/Ýlçe merkezi;;4;1251;1101;1072;537;162;5;2;3;125;36;185;16;1;0
;;;Belde/Köy;;7;1479;1346;1275;679;155;10;12;4;173;14;207;19;2;0
;Altýnyayla;;;;15;4317;3917;3680;2452;298;29;24;18;272;30;513;40;4;0
;;;Ýl/Ýlçe merkezi;;8;2434;2204;2084;1269;155;16;13;5;198;19;383;22;4;0
;;;Belde/Köy;;7;1883;1713;1596;1183;143;13;11;13;74;11;130;18;0;0
;Çavdýr;;;;36;9966;8613;8239;3427;1161;50;55;65;1722;95;1556;84;24;0
;;;Ýl/Ýlçe merkezi;;14;3742;3082;2971;976;341;16;20;37;697;43;802;33;6;0
;;;Belde/Köy;;22;6224;5531;5268;2451;820;34;35;28;1025;52;754;51;18;0
;Çeltikçi;;;;16;4383;4002;3796;1948;540;25;20;11;519;38;643;40;12;0
;;;Ýl/Ýlçe merkezi;;5;1688;1580;1511;645;311;4;7;6;277;17;216;24;4;0
;;;Belde/Köy;;11;2695;2422;2285;1303;229;21;13;5;242;21;427;16;8;0
