TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Bursa;Seçim çevresi toplamý (1 nolu);;;;3222;1100727;991424;972351;410195;95343;1684;2313;42473;250893;16150;140212;9074;3129;885
;;;Ýl/Ýlçe merkezi;;3222;1100727;991424;972351;410195;95343;1684;2313;42473;250893;16150;140212;9074;3129;885
;Karacabey;;;;207;62453;56087;54636;22219;5027;129;158;2706;12239;1081;10381;492;185;19
;;;Ýl/Ýlçe merkezi;;207;62453;56087;54636;22219;5027;129;158;2706;12239;1081;10381;492;185;19
;Mustafakemalpaþa;;;;280;77783;70868;68779;31177;5965;189;204;1303;13990;2213;12901;594;211;32
;;;Ýl/Ýlçe merkezi;;280;77783;70868;68779;31177;5965;189;204;1303;13990;2213;12901;594;211;32
;Orhaneli;;;;83;15471;14433;13805;7410;1377;62;87;74;1931;441;2268;120;30;5
;;;Ýl/Ýlçe merkezi;;83;15471;14433;13805;7410;1377;62;87;74;1931;441;2268;120;30;5
;Büyükorhan;;;;49;8053;7294;6783;4370;496;30;48;69;786;160;731;63;26;4
;;;Ýl/Ýlçe merkezi;;49;8053;7294;6783;4370;496;30;48;69;786;160;731;63;26;4
;Nilüfer;;;;849;305737;279491;275942;88110;21919;275;678;14054;99976;3868;44003;1864;1062;133
;;;Ýl/Ýlçe merkezi;;849;305737;279491;275942;88110;21919;275;678;14054;99976;3868;44003;1864;1062;133
;Osmangazi;;;;1754;631230;563251;552406;256909;60559;999;1138;24267;121971;8387;69928;5941;1615;692
;;;Ýl/Ýlçe merkezi;;1754;631230;563251;552406;256909;60559;999;1138;24267;121971;8387;69928;5941;1615;692
