TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Denizli;Seçim çevresi toplamý ;;;;2344;747897;682660;663996;263997;60468;1714;2121;24029;187080;5532;111117;5282;2083;573
;;;Ýl/Ýlçe merkezi;;2344;747897;682660;663996;263997;60468;1714;2121;24029;187080;5532;111117;5282;2083;573
;Acýpayam;;;;146;43463;39605;37924;18656;3091;137;158;386;9130;348;5423;332;101;162
;;;Ýl/Ýlçe merkezi;;146;43463;39605;37924;18656;3091;137;158;386;9130;348;5423;332;101;162
;Buldan;;;;79;20942;19188;18381;6754;1835;63;75;200;4874;114;4260;127;73;6
;;;Ýl/Ýlçe merkezi;;79;20942;19188;18381;6754;1835;63;75;200;4874;114;4260;127;73;6
;Çal;;;;68;15728;14564;13974;4782;1100;43;77;206;4932;126;2551;98;49;10
;;;Ýl/Ýlçe merkezi;;68;15728;14564;13974;4782;1100;43;77;206;4932;126;2551;98;49;10
;Çameli;;;;52;14791;13298;12709;7939;785;65;75;83;2001;89;1513;110;23;26
;;;Ýl/Ýlçe merkezi;;52;14791;13298;12709;7939;785;65;75;83;2001;89;1513;110;23;26
;Çardak;;;;26;6664;6058;5844;2320;432;12;21;36;1865;54;1029;46;26;3
;;;Ýl/Ýlçe merkezi;;26;6664;6058;5844;2320;432;12;21;36;1865;54;1029;46;26;3
;Çivril;;;;165;45987;41163;39543;15804;2988;119;174;506;12657;374;6450;326;123;22
;;;Ýl/Ýlçe merkezi;;165;45987;41163;39543;15804;2988;119;174;506;12657;374;6450;326;123;22
;Güney;;;;35;8071;7503;7132;2608;447;28;37;63;2904;46;920;47;26;6
;;;Ýl/Ýlçe merkezi;;35;8071;7503;7132;2608;447;28;37;63;2904;46;920;47;26;6
;Kale;;;;59;15190;13717;13049;6469;1705;78;82;126;2132;116;2185;124;24;8
;;;Ýl/Ýlçe merkezi;;59;15190;13717;13049;6469;1705;78;82;126;2132;116;2185;124;24;8
;Sarayköy;;;;78;23029;21115;20556;6111;1724;62;82;1592;7385;106;3292;134;64;4
;;;Ýl/Ýlçe merkezi;;78;23029;21115;20556;6111;1724;62;82;1592;7385;106;3292;134;64;4
;Tavas;;;;121;35350;32067;30885;14498;3071;114;104;308;7134;205;5062;283;82;24
;;;Ýl/Ýlçe merkezi;;121;35350;32067;30885;14498;3071;114;104;308;7134;205;5062;283;82;24
;Babadað;;;;21;4993;4653;4429;2091;377;17;25;27;1015;51;781;35;10;0
;;;Ýl/Ýlçe merkezi;;21;4993;4653;4429;2091;377;17;25;27;1015;51;781;35;10;0
;Bekilli;;;;24;5722;5210;5015;1635;256;16;51;66;2298;31;610;23;23;6
;;;Ýl/Ýlçe merkezi;;24;5722;5210;5015;1635;256;16;51;66;2298;31;610;23;23;6
;Honaz;;;;76;21261;20243;19583;7185;1723;70;93;884;5727;146;3542;140;64;9
;;;Ýl/Ýlçe merkezi;;76;21261;20243;19583;7185;1723;70;93;884;5727;146;3542;140;64;9
;Serinhisar;;;;36;11042;10429;10122;4421;1045;22;21;84;2661;73;1677;88;23;7
;;;Ýl/Ýlçe merkezi;;36;11042;10429;10122;4421;1045;22;21;84;2661;73;1677;88;23;7
;Pamukkale;;;;681;241553;218993;214390;85207;21080;386;522;7222;59612;1770;35955;1771;709;156
;;;Ýl/Ýlçe merkezi;;681;241553;218993;214390;85207;21080;386;522;7222;59612;1770;35955;1771;709;156
;Baklan;;;;17;4473;4085;3875;1679;268;17;16;28;934;22;878;15;11;7
;;;Ýl/Ýlçe merkezi;;17;4473;4085;3875;1679;268;17;16;28;934;22;878;15;11;7
;Beyaðaç;;;;22;5217;4757;4529;2081;384;22;26;33;1100;29;791;45;14;4
;;;Ýl/Ýlçe merkezi;;22;5217;4757;4529;2081;384;22;26;33;1100;29;791;45;14;4
;Bozkurt;;;;35;8661;7994;7673;3239;400;17;26;102;2632;50;1140;38;23;6
;;;Ýl/Ýlçe merkezi;;35;8661;7994;7673;3239;400;17;26;102;2632;50;1140;38;23;6
;Merkezefendi;;;;603;215760;198018;194383;70518;17757;426;456;12077;56087;1782;33058;1500;615;107
;;;Ýl/Ýlçe merkezi;;603;215760;198018;194383;70518;17757;426;456;12077;56087;1782;33058;1500;615;107
