TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Diyarbakýr;Seçim çevresi toplamý ;;;;3311;1023389;856317;826242;167805;9828;0;1155;554172;16562;13955;22575;1828;607;37755
;;;Ýl/Ýlçe merkezi;;3311;1023389;856317;826242;167805;9828;0;1155;554172;16562;13955;22575;1828;607;37755
;Bismil;;;;251;67195;59447;57642;9050;480;0;49;44500;702;338;620;74;27;1802
;;;Ýl/Ýlçe merkezi;;251;67195;59447;57642;9050;480;0;49;44500;702;338;620;74;27;1802
;Çermik;;;;128;30594;22529;21470;10443;464;0;53;7089;782;267;726;105;26;1515
;;;Ýl/Ýlçe merkezi;;128;30594;22529;21470;10443;464;0;53;7089;782;267;726;105;26;1515
;Çýnar;;;;153;37964;31723;30606;6303;167;0;41;19759;277;215;321;43;21;3459
;;;Ýl/Ýlçe merkezi;;153;37964;31723;30606;6303;167;0;41;19759;277;215;321;43;21;3459
;Çüngüþ;;;;45;7986;6095;5611;2677;194;0;29;1488;530;118;338;28;17;192
;;;Ýl/Ýlçe merkezi;;45;7986;6095;5611;2677;194;0;29;1488;530;118;338;28;17;192
;Dicle;;;;79;22394;17515;16561;2699;138;0;38;9209;180;964;2939;23;29;342
;;;Ýl/Ýlçe merkezi;;79;22394;17515;16561;2699;138;0;38;9209;180;964;2939;23;29;342
;Ergani;;;;271;79624;64415;61606;14216;1215;0;109;37851;1514;1181;1738;163;57;3562
;;;Ýl/Ýlçe merkezi;;271;79624;64415;61606;14216;1215;0;109;37851;1514;1181;1738;163;57;3562
;Hani;;;;60;18723;13950;13118;3644;240;0;36;6291;167;661;311;28;8;1732
;;;Ýl/Ýlçe merkezi;;60;18723;13950;13118;3644;240;0;36;6291;167;661;311;28;8;1732
;Hazro;;;;34;9626;7775;7396;954;291;0;11;5788;74;43;63;14;4;154
;;;Ýl/Ýlçe merkezi;;34;9626;7775;7396;954;291;0;11;5788;74;43;63;14;4;154
;Kulp;;;;86;21479;17144;16272;5104;217;0;32;10114;284;96;207;34;18;166
;;;Ýl/Ýlçe merkezi;;86;21479;17144;16272;5104;217;0;32;10114;284;96;207;34;18;166
;Lice;;;;76;15862;13639;13201;984;284;0;14;11424;206;51;129;23;7;79
;;;Ýl/Ýlçe merkezi;;76;15862;13639;13201;984;284;0;14;11424;206;51;129;23;7;79
;Silvan;;;;174;49208;42471;40751;4795;313;0;36;32978;422;194;264;48;19;1682
;;;Ýl/Ýlçe merkezi;;174;49208;42471;40751;4795;313;0;36;32978;422;194;264;48;19;1682
;Eðil;;;;53;14020;10781;9988;2782;123;0;31;5402;181;256;852;31;12;318
;;;Ýl/Ýlçe merkezi;;53;14020;10781;9988;2782;123;0;31;5402;181;256;852;31;12;318
;Kocaköy;;;;37;9726;8577;8266;1104;91;0;3;6720;112;62;71;15;3;85
;;;Ýl/Ýlçe merkezi;;37;9726;8577;8266;1104;91;0;3;6720;112;62;71;15;3;85
;Baðlar;;;;660;232699;196166;190067;34582;1718;0;170;134973;3669;2693;3892;406;114;7850
;;;Ýl/Ýlçe merkezi;;660;232699;196166;190067;34582;1718;0;170;134973;3669;2693;3892;406;114;7850
;Kayapýnar;;;;606;214959;184576;179474;35919;1903;0;147;120576;3823;4033;5003;387;121;7562
;;;Ýl/Ýlçe merkezi;;606;214959;184576;179474;35919;1903;0;147;120576;3823;4033;5003;387;121;7562
;Sur;;;;231;66358;55027;52865;11019;381;0;244;34685;709;816;1279;90;32;3610
;;;Ýl/Ýlçe merkezi;;231;66358;55027;52865;11019;381;0;244;34685;709;816;1279;90;32;3610
;Yeniþehir;;;;367;124972;104487;101348;21530;1609;0;112;65325;2930;1967;3822;316;92;3645
;;;Ýl/Ýlçe merkezi;;367;124972;104487;101348;21530;1609;0;112;65325;2930;1967;3822;316;92;3645
