TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Düzce;Seçim çevresi toplamý ;;;;915;267610;244322;239644;132021;44739;303;624;3818;34297;3584;16221;3541;496;0
;;;Ýl/Ýlçe merkezi;;491;166489;150129;147693;75013;27655;157;350;3403;25087;2482;11126;2047;373;0
;;;Belde/Köy;;424;101121;94193;91951;57008;17084;146;274;415;9210;1102;5095;1494;123;0
;Akçakoca;;;;108;29502;26610;26017;12242;4390;30;89;602;5430;617;2186;360;71;0
;;;Ýl/Ýlçe merkezi;;55;19045;16966;16683;7324;2556;18;55;556;4093;413;1424;188;56;0
;;;Belde/Köy;;53;10457;9644;9334;4918;1834;12;34;46;1337;204;762;172;15;0
;Düzce Merkez;;;;498;160924;146082;143616;76976;28091;151;355;2512;21093;2187;9883;2066;302;0
;;;Ýl/Ýlçe merkezi;;324;113309;101599;100003;50009;19261;102;253;2286;17400;1648;7412;1381;251;0
;;;Belde/Köy;;174;47615;44483;43613;26967;8830;49;102;226;3693;539;2471;685;51;0
;Yýðýlca;;;;59;11269;10237;9812;6780;1371;35;64;42;795;90;436;189;10;0
;;;Ýl/Ýlçe merkezi;;7;2190;1870;1819;1030;312;2;1;9;283;21;124;30;7;0
;;;Belde/Köy;;52;9079;8367;7993;5750;1059;33;63;33;512;69;312;159;3;0
;Cumayeri;;;;43;10435;9593;9419;5858;1699;14;12;157;736;159;646;109;29;0
;;;Ýl/Ýlçe merkezi;;21;6945;6293;6190;3692;1219;9;7;150;451;108;462;79;13;0
;;;Belde/Köy;;22;3490;3300;3229;2166;480;5;5;7;285;51;184;30;16;0
;Gölyaka;;;;58;15551;14412;14072;8162;2044;23;33;50;2595;182;739;221;23;0
;;;Ýl/Ýlçe merkezi;;24;7250;6654;6501;3827;1122;6;16;23;916;98;372;110;11;0
;;;Belde/Köy;;34;8301;7758;7571;4335;922;17;17;27;1679;84;367;111;12;0
;Çilimli;;;;51;13090;12752;12510;7565;2510;12;23;264;946;149;803;214;24;0
;;;Ýl/Ýlçe merkezi;;21;5337;5465;5379;2803;1098;6;5;242;558;90;463;96;18;0
;;;Belde/Köy;;30;7753;7287;7131;4762;1412;6;18;22;388;59;340;118;6;0
;Gümüþova;;;;41;11565;10663;10464;6076;1799;25;25;153;1294;61;888;136;7;0
;;;Ýl/Ýlçe merkezi;;17;5425;4955;4872;2742;793;10;6;116;593;21;516;72;3;0
;;;Belde/Köy;;24;6140;5708;5592;3334;1006;15;19;37;701;40;372;64;4;0
;Kaynaþlý;;;;57;15274;13973;13734;8362;2835;13;23;38;1408;139;640;246;30;0
;;;Ýl/Ýlçe merkezi;;22;6988;6327;6246;3586;1294;4;7;21;793;83;353;91;14;0
;;;Belde/Köy;;35;8286;7646;7488;4776;1541;9;16;17;615;56;287;155;16;0
