TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Edirne;Seçim çevresi toplamý ;;;;1003;310614;275162;268077;73630;13104;607;863;8744;123252;2765;42614;1247;1033;218
;;;Ýl/Ýlçe merkezi;;624;215983;189092;185299;50110;9569;260;480;7740;84207;1908;29265;884;723;153
;;;Belde/Köy;;379;94631;86070;82778;23520;3535;347;383;1004;39045;857;13349;363;310;65
;Edirne Merkez;;;;379;129665;113977;111935;29000;5896;165;318;5182;49779;1410;19076;509;476;124
;;;Ýl/Ýlçe merkezi;;331;119048;103985;102288;26349;5389;127;279;4951;45751;1275;17132;472;446;117
;;;Belde/Köy;;48;10617;9992;9647;2651;507;38;39;231;4028;135;1944;37;30;7
;Enez;;;;34;9309;8398;8172;1630;266;23;33;646;4306;68;1130;36;33;1
;;;Ýl/Ýlçe merkezi;;11;3415;2999;2931;750;88;2;10;475;1282;29;274;12;9;0
;;;Belde/Köy;;23;5894;5399;5241;880;178;21;23;171;3024;39;856;24;24;1
;Havsa;;;;54;15815;14384;13930;3472;637;43;56;381;6487;236;2470;70;64;14
;;;Ýl/Ýlçe merkezi;;20;6694;6074;5947;1501;271;12;7;317;2658;100;1026;28;25;2
;;;Belde/Köy;;34;9121;8310;7983;1971;366;31;49;64;3829;136;1444;42;39;12
;Ýpsala;;;;74;21984;19661;18953;6475;916;78;63;199;8199;129;2736;99;49;10
;;;Ýl/Ýlçe merkezi;;20;5859;5141;4974;1603;265;8;10;114;2228;32;686;19;7;2
;;;Belde/Köy;;54;16125;14520;13979;4872;651;70;53;85;5971;97;2050;80;42;8
;Keþan;;;;205;62536;55365;54039;15832;2803;97;140;1419;26067;407;6824;265;162;23
;;;Ýl/Ýlçe merkezi;;135;45788;40031;39239;11582;2263;49;84;1221;18468;259;4968;211;119;15
;;;Belde/Köy;;70;16748;15334;14800;4250;540;48;56;198;7599;148;1856;54;43;8
;Lalapaþa;;;;31;5373;4880;4701;1819;278;14;24;57;1734;62;674;16;16;7
;;;Ýl/Ýlçe merkezi;;3;1091;967;943;388;53;0;2;10;355;11;117;4;1;2
;;;Belde/Köy;;28;4282;3913;3758;1431;225;14;22;47;1379;51;557;12;15;5
;Meriç;;;;43;11788;10249;9737;3131;349;45;43;119;4521;71;1368;54;29;7
;;;Ýl/Ýlçe merkezi;;7;2068;1751;1657;477;53;8;5;60;839;7;195;11;2;0
;;;Belde/Köy;;36;9720;8498;8080;2654;296;37;38;59;3682;64;1173;43;27;7
;Uzunköprü;;;;165;49212;43851;42347;10883;1666;130;165;679;20451;320;7663;170;192;28
;;;Ýl/Ýlçe merkezi;;91;30208;26555;25755;6893;1042;53;79;549;12028;185;4683;116;113;14
;;;Belde/Köy;;74;19004;17296;16592;3990;624;77;86;130;8423;135;2980;54;79;14
;Süloðlu;;;;18;4932;4397;4263;1388;293;12;21;62;1708;62;673;28;12;4
;;;Ýl/Ýlçe merkezi;;6;1812;1589;1565;567;145;1;4;43;598;10;184;11;1;1
;;;Belde/Köy;;12;3120;2808;2698;821;148;11;17;19;1110;52;489;17;11;3
