TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Elazýð;Seçim çevresi toplamý ;;;;1550;411019;349331;340826;183604;46028;5197;559;33633;35651;6078;26396;3248;432;0
;;;Ýl/Ýlçe merkezi;;902;311573;263258;256915;131953;37397;3832;401;23473;29030;4752;23042;2677;358;0
;;;Belde/Köy;;648;99446;86073;83911;51651;8631;1365;158;10160;6621;1326;3354;571;74;0
;Aðýn;;;;23;2285;1969;1898;960;208;7;10;42;401;36;209;21;4;0
;;;Ýl/Ýlçe merkezi;;7;1339;1105;1061;468;116;3;4;20;274;20;140;12;4;0
;;;Belde/Köy;;16;946;864;837;492;92;4;6;22;127;16;69;9;0;0
;Baskil;;;;75;10050;8872;8701;6358;854;25;10;159;650;106;461;64;14;0
;;;Ýl/Ýlçe merkezi;;12;3233;2714;2624;1536;358;5;2;99;323;49;210;31;11;0
;;;Belde/Köy;;63;6817;6158;6077;4822;496;20;8;60;327;57;251;33;3;0
;Elazýð Merkez;;;;956;305354;260946;255074;131110;38459;2831;330;21159;30372;4442;23344;2673;354;0
;;;Ýl/Ýlçe merkezi;;742;263433;224532;219469;110747;33741;2490;283;17837;26299;4021;21355;2385;311;0
;;;Belde/Köy;;214;41921;36414;35605;20363;4718;341;47;3322;4073;421;1989;288;43;0
;Karakoçan;;;;103;20043;16747;16120;7109;562;204;48;6600;712;569;249;55;12;0
;;;Ýl/Ýlçe merkezi;;29;9409;7507;7255;3130;264;107;16;2970;404;185;148;28;3;0
;;;Belde/Köy;;74;10634;9240;8865;3979;298;97;32;3630;308;384;101;27;9;0
;Keban;;;;41;5038;4532;4454;2579;649;11;11;192;546;51;364;43;8;0
;;;Ýl/Ýlçe merkezi;;11;3112;2723;2664;1563;457;7;3;71;232;26;270;31;4;0
;;;Belde/Köy;;30;1926;1809;1790;1016;192;4;8;121;314;25;94;12;4;0
;Maden;;;;49;8433;6761;6541;3470;695;75;23;496;1039;49;605;81;8;0
;;;Ýl/Ýlçe merkezi;;9;2988;2210;2119;932;199;45;7;214;420;15;265;18;4;0
;;;Belde/Köy;;40;5445;4551;4422;2538;496;30;16;282;619;34;340;63;4;0
;Palu;;;;61;13082;11203;10910;7341;1402;809;15;567;236;248;215;73;4;0
;;;Ýl/Ýlçe merkezi;;22;6071;5122;4969;3098;753;571;8;120;103;130;137;47;2;0
;;;Belde/Köy;;39;7011;6081;5941;4243;649;238;7;447;133;118;78;26;2;0
;Sivrice;;;;60;6270;5404;5274;3316;844;15;11;140;583;73;247;40;5;0
;;;Ýl/Ýlçe merkezi;;10;2526;2193;2127;1162;371;5;4;78;323;40;125;15;4;0
;;;Belde/Köy;;50;3744;3211;3147;2154;473;10;7;62;260;33;122;25;1;0
;Arýcak;;;;34;9622;7750;7397;5116;345;157;15;1252;224;130;118;34;6;0
;;;Ýl/Ýlçe merkezi;;8;2461;1966;1861;1072;137;28;4;393;119;48;44;12;4;0
;;;Belde/Köy;;26;7161;5784;5536;4044;208;129;11;859;105;82;74;22;2;0
;Kovancýlar;;;;128;26140;21133;20569;13880;1621;963;84;2548;596;314;404;146;13;0
;;;Ýl/Ýlçe merkezi;;45;15100;11646;11267;7443;848;537;70;1423;344;210;293;90;9;0
;;;Belde/Köy;;83;11040;9487;9302;6437;773;426;14;1125;252;104;111;56;4;0
;Alacakaya;;;;20;4702;4014;3888;2365;389;100;2;478;292;60;180;18;4;0
;;;Ýl/Ýlçe merkezi;;7;1901;1540;1499;802;153;34;0;248;189;8;55;8;2;0
;;;Belde/Köy;;13;2801;2474;2389;1563;236;66;2;230;103;52;125;10;2;0
