TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Erzincan;Seçim çevresi toplamý ;;;;943;162168;146355;144035;63013;26786;138;148;7615;36902;1589;5983;1654;207;0
;;;Ýl/Ýlçe merkezi;;270;85428;74967;73822;34541;18347;69;74;2683;11797;932;4265;1015;99;0
;;;Belde/Köy;;673;76740;71388;70213;28472;8439;69;74;4932;25105;657;1718;639;108;0
;Çayýrlý;;;;56;6890;6220;6149;2905;667;4;1;263;2079;54;124;41;11;0
;;;Ýl/Ýlçe merkezi;;9;2485;2044;2016;1266;350;1;1;56;246;9;62;21;4;0
;;;Belde/Köy;;47;4405;4176;4133;1639;317;3;0;207;1833;45;62;20;7;0
;Erzincan Merkez;;;;363;106890;97029;95481;40185;18138;86;81;5974;24048;1188;4543;1095;143;0
;;;Ýl/Ýlçe merkezi;;185;65479;58498;57609;26399;13393;47;47;2414;10123;781;3575;750;80;0
;;;Belde/Köy;;178;41411;38531;37872;13786;4745;39;34;3560;13925;407;968;345;63;0
;Ýliç;;;;67;6332;5671;5521;3044;840;7;6;82;1206;74;196;61;5;0
;;;Ýl/Ýlçe merkezi;;9;2575;2188;2162;1196;451;5;2;68;263;36;109;30;2;0
;;;Belde/Köy;;58;3757;3483;3359;1848;389;2;4;14;943;38;87;31;3;0
;Kemah;;;;86;5934;5400;5299;2766;447;9;7;242;1542;64;163;50;9;0
;;;Ýl/Ýlçe merkezi;;12;1359;1040;1022;508;190;1;1;34;204;21;50;10;3;0
;;;Belde/Köy;;74;4575;4360;4277;2258;257;8;6;208;1338;43;113;40;6;0
;Kemaliye;;;;72;4010;3368;3314;2018;353;3;32;57;592;51;168;31;9;0
;;;Ýl/Ýlçe merkezi;;10;1305;957;937;517;165;0;19;12;127;10;77;8;2;0
;;;Belde/Köy;;62;2705;2411;2377;1501;188;3;13;45;465;41;91;23;7;0
;Refahiye;;;;131;8850;7972;7868;4520;862;9;11;101;1934;52;276;93;10;0
;;;Ýl/Ýlçe merkezi;;9;2146;1682;1658;994;297;3;1;7;184;15;121;34;2;0
;;;Belde/Köy;;122;6704;6290;6210;3526;565;6;10;94;1750;37;155;59;8;0
;Tercan;;;;102;12011;10574;10435;4249;1893;6;6;597;3206;48;285;134;11;0
;;;Ýl/Ýlçe merkezi;;13;3460;2820;2771;1409;649;4;1;78;443;19;117;49;2;0
;;;Belde/Köy;;89;8551;7754;7664;2840;1244;2;5;519;2763;29;168;85;9;0
;Üzümlü;;;;52;9360;8444;8332;2512;3060;11;4;285;2089;29;202;133;7;0
;;;Ýl/Ýlçe merkezi;;19;5543;4858;4794;1798;2550;5;2;12;169;16;134;106;2;0
;;;Belde/Köy;;33;3817;3586;3538;714;510;6;2;273;1920;13;68;27;5;0
;Otlukbeli;;;;14;1891;1677;1636;814;526;3;0;14;206;29;26;16;2;0
;;;Ýl/Ýlçe merkezi;;4;1076;880;853;454;302;3;0;2;38;25;20;7;2;0
;;;Belde/Köy;;10;815;797;783;360;224;0;0;12;168;4;6;9;0;0
