TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Erzurum;Seçim çevresi toplamý ;;;;2187;493586;431114;422817;227575;78125;833;680;49885;16790;7515;34644;6199;571;0
;;;Ýl/Ýlçe merkezi;;2187;493586;431114;422817;227575;78125;833;680;49885;16790;7515;34644;6199;571;0
;Aþkale;;;;99;16052;14507;14297;8162;3503;24;20;237;680;221;1173;257;20;0
;;;Ýl/Ýlçe merkezi;;99;16052;14507;14297;8162;3503;24;20;237;680;221;1173;257;20;0
;Çat;;;;57;11120;9632;9407;5146;1215;21;16;1603;862;101;336;99;8;0
;;;Ýl/Ýlçe merkezi;;57;11120;9632;9407;5146;1215;21;16;1603;862;101;336;99;8;0
;Hýnýs;;;;115;16513;13476;12817;4163;474;63;34;6678;918;137;275;60;15;0
;;;Ýl/Ýlçe merkezi;;115;16513;13476;12817;4163;474;63;34;6678;918;137;275;60;15;0
;Horasan;;;;123;23803;20217;19875;12669;3408;34;27;2000;315;184;826;390;22;0
;;;Ýl/Ýlçe merkezi;;123;23803;20217;19875;12669;3408;34;27;2000;315;184;826;390;22;0
;Ýspir;;;;122;12918;11515;11295;8002;1632;31;24;36;449;231;731;143;16;0
;;;Ýl/Ýlçe merkezi;;122;12918;11515;11295;8002;1632;31;24;36;449;231;731;143;16;0
;Karayazý;;;;99;16250;13557;13098;2765;200;44;37;9734;149;59;83;22;5;0
;;;Ýl/Ýlçe merkezi;;99;16250;13557;13098;2765;200;44;37;9734;149;59;83;22;5;0
;Narman;;;;57;9463;8339;8169;5068;1699;16;25;31;295;117;756;159;3;0
;;;Ýl/Ýlçe merkezi;;57;9463;8339;8169;5068;1699;16;25;31;295;117;756;159;3;0
;Oltu;;;;123;22395;19698;19356;11824;4021;41;47;353;855;511;1323;362;19;0
;;;Ýl/Ýlçe merkezi;;123;22395;19698;19356;11824;4021;41;47;353;855;511;1323;362;19;0
;Olur;;;;47;5626;4753;4627;2967;742;13;15;13;224;60;497;87;9;0
;;;Ýl/Ýlçe merkezi;;47;5626;4753;4627;2967;742;13;15;13;224;60;497;87;9;0
;Pasinler;;;;92;18403;16667;16325;9246;3474;33;26;666;438;324;1857;238;23;0
;;;Ýl/Ýlçe merkezi;;92;18403;16667;16325;9246;3474;33;26;666;438;324;1857;238;23;0
;Þenkaya;;;;88;13512;10954;10659;4838;1236;30;38;1342;2094;118;589;348;26;0
;;;Ýl/Ýlçe merkezi;;88;13512;10954;10659;4838;1236;30;38;1342;2094;118;589;348;26;0
;Tekman;;;;85;15055;12307;11720;2699;168;57;74;8199;277;101;109;21;15;0
;;;Ýl/Ýlçe merkezi;;85;15055;12307;11720;2699;168;57;74;8199;277;101;109;21;15;0
;Tortum;;;;78;11952;10828;10689;7659;1846;16;15;10;220;159;619;135;10;0
;;;Ýl/Ýlçe merkezi;;78;11952;10828;10689;7659;1846;16;15;10;220;159;619;135;10;0
;Karaçoban;;;;51;12845;9968;9567;1802;334;31;29;7025;151;45;105;37;8;0
;;;Ýl/Ýlçe merkezi;;51;12845;9968;9567;1802;334;31;29;7025;151;45;105;37;8;0
;Uzundere;;;;27;6645;5931;5801;3869;1051;11;17;14;145;120;471;95;8;0
;;;Ýl/Ýlçe merkezi;;27;6645;5931;5801;3869;1051;11;17;14;145;120;471;95;8;0
;Pazaryolu;;;;46;3422;3115;3087;2382;405;2;3;5;62;46;140;41;1;0
;;;Ýl/Ýlçe merkezi;;46;3422;3115;3087;2382;405;2;3;5;62;46;140;41;1;0
;Aziziye;;;;150;38269;34666;34228;20540;7811;33;30;630;939;612;3092;510;31;0
;;;Ýl/Ýlçe merkezi;;150;38269;34666;34228;20540;7811;33;30;630;939;612;3092;510;31;0
;Köprüköy;;;;53;9463;8421;8249;5149;1250;28;19;1197;124;58;358;59;7;0
;;;Ýl/Ýlçe merkezi;;53;9463;8421;8249;5149;1250;28;19;1197;124;58;358;59;7;0
;Palandöken;;;;323;113170;98717;97146;50206;20957;203;91;6974;3774;2132;11185;1454;170;0
;;;Ýl/Ýlçe merkezi;;323;113170;98717;97146;50206;20957;203;91;6974;3774;2132;11185;1454;170;0
;Yakutiye;;;;352;116710;103846;102405;58419;22699;102;93;3138;3819;2179;10119;1682;155;0
;;;Ýl/Ýlçe merkezi;;352;116710;103846;102405;58419;22699;102;93;3138;3819;2179;10119;1682;155;0
