TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Eskiþehir;Seçim çevresi toplamý ;;;;2073;645534;575177;564067;212446;55273;758;1398;21797;183089;6270;75465;5145;2149;277
;;;Ýl/Ýlçe merkezi;;2073;645534;575177;564067;212446;55273;758;1398;21797;183089;6270;75465;5145;2149;277
;Çifteler;;;;48;11484;9896;9499;3541;2150;24;38;313;2021;94;1170;130;16;2
;;;Ýl/Ýlçe merkezi;;48;11484;9896;9499;3541;2150;24;38;313;2021;94;1170;130;16;2
;Mahmudiye;;;;27;5764;5030;4852;1857;394;15;12;446;1382;46;649;38;10;3
;;;Ýl/Ýlçe merkezi;;27;5764;5030;4852;1857;394;15;12;446;1382;46;649;38;10;3
;Mihalýççýk;;;;59;7000;5949;5722;2424;829;29;30;51;1365;80;823;82;9;0
;;;Ýl/Ýlçe merkezi;;59;7000;5949;5722;2424;829;29;30;51;1365;80;823;82;9;0
;Sarýcakaya;;;;16;4060;3627;3510;2126;321;10;13;35;577;44;348;27;7;2
;;;Ýl/Ýlçe merkezi;;16;4060;3627;3510;2126;321;10;13;35;577;44;348;27;7;2
;Seyitgazi;;;;67;10793;9993;9680;4407;788;21;31;173;3135;48;989;70;16;2
;;;Ýl/Ýlçe merkezi;;67;10793;9993;9680;4407;788;21;31;173;3135;48;989;70;16;2
;Sivrihisar;;;;94;16303;14074;13594;6317;1585;45;59;425;2711;116;2140;158;33;5
;;;Ýl/Ýlçe merkezi;;94;16303;14074;13594;6317;1585;45;59;425;2711;116;2140;158;33;5
;Alpu;;;;44;8864;7746;7486;3805;919;14;41;83;1678;49;779;101;15;2
;;;Ýl/Ýlçe merkezi;;44;8864;7746;7486;3805;919;14;41;83;1678;49;779;101;15;2
;Beylikova;;;;29;5095;4486;4314;1777;420;11;21;64;1265;29;663;47;16;1
;;;Ýl/Ýlçe merkezi;;29;5095;4486;4314;1777;420;11;21;64;1265;29;663;47;16;1
;Ýnönü;;;;23;5352;5017;4888;2542;505;8;8;57;1165;64;474;47;17;1
;;;Ýl/Ýlçe merkezi;;23;5352;5017;4888;2542;505;8;8;57;1165;64;474;47;17;1
;Günyüzü;;;;25;4925;4446;4307;2699;419;15;11;19;639;40;410;43;10;2
;;;Ýl/Ýlçe merkezi;;25;4925;4446;4307;2699;419;15;11;19;639;40;410;43;10;2
;Han;;;;16;1739;1516;1434;561;139;6;8;13;540;13;139;13;2;0
;;;Ýl/Ýlçe merkezi;;16;1739;1516;1434;561;139;6;8;13;540;13;139;13;2;0
;Mihalgazi;;;;10;2642;2449;2377;1373;188;6;6;10;405;91;267;27;4;0
;;;Ýl/Ýlçe merkezi;;10;2642;2449;2377;1373;188;6;6;10;405;91;267;27;4;0
;Odunpazarý;;;;847;296082;265075;260810;92599;24675;251;583;10520;91176;2890;34665;2308;1023;120
;;;Ýl/Ýlçe merkezi;;847;296082;265075;260810;92599;24675;251;583;10520;91176;2890;34665;2308;1023;120
;Tepebaþý;;;;768;265431;235873;231594;86418;21941;303;537;9588;75030;2666;31949;2054;971;137
;;;Ýl/Ýlçe merkezi;;768;265431;235873;231594;86418;21941;303;537;9588;75030;2666;31949;2054;971;137
