TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Gaziantep;Seçim çevresi toplamý ;;;;3708;1214503;1039392;1019525;515715;128473;8703;1947;119393;152162;12257;68450;10891;1534;0
;;;Ýl/Ýlçe merkezi;;3708;1214503;1039392;1019525;515715;128473;8703;1947;119393;152162;12257;68450;10891;1534;0
;Araban;;;;84;20271;17320;16817;8865;2202;113;45;2377;1952;221;881;149;12;0
;;;Ýl/Ýlçe merkezi;;84;20271;17320;16817;8865;2202;113;45;2377;1952;221;881;149;12;0
;Ýslahiye;;;;155;43348;37436;36430;19072;3231;143;100;4616;5384;417;3112;305;50;0
;;;Ýl/Ýlçe merkezi;;155;43348;37436;36430;19072;3231;143;100;4616;5384;417;3112;305;50;0
;Nizip;;;;307;87621;74158;72508;40113;7959;975;118;6998;8796;1163;5583;690;113;0
;;;Ýl/Ýlçe merkezi;;307;87621;74158;72508;40113;7959;975;118;6998;8796;1163;5583;690;113;0
;Oðuzeli;;;;115;19461;17438;17164;7662;4566;61;26;227;2772;190;1386;256;18;0
;;;Ýl/Ýlçe merkezi;;115;19461;17438;17164;7662;4566;61;26;227;2772;190;1386;256;18;0
;Yavuzeli;;;;59;12840;11562;11321;6616;970;82;11;900;1742;298;615;79;8;0
;;;Ýl/Ýlçe merkezi;;59;12840;11562;11321;6616;970;82;11;900;1742;298;615;79;8;0
;Þahinbey;;;;1568;549859;466739;458183;228960;62053;2620;943;50458;71880;4884;30344;5332;709;0
;;;Ýl/Ýlçe merkezi;;1568;549859;466739;458183;228960;62053;2620;943;50458;71880;4884;30344;5332;709;0
;Þehitkamil;;;;1277;448736;386475;379353;189506;42252;4629;668;52563;56129;4883;24362;3768;593;0
;;;Ýl/Ýlçe merkezi;;1277;448736;386475;379353;189506;42252;4629;668;52563;56129;4883;24362;3768;593;0
;Karkamýþ;;;;45;6732;6109;5969;2912;602;40;7;121;1172;68;1004;34;9;0
;;;Ýl/Ýlçe merkezi;;45;6732;6109;5969;2912;602;40;7;121;1172;68;1004;34;9;0
;Nurdaðý;;;;98;25635;22155;21780;12009;4638;40;29;1133;2335;133;1163;278;22;0
;;;Ýl/Ýlçe merkezi;;98;25635;22155;21780;12009;4638;40;29;1133;2335;133;1163;278;22;0
