TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Giresun;Seçim çevresi toplamý ;;;;1304;334305;290219;282863;149135;30280;802;812;2983;49930;3542;41343;3356;680;0
;;;Ýl/Ýlçe merkezi;;635;205188;176524;172888;78640;18690;351;384;2333;36792;2387;31048;1759;504;0
;;;Belde/Köy;;669;129117;113695;109975;70495;11590;451;428;650;13138;1155;10295;1597;176;0
;Alucra;;;;54;7393;5909;5756;3805;1028;5;9;14;252;109;394;132;8;0
;;;Ýl/Ýlçe merkezi;;15;3227;2151;2094;1085;511;2;2;10;153;52;224;50;5;0
;;;Belde/Köy;;39;4166;3758;3662;2720;517;3;7;4;99;57;170;82;3;0
;Bulancak;;;;177;50136;44621;43635;23263;4874;80;95;448;9272;724;4327;456;96;0
;;;Ýl/Ýlçe merkezi;;96;33427;29664;29092;14338;3299;37;46;344;6941;518;3208;285;76;0
;;;Belde/Köy;;81;16709;14957;14543;8925;1575;43;49;104;2331;206;1119;171;20;0
;Dereli;;;;63;16091;14074;13566;9485;1103;54;46;25;895;80;1662;197;19;0
;;;Ýl/Ýlçe merkezi;;15;4645;3803;3692;1980;399;12;6;6;444;34;769;32;10;0
;;;Belde/Köy;;48;11446;10271;9874;7505;704;42;40;19;451;46;893;165;9;0
