TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Gümüþhane;Seçim çevresi toplamý ;;;;575;100675;80733;78858;44124;16199;220;178;654;5580;1575;9048;1154;126;0
;;;Ýl/Ýlçe merkezi;;177;53175;40189;39374;19649;8446;79;57;329;3097;889;6217;542;69;0
;;;Belde/Köy;;398;47500;40544;39484;24475;7753;141;121;325;2483;686;2831;612;57;0
;Gümüþhane Merkez;;;;198;35848;29032;28406;13879;6305;49;34;327;2260;640;4465;394;53;0
;;;Ýl/Ýlçe merkezi;;87;26474;20432;20026;9358;4378;39;22;199;1670;450;3613;262;35;0
;;;Belde/Köy;;111;9374;8600;8380;4521;1927;10;12;128;590;190;852;132;18;0
;Kelkit;;;;136;26843;21316;20975;13379;3959;79;33;179;1155;380;1548;243;20;0
;;;Ýl/Ýlçe merkezi;;32;10696;8448;8332;4774;1495;16;14;83;668;198;977;96;11;0
;;;Belde/Köy;;104;16147;12868;12643;8605;2464;63;19;96;487;182;571;147;9;0
;Þiran;;;;93;14729;10833;10473;5520;1975;26;26;86;1150;279;1180;207;24;0
;;;Ýl/Ýlçe merkezi;;21;6648;4045;3932;1864;913;7;6;25;257;150;621;78;11;0
;;;Belde/Köy;;72;8081;6788;6541;3656;1062;19;20;61;893;129;559;129;13;0
;Torul;;;;65;8745;7246;7002;3470;1693;30;33;28;603;127;864;140;14;0
;;;Ýl/Ýlçe merkezi;;17;4038;3156;3054;1289;813;8;6;15;315;51;490;61;6;0
;;;Belde/Köy;;48;4707;4090;3948;2181;880;22;27;13;288;76;374;79;8;0
;Köse;;;;24;4959;4317;4244;2968;840;8;7;3;44;60;246;66;2;0
;;;Ýl/Ýlçe merkezi;;9;2350;1913;1877;1212;436;5;3;1;30;17;150;22;1;0
;;;Belde/Köy;;15;2609;2404;2367;1756;404;3;4;2;14;43;96;44;1;0
;Kürtün;;;;59;9551;7989;7758;4908;1427;28;45;31;368;89;745;104;13;0
;;;Ýl/Ýlçe merkezi;;11;2969;2195;2153;1152;411;4;6;6;157;23;366;23;5;0
;;;Belde/Köy;;48;6582;5794;5605;3756;1016;24;39;25;211;66;379;81;8;0
