TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Hakkari;Seçim çevresi toplamý ;;;;511;168258;140276;135566;25544;4762;792;271;97337;4033;705;1633;402;87;0
;;;Ýl/Ýlçe merkezi;;271;95583;78872;76467;10168;2931;351;116;58937;2289;378;1044;205;48;0
;;;Belde/Köy;;240;72675;61404;59099;15376;1831;441;155;38400;1744;327;589;197;39;0
;Çukurca;;;;33;10729;7781;7621;1255;844;12;15;4875;325;34;203;51;7;0
;;;Ýl/Ýlçe merkezi;;20;6916;4356;4266;1080;786;7;5;1858;260;28;188;48;6;0
;;;Belde/Köy;;13;3813;3425;3355;175;58;5;10;3017;65;6;15;3;1;0
;Hakkari Merkez;;;;153;48683;41990;40765;6267;1512;135;78;30363;1493;277;535;88;17;0
;;;Ýl/Ýlçe merkezi;;105;36460;31764;30958;3915;1074;75;41;24239;956;171;408;65;14;0
;;;Belde/Köy;;48;12223;10226;9807;2352;438;60;37;6124;537;106;127;23;3;0
;Þemdinli;;;;104;35925;28765;27525;11012;1018;272;63;13656;818;170;335;156;25;0
;;;Ýl/Ýlçe merkezi;;24;8499;6432;6129;1428;272;100;14;3929;207;45;99;33;2;0
;;;Belde/Köy;;80;27426;22333;21396;9584;746;172;49;9727;611;125;236;123;23;0
;Yüksekova;;;;221;72921;61740;59655;7010;1388;373;115;48443;1397;224;560;107;38;0
;;;Ýl/Ýlçe merkezi;;122;43708;36320;35114;3745;799;169;56;28911;866;134;349;59;26;0
;;;Belde/Köy;;99;29213;25420;24541;3265;589;204;59;19532;531;90;211;48;12;0
