TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Hatay;Seçim çevresi toplamý ;;;;3124;1041076;925282;911280;320185;131179;1511;1290;98645;281145;8189;59911;7568;1657;0
;;;Ýl/Ýlçe merkezi;;3124;1041076;925282;911280;320185;131179;1511;1290;98645;281145;8189;59911;7568;1657;0
;Altýnözü;;;;124;35942;31809;31198;18393;7280;49;43;423;3231;215;1056;471;37;0
;;;Ýl/Ýlçe merkezi;;124;35942;31809;31198;18393;7280;49;43;423;3231;215;1056;471;37;0
;Dörtyol;;;;239;82689;72574;71252;25173;15744;148;86;6861;12779;1030;8629;690;112;0
;;;Ýl/Ýlçe merkezi;;239;82689;72574;71252;25173;15744;148;86;6861;12779;1030;8629;690;112;0
;Hassa;;;;121;36231;31908;31078;18187;4838;86;80;360;2578;586;4018;299;46;0
;;;Ýl/Ýlçe merkezi;;121;36231;31908;31078;18187;4838;86;80;360;2578;586;4018;299;46;0
;Ýskenderun;;;;482;171301;151398;149476;50676;23838;388;262;12913;45508;1225;12914;1432;320;0
;;;Ýl/Ýlçe merkezi;;482;171301;151398;149476;50676;23838;388;262;12913;45508;1225;12914;1432;320;0
;Kýrýkhan;;;;235;73575;64937;64052;36724;13308;102;86;1308;6478;530;4789;656;71;0
;;;Ýl/Ýlçe merkezi;;235;73575;64937;64052;36724;13308;102;86;1308;6478;530;4789;656;71;0
;Reyhanlý;;;;173;54641;45331;44372;22137;12861;78;64;737;5606;464;1768;603;54;0
;;;Ýl/Ýlçe merkezi;;173;54641;45331;44372;22137;12861;78;64;737;5606;464;1768;603;54;0
;Samandað;;;;236;80101;70605;69604;3428;1531;63;137;22453;40176;128;1448;110;130;0
;;;Ýl/Ýlçe merkezi;;236;80101;70605;69604;3428;1531;63;137;22453;40176;128;1448;110;130;0
;Yayladaðý;;;;77;18190;17148;16764;9483;3150;40;29;308;2415;207;880;222;30;0
;;;Ýl/Ýlçe merkezi;;77;18190;17148;16764;9483;3150;40;29;308;2415;207;880;222;30;0
;Erzin;;;;88;28605;25191;24772;7192;4740;47;31;3459;5806;240;2980;231;46;0
;;;Ýl/Ýlçe merkezi;;88;28605;25191;24772;7192;4740;47;31;3459;5806;240;2980;231;46;0
;Belen;;;;70;23018;20961;20616;8833;5044;26;44;401;3120;282;2580;251;35;0
;;;Ýl/Ýlçe merkezi;;70;23018;20961;20616;8833;5044;26;44;401;3120;282;2580;251;35;0
;Kumlu;;;;30;8090;7110;6994;3558;1600;8;6;35;1221;62;440;59;5;0
;;;Ýl/Ýlçe merkezi;;30;8090;7110;6994;3558;1600;8;6;35;1221;62;440;59;5;0
;Antakya;;;;683;236374;212110;209194;93011;25919;214;182;15709;56913;2337;12589;1926;394;0
;;;Ýl/Ýlçe merkezi;;683;236374;212110;209194;93011;25919;214;182;15709;56913;2337;12589;1926;394;0
;Arsuz;;;;184;60827;55225;54532;8501;4893;60;72;6317;31901;183;2207;258;140;0
;;;Ýl/Ýlçe merkezi;;184;60827;55225;54532;8501;4893;60;72;6317;31901;183;2207;258;140;0
;Defne;;;;302;104137;94272;93086;4877;1645;98;126;25540;58481;219;1803;105;192;0
;;;Ýl/Ýlçe merkezi;;302;104137;94272;93086;4877;1645;98;126;25540;58481;219;1803;105;192;0
;Payas;;;;80;27355;24703;24290;10012;4788;104;42;1821;4932;481;1810;255;45;0
;;;Ýl/Ýlçe merkezi;;80;27355;24703;24290;10012;4788;104;42;1821;4932;481;1810;255;45;0
