TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ýstanbul;Seçim çevresi toplamý (3 nolu);;;;10087;3696176;3242484;3189988;1306005;265996;6514;5738;456265;808690;43300;262799;25218;8456;1007
;;;Ýl/Ýlçe merkezi;;10087;3696176;3242484;3189988;1306005;265996;6514;5738;456265;808690;43300;262799;25218;8456;1007
;Bakýrköy;;;;463;168450;147943;146304;28993;6424;94;466;20283;69677;1727;17225;618;726;71
;;;Ýl/Ýlçe merkezi;;463;168450;147943;146304;28993;6424;94;466;20283;69677;1727;17225;618;726;71
;Çatalca;;;;160;53501;48873;47681;17817;2924;71;89;1838;16685;459;7293;320;156;29
;;;Ýl/Ýlçe merkezi;;160;53501;48873;47681;17817;2924;71;89;1838;16685;459;7293;320;156;29
;Silivri;;;;386;120995;115744;113456;37394;9411;142;283;12158;39207;1380;12165;852;402;62
;;;Ýl/Ýlçe merkezi;;386;120995;115744;113456;37394;9411;142;283;12158;39207;1380;12165;852;402;62
;Büyükçekmece;;;;471;172351;151341;149151;56466;11544;158;347;13330;49045;1420;15161;1122;511;47
;;;Ýl/Ýlçe merkezi;;471;172351;151341;149151;56466;11544;158;347;13330;49045;1420;15161;1122;511;47
;Küçükçekmece;;;;1468;541033;474705;467024;176882;40540;1032;848;62294;129231;5930;45047;3738;1326;156
;;;Ýl/Ýlçe merkezi;;1468;541033;474705;467024;176882;40540;1032;848;62294;129231;5930;45047;3738;1326;156
;Avcýlar;;;;811;302286;263133;258744;90945;19715;355;476;33776;86321;2700;21685;1888;784;99
;;;Ýl/Ýlçe merkezi;;811;302286;263133;258744;90945;19715;355;476;33776;86321;2700;21685;1888;784;99
;Baðcýlar;;;;1359;506091;443545;435931;222074;43754;1081;644;66243;64098;7010;26145;3988;785;109
;;;Ýl/Ýlçe merkezi;;1359;506091;443545;435931;222074;43754;1081;644;66243;64098;7010;26145;3988;785;109
;Bahçelievler;;;;1158;427357;372488;366878;159863;30319;753;647;48979;86648;5638;30068;2905;934;124
;;;Ýl/Ýlçe merkezi;;1158;427357;372488;366878;159863;30319;753;647;48979;86648;5638;30068;2905;934;124
;Güngören;;;;571;211075;183720;180855;84937;15514;414;311;21109;38859;2989;14672;1534;476;40
;;;Ýl/Ýlçe merkezi;;571;211075;183720;180855;84937;15514;414;311;21109;38859;2989;14672;1534;476;40
;Arnavutköy;;;;471;168986;148790;145345;77685;16591;488;222;22867;15195;2097;8288;1678;193;41
;;;Ýl/Ýlçe merkezi;;471;168986;148790;145345;77685;16591;488;222;22867;15195;2097;8288;1678;193;41
;Baþakþehir;;;;690;253892;225857;222658;104233;16558;613;316;32232;44348;5278;16788;1631;603;58
;;;Ýl/Ýlçe merkezi;;690;253892;225857;222658;104233;16558;613;316;32232;44348;5278;16788;1631;603;58
;Beylikdüzü;;;;595;220711;195406;193260;69359;13856;236;440;19578;64567;2572;20729;1185;676;62
;;;Ýl/Ýlçe merkezi;;595;220711;195406;193260;69359;13856;236;440;19578;64567;2572;20729;1185;676;62
;Esenyurt;;;;1484;549448;470939;462701;179357;38846;1077;649;101578;104809;4100;27533;3759;884;109
;;;Ýl/Ýlçe merkezi;;1484;549448;470939;462701;179357;38846;1077;649;101578;104809;4100;27533;3759;884;109
