TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ýzmir;Seçim çevresi toplamý (1 nolu);;;;4469;1577841;1397565;1373392;377584;78038;2276;4223;169996;569968;10758;145611;9097;4882;959
;;;Ýl/Ýlçe merkezi;;4469;1577841;1397565;1373392;377584;78038;2276;4223;169996;569968;10758;145611;9097;4882;959
;Çeþme;;;;102;34017;29926;29475;5987;1616;17;77;2938;15478;103;2953;169;114;23
;;;Ýl/Ýlçe merkezi;;102;34017;29926;29475;5987;1616;17;77;2938;15478;103;2953;169;114;23
;Karaburun;;;;33;8613;7734;7563;1734;376;9;36;619;3981;36;695;43;16;18
;;;Ýl/Ýlçe merkezi;;33;8613;7734;7563;1734;376;9;36;619;3981;36;695;43;16;18
;Seferihisar;;;;99;31956;28490;27944;6483;1827;26;119;2907;13393;184;2697;181;110;17
;;;Ýl/Ýlçe merkezi;;99;31956;28490;27944;6483;1827;26;119;2907;13393;184;2697;181;110;17
;Selçuk;;;;88;28043;25326;24828;5669;1529;43;76;2791;10967;149;3378;135;79;12
;;;Ýl/Ýlçe merkezi;;88;28043;25326;24828;5669;1529;43;76;2791;10967;149;3378;135;79;12
;Torbalý;;;;368;123521;110645;108227;35758;7403;274;241;15323;35235;898;11893;787;333;82
;;;Ýl/Ýlçe merkezi;;368;123521;110645;108227;35758;7403;274;241;15323;35235;898;11893;787;333;82
;Urla;;;;151;49901;44801;44062;8121;1697;38;213;4274;24286;223;4805;192;181;32
;;;Ýl/Ýlçe merkezi;;151;49901;44801;44062;8121;1697;38;213;4274;24286;223;4805;192;181;32
;Buca;;;;985;359766;316443;311238;92283;20245;591;843;38873;117308;2707;34871;2245;1092;180
;;;Ýl/Ýlçe merkezi;;985;359766;316443;311238;92283;20245;591;843;38873;117308;2707;34871;2245;1092;180
;Konak;;;;803;278789;241841;237584;60782;9516;419;899;33505;106359;1595;22121;1361;844;183
;;;Ýl/Ýlçe merkezi;;803;278789;241841;237584;60782;9516;419;899;33505;106359;1595;22121;1361;844;183
;Menderes;;;;203;69335;62111;60611;19726;3880;130;167;4358;24626;491;6494;468;215;56
;;;Ýl/Ýlçe merkezi;;203;69335;62111;60611;19726;3880;130;167;4358;24626;491;6494;468;215;56
;Balçova;;;;170;60800;54295;53651;10402;2225;38;182;5935;28139;349;5850;242;251;38
;;;Ýl/Ýlçe merkezi;;170;60800;54295;53651;10402;2225;38;182;5935;28139;349;5850;242;251;38
;Gaziemir;;;;273;98438;89089;87759;23771;6243;152;232;8945;34741;775;11888;608;347;57
;;;Ýl/Ýlçe merkezi;;273;98438;89089;87759;23771;6243;152;232;8945;34741;775;11888;608;347;57
;Narlýdere;;;;137;49405;44870;44236;5623;1140;39;193;7734;24890;191;4088;133;167;38
;;;Ýl/Ýlçe merkezi;;137;49405;44870;44236;5623;1140;39;193;7734;24890;191;4088;133;167;38
;Güzelbahçe;;;;71;24133;21918;21620;3402;849;17;125;2145;12275;110;2502;73;100;22
;;;Ýl/Ýlçe merkezi;;71;24133;21918;21620;3402;849;17;125;2145;12275;110;2502;73;100;22
;Karabaðlar;;;;986;361124;320076;314594;97843;19492;483;820;39649;118290;2947;31376;2460;1033;201
;;;Ýl/Ýlçe merkezi;;986;361124;320076;314594;97843;19492;483;820;39649;118290;2947;31376;2460;1033;201
