TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kahramanmaraþ;Seçim çevresi toplamý ;;;;2390;738677;661140;648790;375008;105917;1531;1323;22252;61433;9848;63283;7388;807;0
;;;Ýl/Ýlçe merkezi;;2390;738677;661140;648790;375008;105917;1531;1323;22252;61433;9848;63283;7388;807;0
;Afþin;;;;186;54233;46484;45498;21671;11474;109;101;1313;4514;511;5053;706;46;0
;;;Ýl/Ýlçe merkezi;;186;54233;46484;45498;21671;11474;109;101;1313;4514;511;5053;706;46;0
;Andýrýn;;;;97;25097;22315;21665;10897;3383;92;120;134;3758;328;2711;212;30;0
;;;Ýl/Ýlçe merkezi;;97;25097;22315;21665;10897;3383;92;120;134;3758;328;2711;212;30;0
;Elbistan;;;;320;95724;82618;81005;36887;14943;132;137;5016;11198;1324;10248;1008;112;0
;;;Ýl/Ýlçe merkezi;;320;95724;82618;81005;36887;14943;132;137;5016;11198;1324;10248;1008;112;0
;Göksun;;;;144;36557;31935;31108;16384;6590;93;110;522;3078;581;3250;460;40;0
;;;Ýl/Ýlçe merkezi;;144;36557;31935;31108;16384;6590;93;110;522;3078;581;3250;460;40;0
;Pazarcýk;;;;172;45609;39585;38467;15230;4494;95;81;6468;9604;180;1897;362;56;0
;;;Ýl/Ýlçe merkezi;;172;45609;39585;38467;15230;4494;95;81;6468;9604;180;1897;362;56;0
;Türkoðlu;;;;150;45008;40720;39873;25342;5643;104;88;771;3018;1080;3286;513;28;0
;;;Ýl/Ýlçe merkezi;;150;45008;40720;39873;25342;5643;104;88;771;3018;1080;3286;513;28;0
;Çaðlayancerit;;;;52;15915;13713;13333;6844;1368;145;66;819;1830;118;2044;82;17;0
;;;Ýl/Ýlçe merkezi;;52;15915;13713;13333;6844;1368;145;66;819;1830;118;2044;82;17;0
;Ekinözü;;;;32;8304;7517;7303;3885;1029;26;20;615;819;62;776;63;8;0
;;;Ýl/Ýlçe merkezi;;32;8304;7517;7303;3885;1029;26;20;615;819;62;776;63;8;0
;Nurhak;;;;34;9068;7526;7290;1884;795;12;31;732;3215;118;445;42;16;0
;;;Ýl/Ýlçe merkezi;;34;9068;7526;7290;1884;795;12;31;732;3215;118;445;42;16;0
;Dulkadiroðlu;;;;429;140478;128120;125883;85364;18166;231;214;3254;7596;1565;8018;1354;121;0
;;;Ýl/Ýlçe merkezi;;429;140478;128120;125883;85364;18166;231;214;3254;7596;1565;8018;1354;121;0
;Onikiþubat;;;;774;262684;240607;237365;150620;38032;492;355;2608;12803;3981;25555;2586;333;0
;;;Ýl/Ýlçe merkezi;;774;262684;240607;237365;150620;38032;492;355;2608;12803;3981;25555;2586;333;0
