TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Karabük;Seçim çevresi toplamý ;;;;711;175500;154405;150057;79446;20274;323;552;1486;24744;2605;18490;1763;374;0
;;;Ýl/Ýlçe merkezi;;386;131540;114780;112043;57016;15043;172;311;1145;19931;2045;14806;1265;309;0
;;;Belde/Köy;;325;43960;39625;38014;22430;5231;151;241;341;4813;560;3684;498;65;0
;Eflani;;;;62;6967;5998;5733;3676;613;21;49;31;549;89;619;71;15;0
;;;Ýl/Ýlçe merkezi;;8;1527;1310;1265;697;144;6;8;4;145;28;215;15;3;0
;;;Belde/Köy;;54;5440;4688;4468;2979;469;15;41;27;404;61;404;56;12;0
;Eskipazar;;;;65;9966;8760;8467;4965;1411;26;48;35;661;182;960;166;13;0
;;;Ýl/Ýlçe merkezi;;15;4837;4124;3997;2192;756;6;16;16;340;100;513;49;9;0
;;;Belde/Köy;;50;5129;4636;4470;2773;655;20;32;19;321;82;447;117;4;0
;Karabük Merkez;;;;282;91193;79991;78148;42395;11089;128;215;808;11288;1288;9801;961;175;0
;;;Ýl/Ýlçe merkezi;;232;81914;71335;69733;37517;9911;103;191;636;10320;1188;8848;853;166;0
;;;Belde/Köy;;50;9279;8656;8415;4878;1178;25;24;172;968;100;953;108;9;0
;Ovacýk;;;;44;2991;2767;2653;1668;252;17;32;11;329;29;288;21;6;0
;;;Ýl/Ýlçe merkezi;;2;434;378;370;208;32;0;7;2;58;5;54;1;3;0
;;;Belde/Köy;;42;2557;2389;2283;1460;220;17;25;9;271;24;234;20;3;0
;Safranbolu;;;;184;47753;42081;41066;19916;5008;83;116;517;9050;713;5129;406;128;0
;;;Ýl/Ýlçe merkezi;;104;35390;30989;30348;13769;3267;46;59;437;7511;577;4286;288;108;0
;;;Belde/Köy;;80;12363;11092;10718;6147;1741;37;57;80;1539;136;843;118;20;0
;Yenice;;;;74;16630;14808;13990;6826;1901;48;92;84;2867;304;1693;138;37;0
;;;Ýl/Ýlçe merkezi;;25;7438;6644;6330;2633;933;11;30;50;1557;147;890;59;20;0
;;;Belde/Köy;;49;9192;8164;7660;4193;968;37;62;34;1310;157;803;79;17;0
