TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Karaman;Seçim çevresi toplamý ;;;;627;173500;156830;152972;80498;22826;356;521;1671;24608;2431;17884;1877;300;0
;;;Ýl/Ýlçe merkezi;;379;124326;112524;110393;57937;16662;175;254;1420;17218;1931;13223;1349;224;0
;;;Belde/Köy;;248;49174;44306;42579;22561;6164;181;267;251;7390;500;4661;528;76;0
;Ermenek;;;;92;21208;18511;17700;7627;2208;96;137;134;3691;192;3366;199;50;0
;;;Ýl/Ýlçe merkezi;;32;7733;6676;6467;2441;757;19;28;66;1371;75;1617;75;18;0
;;;Belde/Köy;;60;13475;11835;11233;5186;1451;77;109;68;2320;117;1749;124;32;0
;Karaman Merkez;;;;438;131427;120080;117772;64428;18035;184;267;1406;17482;2087;12166;1496;221;0
;;;Ýl/Ýlçe merkezi;;311;107708;98096;96411;51597;14728;131;195;1310;14726;1787;10548;1192;197;0
;;;Belde/Köy;;127;23719;21984;21361;12831;3307;53;72;96;2756;300;1618;304;24;0
;Ayrancý;;;;34;6484;5701;5484;2677;729;15;32;28;1208;50;682;54;9;0
;;;Ýl/Ýlçe merkezi;;7;1731;1521;1475;575;214;0;7;10;430;15;206;15;3;0
;;;Belde/Köy;;27;4753;4180;4009;2102;515;15;25;18;778;35;476;39;6;0
;Kazýmkarabekir;;;;14;3016;2742;2686;1655;379;4;6;15;311;23;252;38;3;0
;;;Ýl/Ýlçe merkezi;;8;2177;1942;1900;1137;264;2;3;11;226;19;213;24;1;0
;;;Belde/Köy;;6;839;800;786;518;115;2;3;4;85;4;39;14;2;0
;Baþyayla;;;;13;2756;2384;2288;1221;630;8;17;5;126;28;219;32;2;0
;;;Ýl/Ýlçe merkezi;;7;1407;1209;1177;779;232;0;4;3;48;19;77;14;1;0
;;;Belde/Köy;;6;1349;1175;1111;442;398;8;13;2;78;9;142;18;1;0
;Sarýveliler;;;;36;8609;7412;7042;2890;845;49;62;83;1790;51;1199;58;15;0
;;;Ýl/Ýlçe merkezi;;14;3570;3080;2963;1408;467;23;17;20;417;16;562;29;4;0
;;;Belde/Köy;;22;5039;4332;4079;1482;378;26;45;63;1373;35;637;29;11;0
