TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kars;Seçim çevresi toplamý ;;;;714;181776;147467;143051;52791;10145;424;414;46285;20207;973;10597;993;222;0
;;;Ýl/Ýlçe merkezi;;256;84691;68672;66907;22917;5186;180;128;18285;12407;528;6638;501;137;0
;;;Belde/Köy;;458;97085;78795;76144;29874;4959;244;286;28000;7800;445;3959;492;85;0
;Arpaçay;;;;58;12163;9555;9274;3807;948;37;36;1097;1831;47;1356;96;19;0
;;;Ýl/Ýlçe merkezi;;6;1637;1281;1260;548;128;1;1;92;274;8;197;8;3;0
;;;Belde/Köy;;52;10526;8274;8014;3259;820;36;35;1005;1557;39;1159;88;16;0
;Digor;;;;61;13731;11217;10856;1565;97;29;50;8769;201;19;100;21;5;0
;;;Ýl/Ýlçe merkezi;;6;1665;1273;1245;345;30;2;6;773;57;4;24;3;1;0
;;;Belde/Köy;;55;12066;9944;9611;1220;67;27;44;7996;144;15;76;18;4;0
;Kaðýzman;;;;113;28383;22854;22074;9489;1382;68;64;9221;858;113;718;138;23;0
;;;Ýl/Ýlçe merkezi;;40;12432;9970;9678;4353;919;32;22;3217;507;56;478;81;13;0
;;;Belde/Köy;;73;15951;12884;12396;5136;463;36;42;6004;351;57;240;57;10;0
;Kars Merkez;;;;241;71904;58935;57475;17739;4032;163;139;16794;11624;391;6094;369;130;0
;;;Ýl/Ýlçe merkezi;;152;52603;43021;42023;12325;2863;109;80;11674;9248;319;5040;262;103;0
;;;Belde/Köy;;89;19301;15914;15452;5414;1169;54;59;5120;2376;72;1054;107;27;0
;Sarýkamýþ;;;;100;25957;20735;19993;9980;2095;44;46;4901;1631;206;886;186;18;0
;;;Ýl/Ýlçe merkezi;;31;10038;7905;7606;3287;857;21;9;1717;1006;109;501;90;9;0
;;;Belde/Köy;;69;15919;12830;12387;6693;1238;23;37;3184;625;97;385;96;9;0
;Selim;;;;71;15194;12708;12236;6148;640;44;47;3184;1487;148;433;91;14;0
;;;Ýl/Ýlçe merkezi;;11;3430;2889;2809;1221;227;10;5;530;615;20;145;31;5;0
;;;Belde/Köy;;60;11764;9819;9427;4927;413;34;42;2654;872;128;288;60;9;0
;Susuz;;;;33;7061;5871;5704;1709;362;19;16;2072;1112;25;341;45;3;0
;;;Ýl/Ýlçe merkezi;;5;1571;1353;1323;401;83;2;2;219;448;8;145;14;1;0
;;;Belde/Köy;;28;5490;4518;4381;1308;279;17;14;1853;664;17;196;31;2;0
;Akyaka;;;;37;7383;5592;5439;2354;589;20;16;247;1463;24;669;47;10;0
;;;Ýl/Ýlçe merkezi;;5;1315;980;963;437;79;3;3;63;252;4;108;12;2;0
;;;Belde/Köy;;32;6068;4612;4476;1917;510;17;13;184;1211;20;561;35;8;0
