TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kastamonu;Seçim çevresi toplamý ;;;;1626;285633;249191;241904;123900;48471;727;1075;1524;37150;2281;22754;3496;526;0
;;;Ýl/Ýlçe merkezi;;525;161322;138615;135188;59723;29427;255;405;1103;26144;1378;14469;1943;341;0
;;;Belde/Köy;;1101;124311;110576;106716;64177;19044;472;670;421;11006;903;8285;1553;185;0
;Abana;;;;22;3293;2862;2788;1516;282;3;4;23;699;26;196;31;8;0
;;;Ýl/Ýlçe merkezi;;12;2646;2247;2187;1069;232;2;4;18;649;18;163;24;8;0
;;;Belde/Köy;;10;647;615;601;447;50;1;0;5;50;8;33;7;0;0
;Araç;;;;138;15078;13284;12820;7472;1465;46;67;35;2279;130;1163;136;27;0
;;;Ýl/Ýlçe merkezi;;16;4520;3890;3767;1599;447;5;12;13;1162;50;434;34;11;0
;;;Belde/Köy;;122;10558;9394;9053;5873;1018;41;55;22;1117;80;729;102;16;0
;Azdavay;;;;57;6112;5202;4979;2234;616;36;43;30;1278;50;604;63;25;0
;;;Ýl/Ýlçe merkezi;;8;2488;2119;2030;788;251;9;9;13;671;12;257;12;8;0
;;;Belde/Köy;;49;3624;3083;2949;1446;365;27;34;17;607;38;347;51;17;0
;Bozkurt;;;;49;7879;6868;6611;4099;1072;14;39;26;568;101;581;101;10;0
;;;Ýl/Ýlçe merkezi;;16;4213;3591;3478;1942;709;1;10;16;333;49;356;56;6;0
;;;Belde/Köy;;33;3666;3277;3133;2157;363;13;29;10;235;52;225;45;4;0
;Cide;;;;108;18047;14848;14247;8241;1485;73;106;131;2668;125;1201;180;37;0
;;;Ýl/Ýlçe merkezi;;26;7765;6133;5983;2683;552;19;18;80;1796;44;715;55;21;0
;;;Belde/Köy;;82;10282;8715;8264;5558;933;54;88;51;872;81;486;125;16;0
;Çatalzeytin;;;;47;5530;4755;4543;2836;507;19;27;39;646;75;324;55;15;0
;;;Ýl/Ýlçe merkezi;;6;1878;1557;1534;708;223;5;4;18;372;21;164;12;7;0
;;;Belde/Köy;;41;3652;3198;3009;2128;284;14;23;21;274;54;160;43;8;0
;Daday;;;;68;7041;6127;5913;2495;1125;31;32;33;1454;71;594;63;15;0
;;;Ýl/Ýlçe merkezi;;8;2373;2035;1959;672;345;6;6;12;680;24;192;18;4;0
;;;Belde/Köy;;60;4668;4092;3954;1823;780;25;26;21;774;47;402;45;11;0
;Devrekani;;;;68;9896;8765;8521;4744;1635;30;49;31;935;73;875;134;15;0
;;;Ýl/Ýlçe merkezi;;14;3958;3489;3400;1719;696;7;22;15;455;37;386;57;6;0
;;;Belde/Köy;;54;5938;5276;5121;3025;939;23;27;16;480;36;489;77;9;0
;Ýnebolu;;;;106;15896;13858;13309;8274;1685;47;80;75;1571;138;1219;186;34;0
;;;Ýl/Ýlçe merkezi;;25;6580;5599;5445;2596;824;10;18;41;1097;52;731;58;18;0
;;;Belde/Köy;;81;9316;8259;7864;5678;861;37;62;34;474;86;488;128;16;0
;Kastamonu Merkez;;;;404;102847;90709;88818;38013;22142;153;224;778;16273;820;8985;1235;195;0
;;;Ýl/Ýlçe merkezi;;216;76796;66418;65039;25202;15582;101;163;721;14280;693;7236;895;166;0
;;;Belde/Köy;;188;26051;24291;23779;12811;6560;52;61;57;1993;127;1749;340;29;0
;Küre;;;;45;4494;3896;3729;2039;678;10;35;18;516;30;326;67;10;0
;;;Ýl/Ýlçe merkezi;;6;1837;1547;1495;647;294;1;5;3;338;10;171;18;8;0
;;;Belde/Köy;;39;2657;2349;2234;1392;384;9;30;15;178;20;155;49;2;0
;Taþköprü;;;;170;30579;26474;25757;12943;5351;71;90;69;3654;156;2974;388;61;0
;;;Ýl/Ýlçe merkezi;;41;13058;10902;10560;4858;2272;26;41;42;1699;78;1328;184;32;0
;;;Belde/Köy;;129;17521;15572;15197;8085;3079;45;49;27;1955;78;1646;204;29;0
