TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kayseri;Seçim çevresi toplamý ;;;;2995;952629;864726;848702;420880;182076;1479;1274;16193;102885;14733;94607;12296;1484;795
;;;Ýl/Ýlçe merkezi;;2995;952629;864726;848702;420880;182076;1479;1274;16193;102885;14733;94607;12296;1484;795
;Bünyan;;;;83;19362;18562;18132;7922;4926;34;33;416;1928;338;2189;312;30;4
;;;Ýl/Ýlçe merkezi;;83;19362;18562;18132;7922;4926;34;33;416;1928;338;2189;312;30;4
;Develi;;;;161;46331;41691;40729;21638;10416;74;50;205;3354;586;3576;764;54;12
;;;Ýl/Ýlçe merkezi;;161;46331;41691;40729;21638;10416;74;50;205;3354;586;3576;764;54;12
;Felahiye;;;;20;4619;3771;3624;1533;778;7;9;16;711;54;437;71;5;3
;;;Ýl/Ýlçe merkezi;;20;4619;3771;3624;1533;778;7;9;16;711;54;437;71;5;3
;Ýncesu;;;;64;18028;16538;16030;8337;3207;51;43;659;1559;324;1607;220;18;5
;;;Ýl/Ýlçe merkezi;;64;18028;16538;16030;8337;3207;51;43;659;1559;324;1607;220;18;5
;Pýnarbaþý;;;;141;17042;14533;14204;4972;3012;41;32;335;1917;142;3506;203;36;8
;;;Ýl/Ýlçe merkezi;;141;17042;14533;14204;4972;3012;41;32;335;1917;142;3506;203;36;8
;Sarýoðlan;;;;47;10853;9586;9318;4066;2120;30;21;210;1733;138;851;137;9;3
;;;Ýl/Ýlçe merkezi;;47;10853;9586;9318;4066;2120;30;21;210;1733;138;851;137;9;3
;Sarýz;;;;49;7845;6598;6393;1879;1587;14;19;711;1097;67;901;106;12;0
;;;Ýl/Ýlçe merkezi;;49;7845;6598;6393;1879;1587;14;19;711;1097;67;901;106;12;0
;Tomarza;;;;78;16643;14999;14611;7151;3707;23;28;91;1714;217;1425;233;17;5
;;;Ýl/Ýlçe merkezi;;78;16643;14999;14611;7151;3707;23;28;91;1714;217;1425;233;17;5
;Yahyalý;;;;94;26262;24096;23693;15292;4607;37;25;111;1261;418;1643;277;18;4
;;;Ýl/Ýlçe merkezi;;94;26262;24096;23693;15292;4607;37;25;111;1261;418;1643;277;18;4
;Yeþilhisar;;;;49;12217;11179;10886;5283;1856;27;22;91;2037;146;1236;164;18;6
;;;Ýl/Ýlçe merkezi;;49;12217;11179;10886;5283;1856;27;22;91;2037;146;1236;164;18;6
;Akkýþla;;;;22;5063;4339;4084;1708;626;19;35;38;834;42;707;59;13;3
;;;Ýl/Ýlçe merkezi;;22;5063;4339;4084;1708;626;19;35;38;834;42;707;59;13;3
;Talas;;;;298;103995;93266;91971;38054;21180;86;167;1843;14240;1810;12940;1293;223;135
;;;Ýl/Ýlçe merkezi;;298;103995;93266;91971;38054;21180;86;167;1843;14240;1810;12940;1293;223;135
;Kocasinan;;;;782;271577;246820;241975;121284;50304;499;347;5291;30127;4019;25858;3534;412;300
;;;Ýl/Ýlçe merkezi;;782;271577;246820;241975;121284;50304;499;347;5291;30127;4019;25858;3534;412;300
;Melikgazi;;;;1062;380506;347243;341828;174859;71521;514;428;6128;39504;6300;36926;4736;609;303
;;;Ýl/Ýlçe merkezi;;1062;380506;347243;341828;174859;71521;514;428;6128;39504;6300;36926;4736;609;303
;Hacýlar;;;;30;8904;8471;8290;5620;1376;16;11;34;504;96;519;104;7;3
;;;Ýl/Ýlçe merkezi;;30;8904;8471;8290;5620;1376;16;11;34;504;96;519;104;7;3
;Özvatan;;;;15;3382;3034;2934;1282;853;7;4;14;365;36;286;83;3;1
;;;Ýl/Ýlçe merkezi;;15;3382;3034;2934;1282;853;7;4;14;365;36;286;83;3;1
