TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kilis;Seçim çevresi toplamý ;;;;361;85616;75129;73424;36706;14977;177;125;1347;10575;996;7546;845;130;0
;;;Ýl/Ýlçe merkezi;;210;64246;55445;54157;25566;11327;130;87;851;8519;735;6179;652;111;0
;;;Belde/Köy;;151;21370;19684;19267;11140;3650;47;38;496;2056;261;1367;193;19;0
;Kilis Merkez;;;;255;70145;61513;60099;29094;12348;137;92;1235;9072;819;6485;699;118;0
;;;Ýl/Ýlçe merkezi;;195;61377;52991;51739;24425;10834;123;84;835;8111;711;5884;626;106;0
;;;Belde/Köy;;60;8768;8522;8360;4669;1514;14;8;400;961;108;601;73;12;0
;Elbeyli;;;;29;4062;3532;3491;1649;767;18;7;34;603;28;344;37;4;0
;;;Ýl/Ýlçe merkezi;;6;1562;1310;1299;523;321;3;2;12;238;6;179;14;1;0
;;;Belde/Köy;;23;2500;2222;2192;1126;446;15;5;22;365;22;165;23;3;0
;Musabeyli;;;;54;8114;7178;6993;4265;1361;17;17;59;647;115;427;82;3;0
;;;Ýl/Ýlçe merkezi;;3;610;503;485;283;87;3;0;3;59;5;37;8;0;0
;;;Belde/Köy;;51;7504;6675;6508;3982;1274;14;17;56;588;110;390;74;3;0
;Polateli;;;;23;3295;2906;2841;1698;501;5;9;19;253;34;290;27;5;0
;;;Ýl/Ýlçe merkezi;;6;697;641;634;335;85;1;1;1;111;13;79;4;4;0
;;;Belde/Köy;;17;2598;2265;2207;1363;416;4;8;18;142;21;211;23;1;0
