TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kocaeli;Seçim çevresi toplamý ;;;;3877;1334402;1198849;1175662;556671;132452;1843;2014;82860;235465;25950;122645;12151;3111;500
;;;Ýl/Ýlçe merkezi;;3877;1334402;1198849;1175662;556671;132452;1843;2014;82860;235465;25950;122645;12151;3111;500
;Gebze;;;;715;259788;232259;227854;112770;29023;287;391;15278;41731;4659;20377;2623;562;153
;;;Ýl/Ýlçe merkezi;;715;259788;232259;227854;112770;29023;287;391;15278;41731;4659;20377;2623;562;153
;Gölcük;;;;332;116600;104307;102434;48370;10054;115;162;3601;23437;2509;12761;1065;329;31
;;;Ýl/Ýlçe merkezi;;332;116600;104307;102434;48370;10054;115;162;3601;23437;2509;12761;1065;329;31
;Kandýra;;;;180;35546;33992;32759;16528;4504;87;147;1080;5747;644;3568;369;72;13
;;;Ýl/Ýlçe merkezi;;180;35546;33992;32759;16528;4504;87;147;1080;5747;644;3568;369;72;13
;Karamürsel;;;;136;42745;37511;36742;18182;3261;51;69;1008;7999;1222;4477;358;103;12
;;;Ýl/Ýlçe merkezi;;136;42745;37511;36742;18182;3261;51;69;1008;7999;1222;4477;358;103;12
;Körfez;;;;326;114658;102402;100433;43784;12194;198;166;11111;18551;2458;10726;951;271;23
;;;Ýl/Ýlçe merkezi;;326;114658;102402;100433;43784;12194;198;166;11111;18551;2458;10726;951;271;23
;Derince;;;;294;103074;92891;91069;39966;10398;136;144;6000;20320;1799;11049;946;276;35
;;;Ýl/Ýlçe merkezi;;294;103074;92891;91069;39966;10398;136;144;6000;20320;1799;11049;946;276;35
;Baþiskele;;;;197;66499;61256;60263;33942;6591;84;75;1957;8762;1995;6074;627;140;16
;;;Ýl/Ýlçe merkezi;;197;66499;61256;60263;33942;6591;84;75;1957;8762;1995;6074;627;140;16
;Çayýrova;;;;242;88216;78674;77289;37734;9500;121;89;7221;14685;1699;5248;842;121;29
;;;Ýl/Ýlçe merkezi;;242;88216;78674;77289;37734;9500;121;89;7221;14685;1699;5248;842;121;29
;Darýca;;;;379;138467;123036;120889;57063;14129;185;187;14129;21606;1963;10064;1226;261;76
;;;Ýl/Ýlçe merkezi;;379;138467;123036;120889;57063;14129;185;187;14129;21606;1963;10064;1226;261;76
;Dilovasý;;;;90;31109;27398;26604;12058;2401;145;35;8381;1560;307;1433;250;26;8
;;;Ýl/Ýlçe merkezi;;90;31109;27398;26604;12058;2401;145;35;8381;1560;307;1433;250;26;8
;Ýzmit;;;;752;255778;230498;226260;97268;22554;314;438;9991;58348;5021;29367;2120;749;90
;;;Ýl/Ýlçe merkezi;;752;255778;230498;226260;97268;22554;314;438;9991;58348;5021;29367;2120;749;90
;Kartepe;;;;234;81922;74625;73066;39006;7843;120;111;3103;12719;1674;7501;774;201;14
;;;Ýl/Ýlçe merkezi;;234;81922;74625;73066;39006;7843;120;111;3103;12719;1674;7501;774;201;14
