TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Konya;Seçim çevresi toplamý ;;;;4701;1503411;1341859;1312952;771547;203301;2787;1996;43228;122916;31092;118899;14734;1856;596
;;;Ýl/Ýlçe merkezi;;4701;1503411;1341859;1312952;771547;203301;2787;1996;43228;122916;31092;118899;14734;1856;596
;Akþehir;;;;223;70004;60479;58706;29264;8526;119;183;848;9637;725;8520;744;124;16
;;;Ýl/Ýlçe merkezi;;223;70004;60479;58706;29264;8526;119;183;848;9637;725;8520;744;124;16
;Beyþehir;;;;183;53130;47642;46354;25395;8039;99;101;211;3458;950;7443;571;74;13
;;;Ýl/Ýlçe merkezi;;183;53130;47642;46354;25395;8039;99;101;211;3458;950;7443;571;74;13
;Bozkýr;;;;87;19540;16983;16355;9258;3183;37;44;105;1466;305;1662;213;23;59
;;;Ýl/Ýlçe merkezi;;87;19540;16983;16355;9258;3183;37;44;105;1466;305;1662;213;23;59
;Cihanbeyli;;;;126;36705;28952;28288;12481;3004;94;35;8638;2371;309;1116;209;16;15
;;;Ýl/Ýlçe merkezi;;126;36705;28952;28288;12481;3004;94;35;8638;2371;309;1116;209;16;15
;Çumra;;;;151;46009;42441;41661;24508;9555;61;41;207;1877;846;3929;587;38;12
;;;Ýl/Ýlçe merkezi;;151;46009;42441;41661;24508;9555;61;41;207;1877;846;3929;587;38;12
;Doðanhisar;;;;47;13255;11853;11019;6133;1025;42;60;56;1709;267;1550;125;45;7
;;;Ýl/Ýlçe merkezi;;47;13255;11853;11019;6133;1025;42;60;56;1709;267;1550;125;45;7
;Ereðli;;;;322;102705;89942;87713;33629;16520;157;182;3461;19819;1287;11309;1144;185;20
;;;Ýl/Ýlçe merkezi;;322;102705;89942;87713;33629;16520;157;182;3461;19819;1287;11309;1144;185;20
;Hadim;;;;46;9019;8103;7855;4573;1369;18;28;52;646;172;909;75;10;3
;;;Ýl/Ýlçe merkezi;;46;9019;8103;7855;4573;1369;18;28;52;646;172;909;75;10;3
;Ilgýn;;;;142;41114;36570;35287;17312;7429;77;90;248;4168;745;4714;435;55;14
;;;Ýl/Ýlçe merkezi;;142;41114;36570;35287;17312;7429;77;90;248;4168;745;4714;435;55;14
;Kadýnhaný;;;;91;21871;19970;19599;12142;4113;24;22;76;1344;408;1235;208;19;8
;;;Ýl/Ýlçe merkezi;;91;21871;19970;19599;12142;4113;24;22;76;1344;408;1235;208;19;8
;Karapýnar;;;;112;33768;30091;29291;15755;5206;50;47;137;4588;622;2416;413;50;7
;;;Ýl/Ýlçe merkezi;;112;33768;30091;29291;15755;5206;50;47;137;4588;622;2416;413;50;7
;Kulu;;;;120;34782;26028;25231;14029;2428;56;32;5686;1399;424;914;240;17;6
;;;Ýl/Ýlçe merkezi;;120;34782;26028;25231;14029;2428;56;32;5686;1399;424;914;240;17;6
;Sarayönü;;;;67;19048;17560;17243;11717;2273;13;17;158;1015;703;1142;187;16;2
;;;Ýl/Ýlçe merkezi;;67;19048;17560;17243;11717;2273;13;17;158;1015;703;1142;187;16;2
;Seydiþehir;;;;164;48103;44092;42573;20416;5498;91;123;452;8046;1300;5992;522;116;17
;;;Ýl/Ýlçe merkezi;;164;48103;44092;42573;20416;5498;91;123;452;8046;1300;5992;522;116;17
;Yunak;;;;71;16282;13204;12819;8114;1718;41;21;571;963;164;1035;177;10;5
;;;Ýl/Ýlçe merkezi;;71;16282;13204;12819;8114;1718;41;21;571;963;164;1035;177;10;5
;Akören;;;;19;4300;3802;3681;2427;600;7;6;8;174;41;363;50;5;0
;;;Ýl/Ýlçe merkezi;;19;4300;3802;3681;2427;600;7;6;8;174;41;363;50;5;0
